comment,user_name,date,likes
"There's an emotion in this that I found in myself that I didn't know I have. A yearning, it's beautiful. I think I know myself better after this song.",@unclekaggy,2024-07-26T04:09:24Z,2130
As a writer (and a human) this song is so incredibly inspirational and emotional and makes me wanna run down a row of staircases and across intersections and scream it from the top of my lungs <3 thank you,@akiko575,2024-07-26T10:17:37Z,887
"This style of music and the visuals give early 2000s vibe and I love it, this nostalgic and tight hearted feeling",@Awesomedefenders,2024-11-17T20:32:33Z,429
"The sound brings me back to being in middle school, early high school (2011-2015) when I heard so many songs with this dreamy soundtrack vibe.",@varsity.1,2025-03-14T06:45:08Z,268
"""I sleep so I can see you and I hate to wait so long."" This cuts deeper when you're constantly trying to find them in every sleeps, every people you meet only to realize that all you've been doing is rebranding every person you've met with a memory of what they are.",@kalmkseraables,2024-12-18T02:00:53Z,218
Her voice cuts deep into my soul.,@deecyminid,2025-01-05T12:46:40Z,161
"I am 62, gay and male. I first heard this on some Tik Tok videos so I had to look it up (that line ""I don't believe in God but I believe that your my savior"" really stuck in my brain!) I know tons of people have heard this and thought it was a guy singing it! (Got to admit so did I!). Then when I finally heard the WHOLE SONG I was blown away! WOW! And that is was by a woman? MORE WOW!! The manufactured music of today is nothing I can really enjoy (for me, give me 60s-90s music and some post 2000 stuff, but that techno-synth-rap crap that it mostly out now is all the same) so when I hear what I consider a ""clean"" sound like this one, I can really enjoy it. And these are some of the BEST lyrics I have heard in a while! (like ""We can run away to the walls inside your house"" is very slick as well as ""When you get a taste can you tell me what's my flavor? VERY SLICK!!) She talks about sex without hitting you over the head with it! I love that! And I love that it is woman-woman song!! Go GIGI!!",@johngreener9784,2024-10-19T19:37:01Z,117
This song just captures pure emotion and escapism I wish it went on forever,@Baker1884-7,2024-10-08T20:49:39Z,89
1:05 for beat drop,@KhloeGoings,2024-08-20T02:30:47Z,67
"a three minute and thirty second video that speaks volumes of pure, raw, unaltered emotion. this touched my core in ways most songs couldn't. truly a beautiful piece.",@R1IOT.,2024-09-13T00:18:05Z,36
