comment,user_name,date,likes
"1:46 She's isn't just talking about heartbreak, She's painting a whole picture of what it feels like to be abandoned and fighting back and not letting herself be completely destroyed, Deep as hell 🫶",@Ayush_a_BlackRose,2025-02-08T07:47:30Z,747
The deluxe songs has some savage lyrics which i haven't seen much from Gracie 😂 . Im loving this so much,@ssshineply4620,2024-10-18T04:44:55Z,412
"ive never been in a relationship, but i’ll forever scream my heart out to songs like this as if i’ve been through the worst heartbreak known to man. just me? 😂",@azariawalker1498,2025-02-14T10:04:00Z,83
I’m a grown man and this song is great. The melody everything about it.,@jacobbarnes147,2024-11-10T16:04:32Z,65
Absolutely loving the vibes from this music—it’s just what we need to energize our day! The visuals are also incredibly beautiful. Wishing everyone watching a day full of joy and overflowing happiness. Enjoy and let the good energy lift you up!,@HeatWaves987,2025-05-21T08:29:35Z,26
THE CHORUS IS SO CATCHY AAAAAHHHHHH,@mirrorball326,2024-10-23T02:36:52Z,25
The rhythm is so catchy 😭🫶,@tp613c,2024-10-18T04:09:28Z,22
.... Why is it just a mouth thats not even singing the lyrics?,@Sc3n3_Wannab3,2024-11-10T18:03:38Z,14
This song gives off a vibe of the 2010th songs,@Shokhjakhon25,2025-02-24T18:50:42Z,12
"This song is so lit!!!! So proud of Gracie!!!! ""made it out alive but I think I lost if""!!! the lyricssss!!!!!!!!!",@zzsquad2,2024-11-06T03:24:47Z,11
"I went on a 4 hour bus ride for a school trip a few days ago. On the way there, the girls in the back of the bus played this on their speaker. When I say I screamed the lyrics, I'm not lying lol",@Lizzyy02,2024-11-18T01:29:12Z,11
"This sounds like ""Risk"" from an alternate universe!!! I love it!!!",@franciselmirajacksonakaelmyra,2024-10-20T23:16:47Z,11
"not to be mean, but the video is weird like why is their a close up mouth, not even singing the lyrics like help-",@jsad4m,2024-12-09T16:31:22Z,8
"I agree with the 👄 mouth thing, yeah it is 😅 disturbing. But I don't know why but this gives me the 😢 ""nostalgia kick"" 🦶 . I don't know how to say it but it starts giving me 👀🧠 flashes of old ⌛ memories when I was in 🏫 kindergarten, alone in the garden in the 🌄 sunset, playing with actual 🪁🪀🧸 toys, hugging my 🐾 husky, staring at the 🌌 stars with my parents. It just gets me emotional, tears of 💎 happiness etc.❤❤❤",@davidprasil7229,2025-02-18T21:28:47Z,8
The mess it up vibe is here💛🩵,@MatitaF,2024-10-18T06:59:49Z,5
The Vocalsss 🔛🔝,@LanadelSlay-d6z,2024-10-18T09:57:54Z,4
L song worst music video,@GigiGigi-nj7vk,2024-11-26T17:29:13Z,3
LOVELY SONG IT GIVES VIBES 😊,@AAK-wr400bhj,2025-03-04T18:57:59Z,3
I love this song but this video is just awful.,@melissaevans2711,2024-12-12T16:56:31Z,3
