comment,user_name,date,likes
This song has a seductive vibe to it.,@lawllyazzy,2024-03-23T17:59:27Z,2375
The way he hits those high notes is perfection,@SirMrSkellyBones,2024-04-09T20:28:18Z,730
Nice black keys vibe on this song. Hozier has such a great voice!,@brandonpotter5079,2024-04-04T14:38:20Z,685
"2:14 ""You treat your mouth as it's it's heaven's gate"" 👄 The way his tone changed for this line was sooo good",@mei.mei1,2024-11-22T12:19:36Z,564
Goodness this song is a VIBE.,@DGpayne1174,2024-04-04T23:37:40Z,213
"Over here chilling out, listening to this as 11:30 pm on a Friday night, doing school work. And may I say. I LOVE IT. This song is all sorts of vibes and chill",@IzzyOdinsson,2025-03-15T03:36:19Z,98
This song just has the right VIBES. They're so good that you can listen this song any time.😊,@ParthBuwa,2024-05-19T17:04:20Z,55
"My hotel neighbours in Greece were playing this song loudly every evening, that was my cue to go out for a cigarette onto the balcony and vibe together. Normally I hate this type of music but the vibe could not be denied",@Ju1i4no,2024-06-25T10:34:21Z,22
i love the vocals on this man,@theisrealbob,2024-06-06T17:17:47Z,20
Great song. 🎵 Keep hearing it on the radio when I’m heading to work. A great beat. ❤,@martinamccambridge,2024-06-14T22:14:03Z,14
"fantastic band, great vocals and special rythm-",@stenheimer3961,2024-04-21T03:10:08Z,13
"Love the bell in the background chorus... it really drives the songs uniqueness! What a friggin great, timeless tune! Hozier knocked it out of the park on this one! ♥️🎶♥️",@christinec.3817,2024-08-21T04:27:42Z,12
This song makes me emotional,@kiarraestrada3163,2024-04-04T18:37:45Z,9
Finally songs with real lyrics and meaning 🫶🏽,@eileenramirez7707,2024-10-20T03:57:25Z,7
We need the acoustic version asap,@idin5166,2024-03-26T02:31:26Z,7
Damn!! i dont vibe with these kind of songs but this one!!❤❤,@Boomerbandz,2024-06-22T11:35:38Z,6
Banger track and is such a vibe,@VictorHuang-qz9kv,2024-06-13T14:27:15Z,5
"love the positive vibes that this song brings out in the comments. <3 love you all and this is my personal message: life is incredibly powerful, and i'm happy to be through the worst. Stick it out. Cry, fight, and laugh with the ones you love.",@whatever_mma,2024-08-12T00:10:24Z,5
"Imagining is all we can do. This song isnt a happy space for me. Its opening yo the harshness of humanity. You cant even go a year without an arguement. Human emotion is too powerful. The product of being aware, is chaos.",@joshchandler5948,2024-09-08T21:24:27Z,3
I heard a joke that this chorus was written about the bees he keeps- can someone let me know if that is true??,@JodiesResearchCorner,2024-03-22T08:45:17Z,3
This song is a vibe to listen to🎉🎉,@VictorHuang-qz9kv,2024-06-13T11:19:45Z,3
"The first verse perfectly describes how my PMDD makes me feel...I know he's singing about a specific person, but I can still totally relate to the emotion in the song and that's how you know this is good music",@rachellemckeown3332,2024-07-26T22:57:44Z,3
FIFA vibes,@CameraGuyDeva,2024-07-31T08:51:20Z,2
These lyrics are awesome and he's telling my story because I've worked graveyard for 27 year's now I can't drink no more but I'm in the bed at 4:30 some times 5am or 7am when the world wake's I'm dozing off I'm a diabetic so no alcohol or caffeine but pills oh yeah pills that's my new whiskey,@LesslyCarthan-rt1hq,2024-05-30T21:59:30Z,2
This dude makes song for us who understand the deeper things in life.,@heisenpsych,2025-06-05T18:38:29Z,2
This song blew up in Tiktok lately as users were using it for Fashion shows. I like the chorus.,@cchueng2008,2024-06-11T17:39:51Z,2
1:13  the chorus for people looking for it,@KaitlinSturn,2025-03-25T19:42:38Z,2
"I take my whisky neatttt even though I don't drink lol I just love this song, it's so catchy 🔥🔥🔥",@lisajarvis3684,2025-02-27T14:38:49Z,2
Catchy song.. 👌,@kevinsimmons6911,2024-06-07T05:48:18Z,2
❤❤❤the vibe is the best for listening in the morning 🌄😉❤❤,@poppylis111,2024-09-24T23:26:44Z,2
My life style..in a beat. Oh so sweet...,@vincentsarren8742,2024-05-10T17:08:26Z,1
"Bruh, this sh*t is deep!!!",@archieellesmere3370,2024-11-01T11:49:29Z,1
i love this song BUT THE BEATS AND LYRICS ARE NOT RHIMEMING,@krischaelellarybulauan8539,2024-06-20T10:42:10Z,1
Grateful for the lyrics 😂 these were not at all the words I thought 😄,@empatheticpleasure,2025-04-13T16:16:45Z,1
This gives mids 2010s vibes,@CarryBearTV,2025-02-22T17:40:13Z,1
The music and lyrics spots on 🔥🔥,@syazwanzufar645,2024-09-22T18:49:41Z,1
I drink tequila but it is still a vibe,@taylorgood1078,2024-06-13T07:01:52Z,1
Finally listening after that annoying over-played stardew valley Harvey edits.,@josephinetawhai7984,2024-08-09T02:57:45Z,1
I identify with the chorus,@mickwinchesters,2024-09-29T09:04:04Z,1
production/ composition / artistic value 100%,@antzcis6826,2024-05-24T16:27:45Z,1
Anyone know songs with a similiar vibe? I'm obsessed with this one but I need some more so I can daydream about my love life,@istoleyourjams270,2024-04-21T19:52:29Z,1
