comment,user_name,date,likes
"This beat is like candy, its better without the wrappers",@SwiftiePage,2025-02-19T03:47:08Z,1593
Destroying ur relationship for a 25 second verse is INSANE,@chloemorgan444,2025-01-28T21:52:18Z,537
What a fire beat to be wasted on ice spice and central cee,@thereal_potato,2024-11-18T20:57:59Z,478
I hate this song so much but the beat is too good 😭,@christianhubert798,2024-09-27T01:43:26Z,260
Such inspiring lyrics ❤ Cant wait to play this on my great grand mother funeral ❤🎉,@Ametzu_ae,2024-10-07T08:37:50Z,56
This is some high school cornball vibes,@teamgrowbig4203,2024-11-11T00:20:03Z,27
*Ice Spice doesn't deserve theses beats*,@Eon667,2024-10-26T20:03:31Z,27
The beat insane,@AvierGilpin,2025-07-08T23:26:24Z,12
Metaphorically when a man choose a plastic girl over a natural beatiful god gifted woman is something 🤯🤯,@Mans24,2025-05-08T15:49:38Z,7
"Not gonna lie, this is actually good. Love the beat",@floridagators4life,2025-06-17T13:11:53Z,5
"I used to listen to this song so much last year in august, bro so nostalgic already",@RealEnergycools,2025-07-04T09:16:52Z,4
"Ice spice ur a meanie pants!!!! You shouldn’t have done that because now you won’t go to heaven ✝️✝️✝️ and central cee ig, he is British and forgettable gosh I hate the people across the pond, I do like the tea though.",@kaydenjones9177,2025-02-16T02:00:29Z,4
The beat is fire the girl is ruinin it,@Shado1501,2025-01-28T11:03:30Z,3
My friend said he beats it to this,@Hawktuah02,2024-11-03T02:44:29Z,3
bro deadass sacrificed his relationship for one of the hardest verses ever 😂,@liamholland1054,2025-07-25T11:26:00Z,3
"Aside from the meaning of the lyrics, this song slaps",@blondehairedjeongin,2024-09-23T13:14:55Z,3
"This generation is wild I’m 16 and I act like I was born in the 90s cus who just thinks cheating is cute this generation is wild🤦🏻‍♀️ also i’m tired of these rhyming lyrics. What is she gonna sing next one fish two fish, red fish, blue fish💀",@martinezessentials9685,2024-09-28T17:19:47Z,3
Crazy how this is Nostalgic now,@brackxt,2025-05-02T21:33:11Z,3
Such a good beat wasted on ice spice and central cew,@Formula_XYZ,2025-01-15T14:44:58Z,3
