comment,user_name,date,likes
Minju's vocal tone is so good😭💝,@Melia_67,2024-03-25T11:03:08Z,5439
"wonhee has improved alottt, minju has such a nice tone of voice, yunah looked so pretty and she ate her lines, and iroha and moka looked so cute and did well 😭❤️❤️ good job girls! let’s continue to do well and have fun 🤞🏽",@silvv2030,2024-03-25T13:13:48Z,992
Minju and Moka tone is like honey. So beautiful and refreshing to hear.,@Deina7,2024-03-27T17:20:16Z,99
"Moka's expressions when on stage never disappoint, she knows how to make songs and dances very lively, she is very cute and funny, her twinkling eyes are always charming, her stage presence and vocals cannot be underestimated❤",@Flowerflower0822,2024-03-25T15:14:38Z,75
I really don't understand why everyone hated Wonhее so much. She's so beautiful and her vocals are so cool✨,@gelyalina,2024-03-25T12:52:47Z,72
I swear everyone of them have a distinct vocal color and all of them sounds so good 😭 especially Moka,@teddysejati1973,2024-03-25T11:41:48Z,53
Moka really just feels the music and vibe in every performance!! So professional,@devvv777,2024-03-25T22:51:19Z,26
Minju's vocal tone and Moka's facial expressions SLAYYY❤,@c0ffeemilo,2024-03-25T13:39:43Z,22
Minji's vocal tone is so good😭💝,@ricardo8252,2024-03-25T16:42:33Z,15
loving their cutesy aesthetic vibe 👌🏻,@bokunoya,2024-03-25T10:59:51Z,14
Wonhee cutiee she improved so much I'm so proud of her Moka and Iroha surprised me with their amazing vocals🤯 Minju my biass and Yunah they are just so amazinggg✨ CONGRATULATIONS ILLIT ON YOUR SUCCESSFUL DEBUT!!🎉🎉 you did not disappoint us 💖 I'll always be supporting you ILLIT ON TOP 💖💖✨,@izhouxi,2024-03-25T11:30:51Z,12
mokas stage presence visuals vocals fit >>>>>>,@euphoricdrrreamer,2024-03-25T13:22:42Z,11
"Almost 10 mil on the performance, almost 50 mil MV, and most streamed song of this year on Spotify. Rookies of the year girls let’s go! Stream so no comeback this year can beat us!!!",@kingmarat89,2024-04-27T11:31:30Z,7
"they're all look like a doll and I love it, they are so catchy and addictive",@kimuelpotingan6885,2024-03-28T08:33:54Z,7
"Looooove this concepts, its so cute, i kinda missed the cute concept in kpop, the romantic outfits are sooo pretty and the song its so catchy and cute, such a vibe, beautiful vocals",@namucore9491,2024-03-25T16:06:30Z,6
"Now that wonhee found her confidence and train more, she's really give me center vibes, i keep replaying her center part, she really surprised me.",@furanaa4123,2024-03-25T17:49:04Z,5
They give me early twice vibes. Just pure fun and cuteness,@btsmochimi7924,2024-05-08T03:28:56Z,4
"I've been into kpop since I was a preteen in the early 2000s but I haven't been this excited for a new gg. This group hits all the marks. I love the dreamy whimsical electropop sound, the mellow pop melody is nostalgic with what I've heard growing up, and the aesthetics has that Asian art house film coming of age/Fruits mag vibe ❤️❤️❤️❤️ Very excited for what's to come!",@sarahl9398,2024-03-26T00:07:40Z,4
"The more i see wonhee, she reminds me of the actress park han byul 박한별. Minju reminds me of shinee minho 민호. Yunha reminds me of tara hyomin 효민. Moka is like the smiley version of the actress jung somin (imay need to revisit this 1). iRoha has similar faces of many but it's hard to pick just one. To me, her eyes and mostly vibe reminds me of lisa bonet when she played the charcter denise. The girls, ILLIT are incredibly talented. This song is so catchy 😀",@winterso8589,2024-04-29T03:17:01Z,4
Minju's VOCALS ARE GIVING,@lalia5368,2024-03-25T13:05:47Z,4
Minju's vocal and visual so insane,@anhthuo7185,2024-03-25T12:39:54Z,4
catchy chorus and choreography,@kitkatgaming024,2024-03-29T03:36:59Z,3
hybe really loves jailbait concept. makes you think. catchy song tho ngl,@NRLNK-Rivals,2024-03-25T17:04:10Z,3
"And those are what  15?!? trying to attract the attention of middle school teens to say how good they are😅, but in fact like all idols from this company, they need singing lessons asap, take it easy with autotune and lipsynch.😊",@SleepyHarmonica-jt5yr,2024-03-25T19:55:27Z,3
"I knew that the pre-chorus reminded me of the running man dance song phrase vocal tuning and, by the time I saw them dancing at the final chorus, it all went linked. Great song btw",@rafaeltglz,2024-03-26T18:17:48Z,3
