comment,user_name,date,likes
"Her music is so catchy , fun , and relaxing at the same time , she turns everything to gold she touches",@HannahDonahue-yh4nt,2024-01-28T18:54:11Z,34
"Hi, I just listened to your latest song and I must say it's absolutely fantastic. The manner you combine different aspects is truly striking. Each beat resonates strongly and brings forth such a stirring heartfelt response. 😍",@corrie-c-freyre,2024-01-13T02:40:38Z,13
Peso Pluma is so versatile. The man sounds good on all kinds of different beats and genres 😮‍💨,@Customadee,2024-01-12T12:47:22Z,9
Love the disco vibes! AND you <3,@SaraMauries,2024-01-16T13:08:08Z,8
Kali uchis volvió con su vibe de antes y AMOOOO 💕💕,@paulaandreasuarezsuarez2828,2024-01-17T08:17:15Z,8
Que bonita canción como  de ángel !! Buena colaboración esto merece mucho !! Urge un VC felicidades por este gran arte .El lyrics me cautiva hermoso totalmente tan balanceado y te calma bonito las emociones !!,@shelar.l6248,2024-01-15T20:30:50Z,7
I like the song. It has an 80’s vaporwave vibe to it.,@tPsychedelic,2024-02-18T16:39:39Z,5
"Peso Pluma demostrando una vez más su versatilidad y creatividad, el flow, el sentimiento y la fusión vocal con Kali Uchis es otro nivel! Sencillamente Espectacular! Rompieron!! Peso Pluma iniciando el año con tremendo Hit! 🔥🔥🔝🌎🥷",@mariomejia3024,2024-01-12T12:38:39Z,5
"Que buen trabajo de la producción en encajar la voz de Hassan en este ritmo, aun aplauso y mi admiración ! Apesar de tener autotune, reverb para una compresión ligera fueron una verga asi venudota en que tenga el tono exacto ! Neta que chingona rola 🔥",@Stiglitzzz.,2024-01-14T02:29:16Z,4
"esta canción es igual de hermosa que todas las demás del álbum,por favor apoyen todos los demás tracks y dense una oportunidad a volverse fan de kali uchis aquellos que solo vienen por peso pluma,créanme que no se arrepentirán",@eliasgallegOS67,2024-01-17T03:31:18Z,3
"No sé si es alt-pop, city pop o synth- pop, solo sé que me encanta!!!",@MZNO,2024-07-22T20:41:35Z,2
No soy fan de pp pero cumplió su rol y se adaptó al beat no se porque le tiran hate..al contrario apoyen la canción eso suma a Kali y sean agradecidos con los invitados…😊,@alexandraromero4830,2024-01-12T06:53:23Z,2
"Vengo a escuchar en el canal de Kali Uchis esta bonita cancion. Me gusto la combinacion, però Kali merece mas las visualizaciones que el acaparador de Peso Pluma, que se llevo todas las visualizaciones con ""Bellakeo"" y NO promovio nada el tema, solo Anitta se preocupo por promoverlo. Es la verdad No es hate, lo juro por Dios, però ultimamente Peso Pluma se ha dejado demasiado influenciar por la pitufina con la que anda, que es evidente que solo busca autopromoverse. Peso esta en otro planeta y no se preocupa por el trabajo, es muy facil tener las visualizaciones para el solo, però en este caso, hay que ser justos porque los fans no somos tontos, Las merece todas KALI  UCHIS. ❤Venganse aqui a escuchar esta cancion. A este canal Apoyemos a Kali, amigos. Si Peso Pluma quiere seguir de tontito promoviendo a esa nefasta que ni canta y solamente lo usa, alla el. Venga, Kali ❤ mas musica y exitos para ti 🎉🎉",@MassimoF-n8x,2024-01-14T08:19:14Z,2
La 2p tiene mas reproducciones en un par de dias que los regetoneros. Quien es quien en las mentiras jjajajaja,@EderadielGarciacamacho,2024-01-16T02:48:47Z,2
I don't know what they're saying but it's catchy!,@rubylillies867,2024-09-08T02:26:16Z,1
I feel the vibe 💕💕 uuuuuu❤️‍🔥🔥,@azul3530,2024-01-14T00:23:31Z,1
Esperando el comentario con las lyrics 😅,@biancaruedareyes9240,2024-01-13T15:04:50Z,1
Kali = I love you ❤ your voice is beautiful and this lyrics are perfect,@BeatrizSantos-iw7jq,2024-03-27T08:01:05Z,1
La forma en la que PP entra al beat🤯,@Alí-c4i9s,2024-02-16T17:07:48Z,1
this song is fire !!!!!!! 😭 I can't stop listening to this song even though I don't understand the lyrics,@tramquynh0711,2024-01-22T16:29:29Z,1
I feel like this ain’t peso’s kinda beat that he likes and it kinda sounds weird like not even Spanish in this in my opinion it’s not a good song,@HopefulBread-qg3hr,2024-01-12T11:17:29Z,1
You have a great talent shines through in every note and beat. I'm truly impressed by the creativity and skill you've put into your compositions. Keep rocking and spreading your incredible sound with the world! 👍,@adela-v-lavee,2024-01-12T20:11:10Z,1
"Kali, esta es mi canción fav de Orquídeas 💖💖🫂🫂 tiene una vibe tan bonita wuu",@gabrielarojas1474,2024-01-12T16:08:46Z,1
I love how fun and light hearted the vocals and video🎉,@kidswagggoo9229,2024-01-16T01:29:14Z,1
"It has an MJ, Bruno Mars vibe to me, Colombiana style. A song for easy moments.",@GalaxyGazerDom,2024-01-27T18:11:43Z,0
La forma en la que Peso Pluma entra al beat 🤯,@Alí-c4i9s,2024-02-16T17:06:37Z,0
"Struggling to cope with Spanish and slowly learning, but holy moly this song is a whole vibe",@DonAntonio911,2024-02-28T17:07:12Z,0
At my age (50’s) I like the rhythm of this song,@monicaperez5523,2024-02-16T17:32:59Z,0
Cuddle with your baby vibe right here…. Yesssss!,@natasharichardson4060,2024-02-08T14:18:49Z,0
"Making it my personal fucking mission to like and comment on every Kali song/video from soundcloud and youtube to show my DEEP fucking love and support for her and her growth (besides buying her products or concert tickets) *as long as the system lets me and stops deleting my comments, or maybe im dumb for posting the exact same comment on multiple videos in a short time frame so im just going to change one letter at a time and see if it works. o",@ciraneggleston361,2024-03-24T15:29:09Z,0
i dont understand the lyrics but im living so hard for this song,@ray-q4i,2024-01-21T19:59:01Z,0
"THIS IS Amazing you guys, its giving 2014 vibes.",@Zzzaaaiii123,2024-01-12T05:32:42Z,0
"Peso Pluma fez mais feat com mulheres em pouco tempo, do que a Shakira em 60 anos de carreira",@Iguito,2024-01-24T16:42:01Z,0
"En cuanto a pronunciación no le entiendo en ciertas partes, supongo que es parte de su personalidad vocal, pero en cuanto a arreglos en las voces y la melodía, me sorprende como domina muy bien, ni que decir de peso pluma saliendo de la zona de confort, el bajista un genio, definitivamente hay buenas producciones",@josegusman5870,2024-02-25T04:54:21Z,0
such a vibeee,@1jinstan925,2024-03-29T12:53:39Z,0
Love that 70s vibe,@Chanokh,2024-01-15T03:09:58Z,0
Kali Uchis just know how to make songs with a good vibe 😩😩,@almightyloaf5434,2024-02-20T02:46:43Z,0
the vibes from this are immaculate 🤌🏻🤌🏻,@jass2k,2024-01-12T05:28:32Z,0
Mierda... Hasta que le sacan provecho al Autotune... Qué lindura de canción 💗,@Vorphael,2024-03-07T18:22:38Z,0
Autotune at its finest wack!!,@alexbay510,2024-01-14T10:22:40Z,0
AQUÍ EL BEAT LO ES TODO 😮,@celineraqui6567,2024-01-13T19:29:21Z,0
Was excited to see how they would put their two types of vocals together and they did it so good,@Hector_215,2024-01-12T05:18:33Z,0
"De verdad nos damos cuenta quien es el numero 1, una versatilidad muy buena y un entone de la voz exelente de verdad vas a llegar muy lejos Xavi",@JackC02,2024-01-18T13:21:00Z,0
Good vibes,@1Leeety,2024-01-12T05:58:55Z,0
This song is a WHOLE VIBE.,@FrIzCo915,2024-01-12T05:04:07Z,0
