comment,user_name,date,likes
"Que lindo como Karol G capturó perfectamente la esencia del dominicano en ese video, lo bonito del barrio sin verse vulgar, gracias Karol 🇩🇴🇨🇴",@edmilymorillo1592,2024-06-21T12:39:10Z,2372
"Ella es el ejemplo a seguir que se puede hacer música contemporánea sin necesidad de caer en el vulgar!!!  Karol G,Gracias.",@yojan240382,2024-07-24T05:32:02Z,104
imposible no moverse al ritmo de ésta música😀💃❤‍🔥🤸‍♀🎤Hermosa composición,@giselemillenperierheguilein,2024-07-18T21:15:04Z,25
"Son fan del Pop en inglés, pero es imposible no moverse con esta canción, es adictiva y latina, saludos a todos desde Uruguay 🇺🇾",@luissanchezvalerio500,2024-08-18T15:42:37Z,23
"Qué voz bonita tienes, Karol, no necesitas Autotune. Y muy buen video, asi, natural, con gente real mola más!! Aqui le iba bien unos pasitos de baile para que la gente copie, no tanta cadera solo. Me encantó❤ Espero le den un premio al videoclip por su genuinidad 🎉",@ginavandel,2024-07-17T13:01:27Z,20
"la reina demostrando que con cualquier beat siempre llevará la delantera, te amamos karol",@luisguarecuco557,2024-06-20T23:46:49Z,11
"I might not understand one word, but that is a funky track and she's very likable and soulful",@MarkReillyRoyalJones,2025-05-06T15:37:23Z,11
Simply a BANGER Song to Vibe with <3 Love it,@ItsDavezy,2024-08-29T10:39:11Z,10
Desde El Salvador 🇸🇻 en pleno temporal escuchando este exito bebe 🇸🇻🥺🥺aún que aquí está un huracán 🌀,@maryvlogs439,2024-06-21T00:19:40Z,8
Lo que es esta canción y contigo me da esos vibes de 2010 old school songs.. super emocionada 🥰🫶🫶,@maritzagonzalez3879,2024-06-20T22:03:41Z,6
"Genteee, alguém faz essa música ser A Música do verão!!!  Amei de mais 👏👏👏 obrigado por fazer essa música perfeita, ritmo gostoso, voz boa, vibes bem de verão mesmo.",@priscilas5581,2024-11-02T12:04:19Z,6
Como siempre @karolg poniendo bien alto el nombre de mi país con cada tema q estrena❤ sin duda alguna la mejor reguetonera del planeta🎉 Dios tiene muchas  grandes cosas para ti aun más de las q has obtenido,@lauradiaz6168,2024-06-21T03:16:45Z,6
"soy bastante hater del estilo de musica regetonero y de Karol G, pero esta cancion me hizo llorar.. es todo tan natural y trasmite una vibra tan positiva,  TEMAZO",@mhr4248,2024-08-18T16:47:04Z,3
I don't even understand the lyrics but I can't stop listening to this song it's so Catchy❤,@joshpro1402,2024-07-11T02:09:50Z,3
I have no idea what she is saying…… but this is a vibeeee 🔥,@brandondortone5641,2024-06-22T12:49:07Z,3
"I am Turkish, no idea what they say,  I dont drink, but I just love the vibe, I want to spend the rest of my life at this place, can someone tell where this bar is I want to try my chance  ?😅",@ertentainer,2025-01-09T05:30:58Z,2
"Simple good song, nice videoclip, positif vibes, i like this song.",@Monty55581,2024-09-16T17:38:21Z,2
"What a beautiful song, videography and the artist. I don’t speak Spanish but I got attached to this song, listened to if many times, found Spanish lyrics and then English lyrics. 😂😂. Loving the song . 😍😍",@MarwahRaj,2024-12-03T12:51:20Z,2
Beautiful music even though I have no idea what she's saying. It's a vibe 🕺🏾🔥🔥🔥🔥🔥🔥🔥,@steviejay868,2024-06-24T02:33:46Z,2
"I don't understand the lyrics, but my body is dancing for no reason!",@canhnguyen2217,2024-08-15T15:35:12Z,2
Vibes de verano,@Arnauero3.0,2024-07-07T09:53:29Z,2
The vibes of Puerto Rico are Fabolous 😍😍,@Themostones1,2024-06-21T22:25:04Z,2
"No es comentario con hate, pero Shaki deberia copiarle un poco la frescura , hacer algo diferente y estar tan oendiente de la toma perfecta de siempre verse impecable .. la vida es otra ❤😘",@MobyART-e2y,2024-07-09T16:22:34Z,2
This song is so great but also the girl in the beginning was really giving emotion I loved it.,@sisterimmaculata1680,2024-09-08T21:18:36Z,2
"I don't understand the song, but tones are good and perfecto❤❤❤",@No_One0199,2024-06-27T09:32:51Z,2
Esta es la versión reguetonera de Tarde Lo Conocí en la voz de Patricia Teherán😂,@mayecarrascal4858,2024-06-22T05:45:39Z,2
"☀️⛱️🏖️🧢🕶️manda ese verano para chile ❤énfasis frío ya no más 🍀🤠💘🥳🥳🥳🥳🥳😋😋😋🥳😋🥳🥳🥳🥳🥳bueno ya se viene ese verano para niños abuelas tía ,tío matones todo felicianos etc amor de vida eres una persona auténtica",@blastianGodoy,2024-06-24T15:43:41Z,2
I'm in Love! Nice beat!,@iDoSellStuffs,2025-04-01T12:13:04Z,2
K tal si le ago un lyrics para YouTube,@Domi_letra,2024-06-20T22:05:30Z,2
