comment,user_name,date,likes
god the harmony in this is gorgeous. i could listen to this for hours.,@iwonderwhyyouwantmyname,2025-05-21T15:16:01Z,358
The blend of their voices and the depth of the lyrics make this an instant classic. This track is what music should aspire to be—honest and moving.,@wanjiru-v6m,2025-04-08T23:40:56Z,340
"When the flow switch and he get that “it’s a vibe, do your dance, let em watch..” that shit cold af",@itseasytolearn,2025-03-01T18:09:01Z,270
"Luther is the first vocal you hear,  but the last vocal is the legendary miss Cheryl Lynn. Just like to give that woman her flowers. 🌹🌷🌹🌷",@jvthekiing,2025-03-01T23:18:48Z,231
"SZA’s voice is something special—so rich, soulful, and effortlessly smooth. Every note she sings carries so much emotion, and ‘Luther’ is another masterpiece that showcases her incredible talent. Her lyrics always feel deeply personal yet so relatable, like she’s speaking straight to the soul. The way she blends vulnerability with confidence in her music is unmatched. She keeps proving why she’s one of the best artists of our generation. Pure artistry!",@noshubhstitute,2025-02-17T15:18:29Z,204
"The Luther Vamdross interpolation,combined with SZA's brilliant vocals made it such a beautiful listening experience!",@ACTheMusicLover,2025-03-10T17:41:03Z,192
"The blend of Kendrick's rawness and SZA's soulful voice creates a timeless sound—this is going straight to my classics playlist. A tribute to Luther Vandross while still being uniquely them, pure genius. Makes you want to fall in love and fight for it at the same damn time.",@arnclaytor,2025-04-17T01:57:42Z,163
This better be in Spiderverse 3,@yamitronznova1,2025-02-18T00:53:30Z,149
I kept hearing this song randomly on my R&B shuffle and absolutely love it! They don’t make R&B with the male + female vocalists like this anymore 🥰,@SC0291,2025-02-10T22:01:56Z,114
"This song is pure magic, their voices blend so seamlessly, creating a vibe that's both intimate and powerful. ""If this world were mine..."" hits different.",@gvozden-j3d,2025-04-11T13:22:48Z,68
The harmony of Kendrick and the melody of SZA just work together so much,@LaurenHunter-q3e,2024-12-21T13:41:33Z,37
Here from Ni-ki's weverse post,@arianajungwon,2025-02-17T15:39:05Z,30
"it's been 4 months and I still can't listen to this song without crying because it's so beautiful. the sample, the vocal harmonies, the lyrics, the whole vibe",@leebird9023,2025-04-12T00:06:55Z,21
"This is my favorite song from GNX and the music video was absolute perfection, especially when he let Mr. Vandross and Ms. Lynn's vocals play out. I cried. Like many others, I grew up listening to Luther and I'm so glad that Kendrick and SZA shared a beautiful tribute to him and his work, as well as the loving tenderness within a relationship that folks dream of experiencing or have the joy of experiencing now. I cannot wait to hear this during their Tour! ❤",@MusiciansRule07,2025-04-15T21:47:37Z,13
Man Kendrick is really killing it with those fire words 😢 this songs is beautiful it has beautiful beats also ❤,@dutpeter6191,2025-03-08T14:55:10Z,12
"That melody at ""it go in out"" is super enchanting.",@letsgetitback,2025-02-26T11:53:58Z,11
I HATE how short this song is. I want 3 more versus so I can fall deeper into this❤❤,@starshineOnme,2025-05-10T22:25:58Z,9
"From En tok, Ni-ki's weverse post, collab when?",@thewonieverse,2025-02-17T15:40:54Z,9
The rhythm of this song gets me moving every time.,@RubyMoore-b7n,2025-03-13T17:50:55Z,8
"My life sucks, I'm seriously thinking about ending this... But Kendrick Lamar exists and that makes me happy, this song gives me courage, it's beautiful and gives off very good vibes",@01k4w4_ssj,2025-03-17T00:52:50Z,7
A whole vibe,@77mpickett,2025-02-27T02:43:45Z,7
"Kendrick and SZA really poured their souls into Luther  and when i tell you I felt every word. This song has been a lifeline for me during one of the hardest breakups of my life. The emotions, the pain, the hope it all hits so deep. It reminds me that healing takes time and that someday, I’ll find the one who truly sees me. Until then, I’ll keep this song on repeat, letting it guide me through <33",@Haerinlovemyfavv,2025-02-21T12:41:28Z,7
Man kdots verse in the beginning is so good it’s crazy lol could listen to it on repeat forever,@Bhlunted,2025-03-10T04:51:13Z,6
Does anyone else get Nas vibes from this if I ruled the world,@alexjoens5014,2025-02-21T14:08:44Z,6
Their vocals pair so well with each other😁😁,@taliyacassamajor7562,2025-03-31T17:17:55Z,6
"On repeat, everyday 🤌🏻🔥❤️ Kendrick you’re killing it 💕😭 love, love sza’s vocals good god!!! 💯💯💯",@gourisuresh7414,2025-06-14T02:26:11Z,6
"The combination of RnB and Hip Hop is really what makes this song such a vibe, SZA has and angelic tone",@eddyespinoza6619,2025-02-10T17:02:33Z,6
"This is absolute magic right here, Beautiful blend of vocals😭😭✨️",@angeliquism,2025-03-15T17:46:28Z,5
"Between the Luther Vandross sample, the hopeful lyrics, and the SZA feature, this song is healing on so many levels.",@JulieNelson-q4i,2025-04-05T04:19:17Z,5
"The beat,melody,and lyrics are perfect. Kendrick and SZA are very talented singers. Kendrick raps but that doesn’t stop his angelic voice from coming out. And don’t get me started on SZA’s voice. Absolutely perfect 👌. And that “Roman numeral seven bae drop it like it’s hot if this world was mine I’d take your dreams and make them multiply” Was so good Kendrick. I keep listening to this on replay i mean what can I say it’s perfection especially this duo on the same song. This is my favorite song by them 30 for 30 is my second. Love the song.❤️❤️",@MsSlim3026,2025-04-11T00:45:48Z,5
"Man, people been sleeping on this man's lyrics and meaning",@yaazzyy8410,2025-02-16T07:07:04Z,5
"IT'S NOT ABOUT THE FLOW, IT'S THE KNOWLEDGE THIS MAN TRYING TO PRESENT TO THE PEOPLE. EVERYTHING ISN'T ABOUT ""murder, drugs, ass. killing"" THE SELF DESTRUCTION ISN'T IN HIS LYRICS SO I GUESS THE PEOPLE NOT GETTING IT. MILLIONS VEIWED YET HALF STILL LACK THE KNOWLEDGE OF THIS MESSAGE. MR. LAMAR YOU'VE MADE ME LOOK...",@jackielynch8237,2024-12-22T01:09:52Z,5
I love the beat,@marlonamikie8783,2025-02-20T18:11:27Z,4
"Kendrick + SZA snapped with this song it is phenomenal.  The Lyrics are amazing, the best R&B and Hip Hop vibe this year. Thank you for this AWESOME song‼️💯🙌🏾💜💣🧨🔥🔥",@AliceChapman-j9q,2025-02-27T22:37:55Z,4
"There is not a lot of geminis with birthdays that fall on the 17th. You make me feel empowered , I'm so happy to discover an artist to share the same birthday as me. You make me really PROUD to be born on that day. You make me feel like I made it big in another timeline and event in life through a different set of eyes and experience😅. I won't get deep, lol, but I am absolutely PROUD of you, man! Keep letting ppl know about these weirdos out here! 😅 We don't stand for that ish over here in CONSCIOUNS  AMERICA stone em is what I always say! Fym😐",@june2110,2025-02-26T23:14:16Z,4
OK but SZA’s  vocals were amazing at the Super Bowl!!,@meme.duck.official,2025-02-15T17:45:31Z,4
dont go breaking my heart vibes,@BenBeard12,2025-02-21T10:34:49Z,4
The Vibes are something else ✨️  Kendrick and Suza definitely put the world 🌎 on notice ❤,@jackiewynter,2025-04-13T20:35:54Z,3
This goes too hard…..the chemistry and harmony on this track straight fire!!!!,@jasonsimms1571,2025-02-10T15:48:51Z,3
This song every lyrics touches my heart ❤,@shankhasaha9,2025-02-03T04:16:55Z,3
Vibe goes hard af,@Julian.castelo,2025-05-29T02:34:04Z,3
Love the vibe,@jessejulies4010,2025-04-25T17:54:13Z,3
It’s giving into the spider verse,@AlexChubb-hj9zq,2025-01-16T05:09:12Z,3
"Man the more I listen to this? I understand more. He they said “ if it was up to me? I wouldn’t give the nobody’s no sympathy”. At first I was thinking like that was a shot at ,somebody whoever and they lied that they are saying is nobody like ignore him, etc. But as I listen more ? That’s not what they was saying. They were saying “if it was up to me I wouldn’t give these nobodies no sympathy .I will take away the pain and give them everything”.Powerful. Meaning? Everybody is feeling like they nobody’s? Make them feel seen make them feel equal. Show them that they are just important in this world as everybody else. They goats in my eyes.💯💯💯",@RoderickGarrett-x7h,2025-02-24T05:55:42Z,3
"Hearing this song is being performed at the Superbowl, which was beautiful 😍 🤩 👌 I'm glad I got the chance to enjoy this beautiful melody 💙 💜 ❤️ ♥️",@naomiking4159,2025-02-20T03:35:00Z,3
This song hits tha beat like i was vibing,@Malka_1890,2025-04-09T16:27:34Z,3
"His songs mean something deeper and deeper to me everytime I listen to them, consider me inspired imma meet bro one day n imma share my story the same mf way on my soul.",@mr_fuzzo1431,2025-03-20T03:42:48Z,3
"this duet, so official...the harmony!",@trish4905,2025-03-27T03:42:14Z,3
This should be in the next spideverse movie. Just sayin,@sneakyfox_33,2025-04-05T21:26:53Z,3
