comment,user_name,date,likes
"The first chorus with the crowd screaming ""they not like us"" is pure goosebumps",@richiwillemse1481,2025-03-21T20:32:16Z,411
"I am a 59 year old woman and when I tell u that Kendrick has me turning this up EVERY SINGLE time. Dont know why it resonated with me waaaaaaaaaaaayyyyyyyyy before I knew there was a beef. I just loved the beat and lyrics. But baebeeeeeeeeee, the SuperBowl performance had me with such great pride!!!!! As one of soldiers on the frontline of the movement from 60's to now, I must say I was so impressed and loved it. It got me into the rest of his music. Im highly impressed and proud of K-Dot. For the first time I feel like this young man brought generations together. Me my kids, grandkids and great grand vibe out to this anthem. Yes I SAID ANTHEM !!! Also with wats going on in our nation in 2025, baby we need this and so much more!!! I know I can speak for our nation when I say. THEY NOT LIKE US!!!!",@deevamartin7413,2025-03-22T23:29:08Z,98
"When Kendrick drops, the world listens. this isn’t just a song, it’s a warning; every bar is surgical, every beat is heavy, and “They not like us” became a national anthem overnight legendary energy.🎉1 year of release already",@Yvanclario,2025-07-17T17:06:36Z,89
Bro the beat alone is legendary,@spvc4696,2025-04-23T15:14:15Z,47
"""once upon a time, all of us was in chains, homie still doubled down callin' us some slaves. atlanta was the mecca, building railroads and trains. bear with me for a second, let me put y'all on game. the settlers was using town folk to make them richer. fast-forward, 2024, you got the same agenda. you run to atlanta when you need a check balance."" was my FAVORITE VERSE omg",@nezukoshairribbon,2025-05-24T03:44:35Z,41
4:08 This part of the video and the song has got to be the best response to the allegation that Kendrick is a wifebeater. Whitney wearing a wifebeater and dancing to not like us.,@klaidikamberi786,2025-04-25T08:32:30Z,35
I will never get tired of this song lol. The beat is 🔥,@kjwdeuce88,2025-04-25T15:15:07Z,34
This BEAT… Mustard for Prez!!!,@markcosby7129,2025-05-10T17:16:59Z,31
"""Beat your ass and hide the Bible if God watchin"". 😂😂😂😂😂",@Doxiemama16,2025-03-21T21:21:44Z,31
"I'm making a shout out to Kendrick Lamar. He killed it, give this man his awards. He is the king 👑  and people can stay hatting but Kendrick Lamar nailed it, he beat Drake down so hard with this song and the other song to called euphoria. I'm a huge fan of this man work and I love how he is working with sza they are both know for r&b and rap. I love their voices together and I hope that they make more and they are probably on tour. I love you Kendrick Lamar keep up the amazing work 🎉🎉🎉🎉🎉🎉🎉",@Edward-z7l,2025-07-10T18:24:37Z,27
Playing this at max volume so even my neighbors can vibe too.😂,@SM_MusicVibe,2025-04-28T18:54:03Z,26
Humble and this was first thing I played through my new studio Beats!!!,@dridge10way,2025-04-12T15:48:01Z,23
Ten years from now this will still b a vibe,@karenwilson6139,2025-05-26T22:00:38Z,22
This song is still undeniably catchy.,@JMD_XIV,2025-08-04T14:55:02Z,19
Amazing beat ❤,@KiriDeth-t3z,2025-04-02T02:06:45Z,17
"I've been listening to Kendrick since he was K. Dot. (After listening to ""Spiteful Chant"" & ""A.D.H.D"" I knew he was gonna blow up)I have no idea why Drake thought beefing with one of the best Lyricists ever and one of the few that was able to go MAINSTREAM without selling out would b a good idea. Who else would make a beef song the biggest hit of the year AND play it at the Superbowl with drakes ex serena. Even when Drake was at his best he still would have gotten completely destroyed. And props to kendrick for the last verse",@nateb9054,2025-04-23T19:23:56Z,16
The scale of annihilation this song is systemic..and deep..and danceable! I love it!,@kingLanos,2025-03-21T15:13:04Z,15
"Lyrics genius on so many different levels and I don’t listen to rap, but I was ALL in! Lamar, you did this!!",@shawndaj4156,2025-05-08T18:49:12Z,14
We coming back to where Drake took notes,@thatkevboy,2025-04-01T11:18:35Z,12
The fact that bro made a viral diss track about drake and has this many views just shows he know exactly how to make proper beats,@Toniforever,2025-03-27T20:08:54Z,11
Man idk how this is still such a vibe,@Chibwe-j1i,2025-07-13T21:05:04Z,11
"In the 3rd verse, when tommy the clown blows the first whistle , kendrick and the dancers froze in the corner. So dope 🔥🔥🔥",@NotWhoIAMButWhatIAM,2025-04-13T11:46:07Z,10
"The fact that this song is copy right free, is a bop AND a drake diss!.. No wonder everyone learnt the lyrics fast lol",@Just_a_dott,2025-04-19T08:05:31Z,10
"The beat is insane, simple but effective, as always Mustard on the Beat never dissapoint, not to mention Kendrick Lamar. Kind regards.",@LaVerdaderaEscencia,2025-03-26T05:46:24Z,6
My ex used to talk so much crap about Kendrick lol and on days when we would drive he would sing his lyrics and I would said “I thought you hated the man” it just shows how men hate men who are successful lol😮 I died😂,@Spanishkandy,2025-04-14T07:25:02Z,5
thinking back of all the times I said Kendrick was the greatest alive without skipping a beat and I was right,@itsMalma,2025-05-14T14:21:31Z,4
"Drake is dead meat ,his comeback will never be powerful like this song",@EdithMangena,2025-03-24T10:44:08Z,4
"Too busy trying to learn the lyrics, I didn't even notice Demar Derozan, twice, smh...",@AnjanetteDukes,2025-06-06T22:08:04Z,3
I have dementia and i still memorized the lyrics to this song,@VicioustheWise,2025-06-17T23:52:40Z,3
"At school, I guess this song by the first beat",@Zone-BOT,2025-06-23T19:32:11Z,3
"This is not music, nor is it singing .The guy is just talking  against the background of the shitty annoying beat.  Why would anybody listen to this crap 😂",@davitdavit87,2025-03-27T11:50:55Z,3
The vibe is so good,@Bryson-xi4tc,2025-06-14T03:08:55Z,3
Drake took THE WORST L in hip hop hop history 😂😂,@TirsitGezahegn-k9l,2025-08-04T15:01:48Z,3
"Does anyone wanna talk that in God’s Plan, There is a chorus with fans and there is a chorus with fans in this😮😮😮😮",@Odenhitsdingers,2025-04-17T03:26:52Z,3
"Dear Kendrick, I hope you read  this  comment. You make good  music  but your superbowl performance was terrible and what you did  was awful  i hope you  get canceled  for what you did trying to  start a revolution is just plain out  stupid that  war and revolution stuff ended years ago",@TammyPowell-x5o,2025-06-12T22:33:13Z,3
Say OV-Hoe 😂😂 that’s an emotional damage,@joeyyahya,2025-04-07T23:47:24Z,3
This song is trash. The cadence and voice he is using is fucking annoying.  Wack shit.,@justice5088,2025-04-07T23:13:38Z,3
Kendrick gave a Master Class on a lyrical beatdown. He's the Lex Luther of Hip Hop!,@RAM6165,2025-03-21T19:21:53Z,3
This is such a vibe,@Viper.afk9,2025-03-26T17:12:38Z,3
Kendrick is a Temporary club hitta Drakes music will always play at the Club 🔉🔉🔉,@edwardrivera206,2025-04-02T17:20:57Z,2
Kendrick is one of the worst artists i ever heard,@00pium_HXGCartiKenLoneVAMPMAN,2025-07-01T16:43:19Z,2
Mustard on the beat hoe 🎉,@yourfavoriteaudience7460,2025-06-22T05:03:32Z,2
"Beat that halftime show...... anywhere..... He didn't even rap my favorite of his..... But Serena, I had to stop and rewind 🥰 who won the game?",@Mr.Wade-i8l,2025-07-12T17:41:16Z,2
"Kendrick Lamar Duckworth (born June 17, 1987) is an American rapper, singer, songwriter and record producer. Regarded as one of the greatest rappers of all time, he was awarded the 2018 Pulitzer Prize for Music, becoming the first musician outside of the classical and jazz genres to receive the award. Lamar's music, rooted in West Coast hip-hop, features conscious, introspective lyrics, with political criticism and social commentary concerning African-American culture.",@KendrickLamarwebsite,2025-08-08T12:57:46Z,2
🎉❤I like this vibe 🚬☠️🔥,@DuliepreMarkens,2025-03-28T02:56:58Z,2
Something catchy about this B 😂,@IGlowIFlow,2025-04-06T00:52:45Z,2
Mustard on the beat hoe 😂,@PACKGODJr12,2025-03-22T03:16:18Z,2
Killer lyrics!!,@ludovisian5063,2025-04-08T23:08:33Z,2
