comment,user_name,date,likes
This will go down in history as one of the best songs of all time,@pandp5489,2025-08-07T18:27:43Z,337
"Bruno Mars and Lady Gaga created something truly timeless with this song  it’s not just music, it’s an emotion. The way their voices blend feels like love, loss, and acceptance all in one breath. It’s a reminder that even in goodbye, there can be beauty, and even in sadness, there can be love worth smiling for.",@tfoxnaga2893,2025-08-20T19:11:47Z,244
This ain't a song it's a raw emotions 😔,@bablumagotra822,2025-07-15T14:13:21Z,82
This song hits so deep...I pray that everyone finds and gets to be with that someone who they want to be next to...,@DrAmanKapoor,2025-08-21T19:14:54Z,53
"The retro vibes are strong with this one - a perfect blend of their iconic sounds and styles. This is the collab we didn't know we needed, and now we can't live without.",@SarahClark-g5q,2025-07-26T16:42:47Z,48
"Once a wise man said, "" when you're happy, you enjoy the melody but when you're broken you understand the lyrics """,@sunitasaha2312,2025-08-14T15:56:58Z,47
This is not music. It is a brilliant piece of magic that brings tears to my eyes. Imagine being with someone you love deeply and wanting to be by their side as the world ends.,@moizali3322,2025-08-16T13:01:06Z,37
Love that they wrote and recorded this in one late-night studio session—feels like you're overhearing something deeply personal.,@7thoctave,2025-07-29T08:46:21Z,31
"What a beautiful old guitar.  You just don't see Silverstone anymore, like you used to.",@stephanieredden8861,2025-08-03T03:20:50Z,29
I heard this song on the way to my husband's memorial service.  I never heard the song before that day. It was like he was speaking to me. Thank you for the beautiful message,@dianeprice3334,2025-08-06T15:17:20Z,26
It's been a year since this song was released. This song is the most beautiful song my youth gave me. It will be my favorite song for the rest of my life and the song that makes me emotional every time I listen to it……,@Numberonegirl-n9r,2025-08-20T10:22:01Z,24
Clearly it should hit billions of views because of the vocal of those two legendary Singers in one frame. Both's vocal are majestic❤🎉😊,@Xtheticlover,2025-07-15T14:37:16Z,24
"Bruno Mars distills galaxies into groove, every note a star collapsing into soul. Lady Gaga sculpts silence into spectacle, wielding emotion like fire spun through glass. They aren’t artists; they’re phenomena. rare alignments of spirit and sound that make time stop and hearts remember how to feel.",@FritzHeraldLozano,2025-08-01T18:02:22Z,22
"My wife recently passed it and sums up my raw emotions. My best friend, my soul mate ❤️",@epickersgill,2025-08-21T13:58:32Z,20
Emotions of A.O.T fans😭😭,@RIMCOL,2025-07-11T16:05:29Z,15
"Bruno words are so CLEARLY & ROMANTICALLY SOUND. I just adore Lady Gaga, she GORGEOUSLY  BEAUTIFUL with her strong POWERFUL VOICE. 🌹💋♥️💙🎶🍹👏🏽💯",@karenvtowns9054,2025-07-18T03:02:51Z,14
This song really brings back the 2010 Bruno Mars vibe.,@IISkullzyII,2025-07-25T19:38:00Z,13
I'm sure this song will become a legend and in a few years we will feel nostalgic for that time,@Pědørinŋ,2025-08-15T15:31:17Z,10
This song is related to a lot of my memories and whenever I listen to it I feel nostalgic for those days 😢💔,@لين-88-77,2025-08-07T01:10:10Z,10
1.2 Billion views in less than a year its just amazing that the song hits so deep that it heals my trauma,@abhinandnshamin9606,2025-07-16T15:14:59Z,9
"This song is not a song, it is a masterpiece both with its lyrics and melody😍 I can't stop listening to it.",@seda986,2025-07-14T16:27:50Z,9
This song hit the deepest part of my heart.🖤,@falsh6591,2025-07-16T10:18:20Z,9
"My 10 year old Grandson was always singing this song , always ... I was like play that song you always singing for me . He went to youtube and played it for me and I've literally been having this beautiful song on repeat every since 😊 ... True story !!!",@anthonystacks5974,2025-07-14T00:05:01Z,9
Lady Gaga's lyrics and Bruno Mars' vocals are so beautiful... that their voices fit together so well.,@Dahyunmylife-z2u,2025-08-12T08:28:07Z,8
"Magical lyrics,bruno mars and lady gaga combo hit my heart",@beautysaha7420,2025-07-30T16:10:48Z,8
OMG  The song and the lyrics are off the charts !,@patmcglone5367,2025-08-14T22:46:58Z,7
If you truly realised how deep this song goes in your soul It truly sets me free😊,@refentsedanke9960,2025-08-21T18:55:28Z,6
It brought me to  tears its so powerful  it reaches you heart,@chukadunkwu,2025-08-10T17:10:48Z,6
This is how I feel about my man if the world was ending I want to be next to him only my heart beats for him only ❤❤❤,@LiamMyler-f6o,2025-08-14T15:04:01Z,5
This song makes me feel deep about my trip to Australia just ended yesterday,@wassupbuuuuuuhdy_gfriend,2025-07-30T03:28:55Z,5
People don't realise that whoever came up with the rhythm is the true genius.,@TheAlexis4444,2025-08-15T14:50:57Z,5
This song is one of the best songs in history we are proud of Lady Gaga and Bruno Mars .And they are also Legends 🎉🎉.,@KingArthur-b1w,2025-08-23T13:40:22Z,4
Emotional song😢😢,@RefruMog-y5c,2025-08-02T14:00:18Z,4
Unreal vocal ❤❤❤,@neerajxwow,2025-08-07T14:27:03Z,4
Such a beautiful harmony of voices and visuals. Timeless art! 😊👍,@Tungushbay_s_Picks,2025-07-22T19:44:18Z,4
One of the greatest collab songs in history 🙌 👏,@mythicgamer6291,2025-07-11T01:29:02Z,4
Um ano do maior hit atemporal ❤,@luizguilherme9348,2025-08-16T13:07:52Z,3
I'm not a great listener of music and don't keep up with it at all.. day before yesterday my wife dedicated this song to me..and now its been running non-stop in my mind since then..get tears in my eyes listening and feeling the beautiful lyrics..! We celebrate 10 lovely years of togetherness at the end of this year..!❤ Cherish every moment you have with your loved ones...!,@mahmoudbhingraj6382,2025-07-17T20:16:15Z,3
"A real heartfelt song in my opinion, amazing chemistry and harmony",@alex23wolf,2025-07-14T06:18:11Z,3
I listen this everyday... It's gives a Good Vibes on their High Notes ♥️❤️♥️❤️ damnnnnn 🌸,@rizwanakhtar1552,2025-07-24T09:56:25Z,2
Worst song,@PALLAVBhattacharjee-m5z,2025-07-30T17:08:52Z,2
"Eae du do futuro, tá com sdds desse tempo né...",@Duzzx07,2025-07-15T18:04:09Z,2
Wow! Strong message!,@Lawrence-DJ-Music,2025-08-01T19:22:35Z,2
Story of my heart and life 💘,@carlosplayer5115,2025-07-17T02:24:05Z,2
This song is the most annoying song of all time ngl,@PopeMediaa,2025-08-14T00:41:07Z,2
😢❤❤❤😢😢😢I get emotional every time I listen to it!!,@maryciliciousflores1287,2025-07-16T08:31:00Z,2
"A month ago, I was almost dead and I heard this song that made me cling to life, now I'm recovering properly, but every time I hear this song I feel life very deeply.",@joseantonioejarquemartinez7622,2025-08-11T19:09:06Z,2
