comment,user_name,date,likes
"this version sounds so happy... the beat like a refreshing summer day is so catchy, I loved it. congratulations queen lisa 💗",@pearlesccen,2024-12-07T22:28:54Z,245
I love Lisa's vocal. She have sweet and youthful voice. Hope she continues making songs.,@waktokong9288,2025-02-17T17:39:45Z,46
"What’s amazing about this song is how it’s not just a love story—it’s full of energy and creativity. Instead of a typical ballad, it has an upbeat vibe that still captures so much emotion. Love really does bring out the best in people.",@PennyEatsr0ttenF1esh,2024-11-26T19:07:57Z,35
She is gorgeous. Her smile is beautiful and I love the soft sensuality in her vocal tone for this song.,@justhere856,2025-01-12T06:20:10Z,26
absolutely beautiful vocals omg I LOVE YOUR VOICE SOOOOOOO MUCH,@jacobb384,2024-11-19T22:51:09Z,24
"Just so everyone knows, this song is an homage to the original track ""Kiss Me"" released in 1998 by the band Sixpence None the Richer. The original songwriter from the band is also credited in this track. It has the same melody but with modified lyrics. It's a nice rendition of the original",@mugglepotato,2025-01-23T04:31:04Z,19
Lisa's vocals are divine>>>>>,@nazyshakery,2024-11-06T17:51:39Z,17
Love the chorus and small ending sample from Kiss Me by Sixpence None the Richer here. A beautiful oldie romance song and she’s given it a new twist! Love it!,@genglee5795,2024-10-21T11:35:24Z,17
This song is just unforgettable ❤,@PrincessWorld-pq9qb,2025-03-14T04:22:27Z,14
"Her vocals on this track are so freaking good! This is why she is my Bias in BlackPink, is just everything. The sample of Sixpence None The Richer’s Kiss Me was a great choice. I LOVE YOU LISA!",@bryangintora9541,2025-06-12T14:18:23Z,13
Lisa Winning Moonlit Floor( Kiss Me)Black Melody Awards From Line Melody in Thailand For Being Most Downloaded Song..Congratulations Lisa..🔥🎉🥰😘,@nikitapatil362,2024-12-01T05:30:38Z,12
In love with her voice and tone . Plus she looks gorgeos here . Amazing performance🤭❤️,@Purevmaa-m8i,2024-12-01T12:40:13Z,11
Lisa is litreally the all rounder like rap vocal and sharp voice omg😭i love her❤,@anjonkhayer4695,2024-12-21T03:45:33Z,10
I have never seen Lisa like this before. The way she smiles like she is really truly madly deeply in love.,@YasmeenDavis-d7w,2024-10-28T12:17:08Z,10
This is on my relax time playlist! Love the vibe!!! 😊❤,@Lk_b127ea,2025-02-20T21:41:12Z,10
Ahhhh. The melody is very chill,@Zhengdannih5hk,2024-10-26T02:48:14Z,9
"I love the new twist in the old song! I used to listen to the older version when I was a kid but this new version is amazing! Great beat, great job lady! This is perfect!!!!!! ❤",@tonyfredregill3659,2024-11-03T12:52:20Z,9
"Who said Lisa's vocals are boring, NEVER ! Her vocals are literally so amazing, she must be in vocal line of BLACKPINK. ❤❤❤❤",@humairaqaseem3463,2025-02-15T18:08:43Z,9
Oo-la-la-la this is catchy and loving that sweet sultry voice of you Lisa ❤,@angelafernandez736,2024-11-03T15:35:08Z,9
Lisa's vocal are the best❤,@aaishafauzul1753,2025-02-20T11:15:09Z,8
Even in melody Lisa slays,@saimanohar123,2024-11-30T08:24:14Z,7
"This song is so my vibe & it’s got me in a chokehold. Definitely one of my fav songs from her so far. This song suits her so much & just the way it’s laid out & sang is so beautiful. The vocals , the lyrics , the soundtrack , the visuals , the styling , the rapping , the swaying etc. Everything about this song is so beautiful & everything about this performance video.",@Tqn1shaaa.x,2024-10-22T18:47:31Z,7
So beatiful music ❤❤❤,@SOFIARODRIGUEZ-zk8ub,2025-02-21T19:33:54Z,7
Su vocal es hermoso,@JuanMuñoz-x9c,2025-06-14T14:51:55Z,7
"Well, a very different style of song, but also very good! Showing versatility in vocal chops and performance style.",@ArcaTubism,2024-11-02T10:28:53Z,6
"Love her vocals, hair & outfits 🤍🤍🤍",@ThaiAmericanBarbie,2025-03-09T22:22:56Z,6
Everyday am watching to the song lisa vocal is really amazing 👏 ❤,@Lilarubyajane,2024-11-19T05:53:48Z,6
I believe she has found her sound. This type of song fits her personality and vibe. Lucky French boy lol,@AkagamiTRii,2025-03-06T00:30:23Z,5
Omg Lisa vocal ❤,@lalisa_100k,2024-11-02T15:49:56Z,5
"Lisa is so beautiful, vocals so sweet💖",@HollyMollyEl,2025-04-23T05:59:56Z,5
The vibe of this song is so good!!!!,@Lk_b127ea,2024-11-23T14:43:05Z,5
This song is soooo catchy i wanna watch again soon,@glaizabustamante4317,2024-10-27T00:25:15Z,4
Lisa is beatiful,@Røbger_gøød,2024-12-04T05:35:12Z,4
ONE OF THE MOST POWERFUL MUSICIANS IN THE WORLD IS LISA !!!    SHE INVENTED HIGH QUALITY BOPS AND BANGERS...,@blackpinktallyph,2025-01-29T16:56:42Z,4
"This is December 2024 & MOONLIT FLOOR by LISA is exceedingly exciting, exceptionally enthralling, excellently elegant and exquisitely expressive. She is sparkling, spellbinding, soulful, sincere, superb, sweet and simply spectacular in her singing. ❤❤❤❤❤❤",@kesharisuthar3268,2024-12-08T19:01:30Z,4
Lisa vocal’s and truly heavenly! let’s support Lisa FOREVER.,@angeliclillies,2024-10-21T16:55:35Z,4
THIS VIBE IS GIVING PERIOD SLAY GIRL🎶🎶🎶LIKE THE LRYICS ''Kiss me under the Paris's twilight.Kiss me out on the moonlit floor.''❤❤❤,@Starry8282,2024-11-27T23:06:36Z,4
"I love Lisa she is incredible but... this song is just  a nostalgic memory of sixpence none the richer, could have done better, Lisa is a star !!!!",@nancydb,2024-11-19T22:52:46Z,4
Lisa voice is so powerful and amazing ❤,@melbajance1729,2025-01-14T23:59:17Z,4
I have never seen Lisa like this before. The way she smiles like she is really truly madly deeply in love.,@phonghuynh2026,2024-11-05T15:10:26Z,4
I like how melodic lisa voice is and v rhythmic as well ❤❤❤,@xiaoramyun,2024-11-07T17:12:07Z,4
"Lisa’s vocals so beautiful, smooth and dreamy",@LuvIt-e5z,2025-04-06T01:03:23Z,3
OUR LALISA IS SO INLOVE!!!!!! Loving her vibe here so much good vibes <333333,@bbeyxo,2024-10-21T02:00:41Z,3
never realize her vocal is pretty good too,@AA-kj4ic,2025-06-18T08:05:42Z,3
One of her best definitely. Simple yet powerful and lasting! ❤,@Mrhnds,2024-10-26T03:07:40Z,3
Now lisa also a main vocalist 🎉❤,@nasreenfathima4248,2024-12-07T16:53:40Z,3
lisa vocal is another level for this song ❤,@dicksonjalang,2025-07-25T03:36:51Z,3
Thai KPop artist singing in English a song including lyrics from an American band.,@timjones7336,2024-11-03T06:42:07Z,3
Moonlit floor is auch a vibe,@juliavlad1922,2024-12-06T21:37:12Z,3
Lisa vocal is so beautiful like moonlit floor,@nov_eric,2025-02-18T03:06:00Z,3
LISA VOCALS OMG ❤❤❤,@Lisablink3547,2024-11-18T20:39:32Z,3
I am not much of a kpop fan and this one definitely doesn’t have kpop vibes but I am enjoying her performance here even more,@chrisianne2651,2024-11-08T00:11:58Z,3
Her vocals are everything,@sabikunislamroja3407,2024-10-24T09:54:52Z,3
lisa have so fucking good vocals,@lalisamonabalisqueen,2025-06-06T20:33:19Z,3
I USUALLY DONT LIKE THESE TYPES OF SONGS WITH A SLOWER RHYTHM BUT LISA VOICE MAKES THIS SONG SO ADDICTIVE (POR LO REGULAR NO ME GUSTAN ESTE TIPO DE CANCIONES CON UN RITMO MAS LENTO PERO LA VOZ DE LISA HACE QUE ESTA CANCION SEA TAN ADICTIVA),@MILLER_1804,2025-02-08T03:28:55Z,3
"OMG, I really love her smile. She’s deeply in love. I still love this song, btw. I love Lisa’s vocals 😭💘‼️",@Crisyxedits,2025-07-11T14:25:47Z,3
Her vocals😻😻🔥,@FeruzaYangiboyrb,2025-02-08T11:54:28Z,3
Lisa vocal is amazing❤❤❤❤❤,@sathishariar,2024-12-18T06:39:27Z,2
2:28 SO BEATIFUL,@AccountingfirmMauricioAsociado,2025-03-12T23:49:40Z,2
Lisa. Beatifull,@handan1776,2024-11-03T15:02:05Z,2
Her vocal ❤❤❤😊,@Betialillar,2024-12-07T18:52:07Z,2
I am sorry but I am not a big fan of how the lyrics are changed from Milky twilight to Paris twilight.. I get the point but it sounds a bit cliche..,@pup929,2024-10-30T03:01:47Z,2
"if you are deeply in love, you will look just like this",@hanakoamano9037,2025-01-28T14:21:25Z,2
