comment,user_name,date,likes
"There's something on the vibe of this song, I don't know, makes me feel optimistic, a feeling I haven't felt in a while",@DrewR1311,2024-05-15T18:26:50Z,310
This has a 2013-15 vibe to it and I’m all for it,@virtue050,2024-11-25T19:02:12Z,101
This just gives me 2013/2014 vibes listening to this. My eyes and ears have been brightened 🤩,@saptieujobe9293,2024-07-23T23:34:11Z,101
This song has a beautiful and catchy tune as well as great lyrics.,@rainiercheewong,2025-05-22T02:03:59Z,68
I lost my mom when i was 13 and my dad and grandmother just a few months ago. I've been searching for a song to help me through this bc music has such a big meaning in my life. I love that i found a more upbeat song about losing someone.,@gwinpinkard7376,2025-01-05T19:29:57Z,53
"Those who deeply understand love often find it mixed with both joy and pain, as they feel its ups and downs very intensely.",@indanam1574,2024-05-19T13:07:59Z,41
I wish I could find an acoustic version of this song slowed down for my wedding song. It sums up our relationship so beautifully. ❤️❤️,@kellystahl3222,2024-05-25T14:03:48Z,28
"this piece of art is really made by true passion and  I feel it way down in my heart, I've truly been moved by your melody",@finalspoongaming9311,2024-11-30T22:06:17Z,22
"Beautiful! This song has such good vibes, optimistic and nostalgic at the same time!",@padmapriyapuppala5011,2024-11-24T02:47:01Z,17
Such a beautiful song! 🌟✨ The lyrics and melody create such a dreamy vibe. Absolutely in love with this! 💙🎶,@halilozel1903,2025-03-14T19:41:58Z,10
Just giving the AVICII vibes❤,@RAHISII,2024-06-13T22:54:36Z,8
This song brings me good vibes from 2014-2015💯. This is something I’ve been looking for quite a while. Songs that had melanin behind lyrics and just make you feel hopeful about life in general💫,@MrPandaOFICIAL,2024-08-28T22:43:10Z,8
this sounds like something i'd hear in a romance movie from 2014. it's so nostalgic!!!,@TheMaleSoprano,2025-01-01T19:42:56Z,7
Just discovered this song here on YouTube. It is great. Myles Smith is a very talented artist with an amazing voice. The lyrics are so good that I find myself listening to the song over and over again.,@lisaamarante7074,2024-07-16T00:18:39Z,6
"Idk how, but i was lucky enough to catch this song as i pulled into work. I searched it based on lyrics and found my new jam for the year.",@Shiny_Sean,2024-10-22T14:31:18Z,5
This song will be nostalgic one day ❤,@IshyJJ,2024-06-09T17:11:45Z,5
This one's pretty catchy.,@briang6815,2024-05-11T05:10:59Z,5
"Dude should have been longer first time I heard the full Version this song makes you feel something different. You have a look back through history, and some of the best songs ever recorded. Tell you a story. Push the limits man keep that verse going it’s actually crazy how much it pulls you in Your voice speaks volume.",@Blueysbbq,2024-05-12T14:49:48Z,4
Absolutely in love with this song 💯💪 Good Vibes,@RJSiciliano,2024-08-20T19:49:28Z,4
"You know he’s a true artist when one song (solo) can tear out your heart but keep it beating at the end of an ugly break up, only to find you again (stargazing) after an unexpected love comes back into your life.. Myles Smith is on another level.",@focuskiing6934,2024-09-16T00:42:05Z,3
This song gives off an Avicii vibe.🖤🍃,@zLzo10z,2024-10-22T20:32:33Z,3
I always feel the vibe whenever I listen to this song gat a great melody 😊😊,@AngelMalupande,2024-06-13T17:16:49Z,3
coldplay vibes,@SarahJones-jv2tt,2025-02-18T23:13:17Z,3
Finally! I was afraid listening to the chorus over and over would cause burn out but this has lived up to the hype ❤,@Calibanie,2024-05-10T08:35:18Z,3
vibe 2014-2015,@DarkNess-ix7eh,2024-10-28T17:43:12Z,2
Avicii vibe! Only the drop is missing for this song💖,@Milfish,2024-05-26T15:31:54Z,2
Same vibes as OneRepublic counting stars 🤩,@Doug-z4w,2025-02-21T05:29:29Z,2
"Good grief, can't anyone write something with more than 4 chords in the same pattern for the entire song..this song blows!",@anthonyharrison7034,2024-08-09T18:23:44Z,2
"This song seems so relatable and gives me the vibe of my crush who is a grade above me (but same age) is going to leave my school soon due to graduating 8th grade. idk why. but sadly this is gonna happen in 8 week days, i've known her since preschool but never talked to her till beginning of this yesr",@The_Axo_Official,2025-05-09T20:14:51Z,2
It gives of avicii and one republic vibes,@Itsonlyram,2025-01-21T00:00:51Z,2
This Stargazing (lyric video) by Myles Smith is very cheery and a one of a kind indie rock song. The music and lyrics have a mood elevating and highly artistic feel.,@stellacarrier8341,2025-03-13T04:48:03Z,2
Beautiful and lovely lyrics. The melody is heartwarming too. Great track 🫶🌻,@Oceangrace90,2024-09-10T19:30:49Z,2
"77 I am grateful universe, lord n angels 😇🙏💫💜",@Beauty-dt2fm,2025-01-03T22:42:38Z,2
Anyone getting any Hey Soul Sister vibes? 🤔🧐🤷🏻‍♀️😅,@jackies8021,2024-07-04T03:35:31Z,2
Superb catchy song only just come across it👏👏👏,@buzzabuzza3494,2024-06-11T12:14:05Z,2
2012 vibes here,@missangelpirateprincesspea7263,2025-05-14T14:57:31Z,2
I luv luv this song !!!  It gives u hope for luv & thru ups & downs !!!  It makes u realize that look up at the stars & wonders of this universe & almighty Divine God who created & gave life!!!❤,@Marge-x2e,2025-03-04T02:59:40Z,2
Generic Kygo,@trashew,2024-08-23T01:33:34Z,2
"What an amazing song, guy has a similar tone to james arthur but.....better imo.",@leegraham6822,2024-10-18T15:45:00Z,1
I get strong avicii vibes from this,@josesmith8569,2024-07-19T19:47:14Z,1
Avicci vibes,@fatejohnb0,2024-05-24T22:21:07Z,1
Avicci vibes,@Rogue_2B2,2024-06-13T10:37:06Z,1
"I cant believe im the first to say this nobody noticed just how obviously the same the piano melody is to ""how to save a life"" by the fray. way too obvious",@itschrispychips2012,2024-05-22T23:14:09Z,1
Song given 2017 vibes 🤭,@jaymatt3221,2025-03-08T19:59:25Z,1
just like James Arthur voice ft. avicii vibes,@gipxxx,2024-07-25T11:28:09Z,1
Vibe fortnite,@dbzmarco9961,2024-10-27T20:35:15Z,1
Why does this vibe remind me of Avicii,@nblanco_76,2025-03-11T23:10:40Z,1
GTA 6 vibes,@suhsah2937,2024-08-20T06:46:03Z,1
NCS Type Beat 🔥🔥🔥🗣️🗣️🗣️🥶🥶🥶,@howboutdattt,2024-08-01T02:24:20Z,1
"Somehow it reminds me of Avicii, it has a 2016 vibe! I haven't heard a song like this in ages",@souzarte_works,2025-02-15T21:13:04Z,1
Its giving fifa vibes,@hamzavlogs5385,2024-05-26T20:07:46Z,1
"I like the melody of this song, but I realized that it has a much deeper meaning…",@AydenPettit-z5u,2024-11-10T20:47:35Z,1
"The first verse is sang kind of like Train - Soul Sister first verse - ""Your lipstick stains..""""",@Paulina_at_Night,2025-05-20T16:19:13Z,1
"Vibes 2014/2013, ameeei",@eduardasilva5350,2024-05-21T22:26:09Z,1
🔥🔥🔥❤🎶this gets me in my deep thoughts frl 🤒🤒,@ExoticsweedTVpage,2025-01-18T03:23:52Z,1
This song gives me 2021 vibes 😢,@COLDLOVY,2025-01-22T20:16:05Z,1
This song sucks big time so annoying everytime it plays on the radio,@MarcoAndriani-yi6lk,2024-11-21T11:08:43Z,1
"I remember always hearing this on the radio, it reminds me so much of summer 2024, it’s so nostalgic.",@BenCor-h2y,2025-01-29T03:00:58Z,1
"I'm a sucker for this song. The voice, rhythm and lyrics are magnificent. Greetings from Argentina!",@joaquinvvvv785,2024-07-03T03:11:25Z,1
This gives me 2014-16 vibes,@NaiSkates,2025-02-17T22:19:14Z,1
Voice.lyrics 🎶 the world need music definitely,@peculiarnnedu7061,2024-11-17T06:40:51Z,1
Why the first lyrics rythm is same like Infinity by one direction. Am i the only one?,@R3Y22,2025-02-06T13:41:35Z,1
