comment,user_name,date,likes
Loving the old school Nicki vibe. pure fire .,@sergio1991M,2023-12-08T05:15:29Z,9859
The Beat‼️ The Flow‼️ The Classic Tone‼️ Nicki Is THEE GOAT‼️,@trasmiff3571,2023-12-10T02:37:58Z,5049
Loving the old school Nicki vibe. pure fire .,@thiagosoaresfarias,2024-01-05T17:56:18Z,1066
"I'm scared of nickis mind because how do you put out consistent catchy bars over a decade without sounding the same, just incredible innate talent and no one can deny it 🤩",@EuridesCardoso,2024-03-01T02:17:27Z,987
"HAPPY BIRTHDAY 🎂🎁🎊 omg you did it again as all us Barbz knew u would, Im currently stuck on this song it belongs on repeat atp, bless you and thank you for always delivering a beautifully articulated masterpieces, constructed in compassionate messages (s) through and genuine lyrics,music, straight down the beat. phenomenal.✨✨✨✨✨💗💖🎀💗💖🎀💖💗 thank you for existing, the whole entire world is a whole lot brighter with you in it, My Queen feliz cumpleaños💕💗💖💞💓💘💝🩷💕💗💖💞💓💘💝🩷",@connienightshade6075,2023-12-08T05:35:48Z,667
U can tell its a hit as soon as the beat drop.,@dirtyd757,2024-01-07T12:05:08Z,622
her second verse gives me chills it’s so good! you cannot tell me she didn’t slide on this 🩷🩷🩷🩷🩷,@aliceaartistry7875,2024-01-18T16:55:05Z,284
This beat is hard af,@stephaniehopkins3258,2024-01-29T14:17:52Z,233
The rhythm is insane on the chorus. Very unique and don’t even need to mention the attitude.,@Leoppassion,2024-01-12T17:42:31Z,196
Oh this beat is INSANE 🔥🔥🔥,@JT-444-YT,2023-12-08T05:13:08Z,134
Nicki's bars were genius and all the word play was brilliant!! You can definitely tell she is incredibly intelligent and has a lot of wisdom!! Her flow and technique is flawless!! She spit so effortlessly and fluently!! Her breathe control is perfect and she articulates her lyrics very clearly!! Nicki is so versatile the way she constantly and smoothly switches up her flow is impeccable!!,@EricaMarie72410,2024-01-24T19:52:50Z,116
"You always make the wait worth it🦄The Beat🔥 The Lyrics ,The Energy ,The Vibe You make us proud Everytime🤍",@LightRogue444,2023-12-08T09:04:35Z,61
This song makes me do The Nicki Bounce 🔥 The flow the beat. Yes ma’am!!!,@nickisbarb4402,2023-12-08T13:29:15Z,60
Beat go craazy,@DatBoiQ_,2024-01-06T20:22:17Z,48
"This song and whole album is a masterpiece!! Nicki's bars were genius and all the word play was brilliant!! You can definitely tell she is incredibly intelligent and has a lot of wisdom!! Her flow and technique is flawless!! She spit so effortlessly and fluently!! Her breathe control is perfect and she articulates her lyrics very clearly!! Nicki is so versatile the way she constantly and smoothly switches up her flow is impeccable!! Nicki gave us rap, pop, dance music, afrobeat and R&B all in one album!! love it!! Pink Friday 2 is fire 🔥 and I'm definitely here for it!! I think she did an amazing job!! Nicki righteously deserves the title of ""Queen"" and this album absolutely proves that!!",@EricaMarie72410,2024-02-19T22:30:39Z,41
"YES Nicki... her flow, the lyrics ALWAYS ON POINT...# 1 FEMALE ARTIST!!!",@kellysmiles8962,2024-12-31T17:44:09Z,29
0:24 The cellphone in the video 🤯 Bruh Nokia 6630! Gives me nostalgic feels #NokiaGang 🔥,@ConradRebello,2024-01-05T18:04:20Z,28
"This is so catchy, so glad this song is getting its flowers in a timely manner !\",@Dk-ds2jn,2024-01-18T06:37:09Z,28
"The beat, the flow 🤯🔥🔥",@KNdegwa1,2023-12-08T06:35:06Z,24
This song in such a vibe ❤,@Random-user666uhh,2024-01-06T23:55:31Z,24
nahhh this beatdrop at 1:22 should be illegal... uffff,@yassinstreamt,2025-03-29T02:22:10Z,22
She really ate first and Second verse,@nenala7684,2024-06-11T01:46:48Z,20
"Again; I’m a total metal head who appreciates the beats, lyrical flow of this song.",@NautilusNerfBall,2025-04-08T15:54:28Z,16
The beat go hard,@brandonkeller8828,2023-12-19T21:56:15Z,16
The beat go hard ❤️‍🔥❤️‍🔥,@Nikeira_Henry1,2023-12-08T05:19:53Z,14
