comment,user_name,date,likes
This song has no business still slapping this hard 8 months later. The second verse has me in my living room SWEATING like a maniac 😭,@humblebeans5511,2025-01-18T06:17:46Z,1970
"Beyond the lyrics and disses, his flow switch up and cadence on this is absolutely crazy.",@FunkyChild718,2025-02-13T14:05:30Z,957
"The beat is saying ""Drake like children"" 😂😂😂",@JayBrown-jb9mn,2025-02-15T19:55:39Z,591
Even without the diss this beat alone deserves to be played at the superbowl,@Themagnificentdlo,2025-01-31T16:42:33Z,303
This song is sooooooooo good thats why i still vibe to it everyday!,@Fathom_gtag,2025-03-23T01:41:07Z,150
"""Beat yo ass and hide the bible if god watchin"" is over the top devious.",@MiraculousTikiss,2025-03-21T03:38:58Z,118
"Happy 1st Anniversary to Not Like Us. I can't believe it's been a full year already for the songs release, I remember when this said 1 hour ago. Spring and Summer 2024 was peak, but Summer 2023 was better. The summer vibe and chorus goes so hard, the vibe goes hard. 1 year since this went off the charts along with Espresso by Sabrina Carpenter and Brat Summer, and many other songs during Summer 2024. I'm already nostalgic for 2024, so much good happened. This year really sucks horribly with the plane crashes, the stock markets, everything, basically. I know I shouldn't be getting nostalgic for 2024, but that was my year getting out depression from Late Summer 2023 and Fall 2023, so I do miss 2022 - 2024 a lot. This year hasn't been hitting in this crazy country and world we live in. Too many bad things are happening! I wanna go back so bad! May 4, 2024 - May 4, 2025 / May 5, 2024 - May 5, 2025.",@matthewmichel6508,2025-05-06T00:30:26Z,29
Kendrick is my all time favorite rapper period if that court goes through imma be the first one singing the song reading the lyrics and convos between the versus for the rest of my life legendary beef,@tonyellison7167,2025-02-12T00:58:53Z,27
"The beat saying ""oh a minor"" all through the song😂🤣☠️👌💯",@kevin-b15,2025-04-11T19:51:43Z,25
"""A minorrrrrrrrrrrrrrrrrr"" will be on Drake tombstone 💀",@mingavelasquez4608,2025-01-10T00:36:13Z,16
Second verse the best verse omg he left this solar system ‼️‼️🔥🔥🔥,@GokuSon-b8l,2025-06-27T00:33:41Z,14
"Watching the entire crowd shout a minor was a different vibe. Black history made, drake the first to get dissed at the super bowl 😅",@tameyamaxwell5149,2025-02-10T03:41:42Z,10
Proceeds to go listen to NLU after reading lawsuit. Cuz damn them lyrics was fire.,@LJDavisfamily6,2025-01-16T07:25:16Z,10
ngl this song went viral cuz of the diss but i just enjoy it purely for the beat and vibes. one yr later still a banger,@certxfied,2025-01-29T04:33:34Z,9
"What I never noticed until recently, the song he samples and the particular portion of song has lyrics that says “I believe it, I believe it!”. So it’s almost as if the piano is singing “I believe it” in the background throughout the song further affirming any validity in the lyrics. I know everything’s intentional with him so I wouldn’t be surprised",@Zipgimmedollas,2025-03-13T01:04:44Z,9
"Fav part 2:12-2:40 — the vibe is righteous anger, protective anger of a father",@BlueSkywalker-bd6vj,2025-02-19T02:56:47Z,8
"Not a rap fan. But Eminem the last true rapper, till I heard this from Kendrick. Lyrically this is a mastermind that destroys Drake.  He way deep into is lyrics and double meanings.  I mean 'whooo' clowing on the OWL, he a ballboy, a pedophile, multiple references, back to back, standup for PAC, called him a colonizer, called out his songs God's Plan and Family Matters, he a FAN, fake as nigger, telling people to run for their lives, Sweet Chin music (Shawn Micheals finish move on canadian Brett Heart)..JUST WOW",@ericneuharth3463,2025-07-31T15:47:04Z,8
"I have heard this song over and over and it's fire, but my people stay woke.....HIS MESSAGE IS POWERFUL!!!!!  1LUV #Big Meech",@RodneyWilliams-w7f,2025-06-13T19:01:16Z,8
If you truly understand.. this was a GREAT AND DEEP performance! Shout out to KDot!!!!!,@JodyJoeBlow,2025-02-10T20:26:57Z,7
The American Heart Association approves this song as being the right tempo for hands-only CPR.,@kevting4512,2025-02-07T18:29:45Z,7
Who here vibes march 9,@Brad77ley67,2025-03-09T09:21:14Z,7
J. Cole is probably just peacefully fishing In a tranquil lake while the rap universe is on fire,@Electric_gaming14,2025-04-30T08:22:10Z,7
the beat drop was EVIL,@Hawaiilover-w,2025-04-27T16:08:05Z,6
4:34 the worst part...,@nonameever47,2025-01-23T15:53:59Z,6
worst song of all time,@AlanRod33,2025-07-20T23:05:47Z,6
