comment,user_name,date,likes
the fact that 12 years ago national anthem was dropped with the same vibe and she is still relevant and has not aged is so fucking amazing to me,@soccerchamp81,2024-07-04T22:32:38Z,11951
She makes me feel nostalgic for things I haven't even experienced.,@BillboardRisingHits,2024-07-05T02:51:13Z,4630
Quavo’s verse is fire. But Lana’s flow on this is majestic,@caps07,2024-07-08T05:55:30Z,562
The chemistry they have is pretty undeniable. And i like that so much about this record. Such a freaking vibe,@LanaDelReyUpdates2,2024-07-05T21:39:41Z,421
am I the only dying over the bridge 2:15?! the melody and Lana's voice... honestly one of the best bridges I have ever heard,@laramaeva05,2024-07-05T14:26:00Z,351
As a biracial woman it touches my heart to see interracial love! I feel like this video also sends a message of interracial community. I love seeing people of different skin tones and racial backgrounds do life together. It’s beautiful! ❤️🫶🏽😊,@charisadjacobs,2024-07-14T15:46:53Z,178
this video gives me 2016 vibes,@pigtoes4850,2024-07-12T09:29:40Z,151
The tonal grainy quality of the music video is giving Summertime Sadness vibes.,@Honeymoonwhispers,2024-07-05T07:33:46Z,148
"I wish Quavo added another verse, his voice goes hard on this beat.",@cns187,2024-07-10T18:00:39Z,107
"One thing I love about Lana, she not sl#tting out herself , it’s just pure vocals -pure talent",@milesmeyer9252,2024-07-10T20:10:37Z,78
I need a full album by lana with this vibe,@shahafkeren3323,2024-07-05T10:10:33Z,78
"Today, on my mom's birthday, I stumbled upon ""Tough"" by Quavo and Lana Del Rey. The lyrics hit me hard, capturing the pain of losing her and how tough it has been without her. The song echoes my feelings of missing her deeply. It's a beautiful reminder of how much I love and miss you, Mom. Happy birthday in heaven. 😢❤️",@Cleanfreak-101,2024-07-23T08:22:43Z,76
"Am I the only one who really loves them together, like couple vibes!!!!",@lennaeclarke6850,2024-07-07T12:40:55Z,71
Lana will make you feel nostalgic about an experience you have never lived…. She is amazing wow,@Dro9291,2024-07-07T22:15:58Z,59
"these 2 artists created one of the best feature of 2024, 2 different genre that mix perfectly together, they seem to be in harmony and not just singing together tbh, that is a banger",@ebz667,2024-07-04T21:20:11Z,34
"@Quavo the song is so spiritual deep, has reached to the latest frequency, the song gonna win an award.",@hagenimanac,2024-07-11T21:39:37Z,29
A 2024 song and its already giving me nostalgic vibes 🥰,@stowmaundala6996,2024-10-05T16:44:07Z,21
"Damn? This song made feel what real music is, something with deep value and connectivity, THIS IS REAL MUSIC, I appreciate them both for giving I this masterpiece",@atla.makobo,2024-07-06T06:14:37Z,17
Timeless melody. Lana the goat,@SamHunt-zn4pz,2024-07-05T15:01:49Z,17
