comment,user_name,date,likes
"I'm a 38 year old metalhead who ONLY really listens to progressive, djent, and experimental metal genres, but I gotta say, I'm fr diggin this song. I love the 80s and 90s synths and percussions. It's truly a vibe. Def a guilty pleasure!",@AboutFalling,2024-09-27T05:06:33Z,1531
"This song is actually phenomenal. I'm mind blown how people write songs like these. The word play, beat and rhythm. Actual masterpiece. I listen to a lot of metalcore, post hardcore, pop punk but pop music has their really outstanding shining moments.",@krilaz,2025-02-08T18:33:08Z,1434
"""Bed Chem"" is the one that transcends 5 decades of music. 80s vibe of 90s hit, ""Into You,"" with the mid 2020 melody!",@ImLVLegitcusImthasht,2024-10-10T12:01:44Z,483
"Cannot express how much I love this song.. the funny lyrics, the unique beat, her voice, the funky dancey vibes, there's so many good things I could say!!!",@DiLoMusic,2024-11-14T03:18:57Z,271
That melody/riff at 2:19- 2:37… is something SPECIAL 🔥,@dbmusicc,2024-12-03T19:47:12Z,239
I love this song's R&B vibe.  This sounds a bit like some songs I listened to when I was growing up.,@marcusdj813,2024-12-10T22:25:23Z,171
My favorite part of the song is near the end when Sabrina sings those 90's sounding keyboard notes. Girl make more songs like this because my 1990 born self loves it!,@danielletopping2763,2025-02-07T14:53:34Z,107
It’s my birthday 38 today  and I couldn’t thinking of a better song 🎉🎉🎉 nostalgia definitely a 2000 vibe ❤,@vennessaosbourne4528,2024-09-23T19:24:21Z,79
"They played this shit 100x on the TV’s early morning in LA County jail… heard it so many times I ended up liking the song 😂😂🔥🔥 damn didn’t know the lyrics till now , 😂😂",@ogtokey,2025-02-10T16:57:00Z,65
"1:01 ""come right on me i mean camaraderie"" her lyrics are so unserious and i love it 😭",@brightneyspears_10,2024-11-02T19:41:22Z,58
Love how this song has a retro throwback vibe. Nostalgic. One of the standouts from the album,@ShaddyRaddyNY,2025-02-08T21:05:23Z,19
2:20 the duet with the synth is an awesome touch,@chuckscheller4346,2025-03-21T13:12:03Z,18
"I love her vibe, it's so different from everyone else. She knows how to have fun",@TheBaddie-q4u,2025-04-22T21:56:12Z,18
"This song is actually phenomenal. I'm mind blown how people write songs like these. The word play, beat and rhythm. Actual masterpiece. I listen to a lot of metalcore, post hardcore, pop punk but pop music has their really outstanding shining moments.",@TokingThomas,2025-04-11T00:54:47Z,16
"A little naughty for her, but I love it. The lyrics and the beat!",@RRWWandLS08,2024-09-24T08:38:15Z,12
Heard this on the radio today & cant lie it gave me that old pop vibe I fw this lol 🔥💯,@kentrellmays7695,2024-12-04T04:57:39Z,11
"Heard this song driving my teenage daughter to the salon the other day. I can’t even talk this fast. Missed my turn from being blown away by these lyrics. Dang, just dang. Perfect terminology. 😂",@lorib604,2025-01-08T16:55:24Z,11
