comment,user_name,date,likes
"This gave the vibe of ""Death Becomes Her"" 1992 movie ❤",@thepurplehaze87,2025-05-11T03:50:58Z,905
"idk how many times i've watched this, yall dont understand how badly i need a full movie of this vibe",@le.lfk20,2025-05-15T12:09:52Z,426
It’s giving  “Death Becomes Her” vibes and I LOVE IT!!! Please explain if I missed anything else,@maisiedube13,2024-11-19T05:23:48Z,365
I love the “Death Becomes Her” vibes 🫶💜,@dannelleboyd8191,2025-06-10T18:24:06Z,64
"The subtle details of this video like the callbacks to other videos, her heart beating to the music, or her banging the dolls head on the hedges to the timing of the song. I can't get enough.",@Packiechu,2025-01-07T16:56:28Z,52
"This track really hits the spot! The beat is so infectious, and the lyrics speak to my soul. Definitely adding this to my playlist!",@IvyYoung-w3l,2024-11-07T09:56:31Z,18
"I'm having a 90's flashback, as this music video has some Death becomes her vibes.",@michaelcranny6687,2025-01-14T03:32:49Z,11
This is giving me “Death Becomes of Her” vibes. I love it!,@tdavenport92,2025-02-09T05:59:20Z,11
"An interesting song with  and surprising for me, Sabrina keeps serving confidence, charm, and iconic vibes. Taste is cheeky, clever, and absolutely addictive. She really said you’ll just have to taste me’ and made it sound like pure pop gold. Queen behavior.",@butferwarebnd,2025-06-07T04:32:20Z,11
"This video was inspired by and pays homage to the movie ""Death Becomes Her"" a fun 80's classic you'll love which stars Goldie Hawn, Meryl Streep, & Bruce Willis. This video is basically a short version remake of the film that uses all the same gags, storyline, setups/pay offs, and digital effects. ""Death Becomes Her"" is one of my absolute favorite movies from the 80's which I've seen hundreds of times thru years, and Sabrina did such an amazing job recreating it here in this masterpiece! The only difference between the two is Goldie and Meryl don't have a kissing scene.  You guys have to now see ""Death Becomes Her."" Trust me, you'll love it and you'll thank Sabrina Carpenter for showing it some love, because it's such an underrated romance horror classic.",@QuincyDisneyVegan,2025-01-05T12:42:35Z,10
This is death becomes her vibes.  For anyone not old enough to understand that it's a movie.,@saracovato2268,2024-12-07T03:57:05Z,5
