comment,user_name,date,likes
"There is something in the feel of the music, the rhythm, the vibe of this song, is so comforting, freeing, in it's frequency that allows you to flow with it and enjoy the moment, that will carry you to the next, while you embrace the greatest gift of all .. the right here .. right now.",@JamesLeggett-v9x,2025-01-26T00:59:33Z,129
"The real emotional shudder in his voice sang in, this 9 to five ain’t working, we all felt that!",@sfwn444,2025-06-01T16:07:37Z,106
I still don’t understand how Beyoncé beat this guy to a Grammy this is an absolute banger of a tune,@craigshurmur6132,2025-03-24T14:18:45Z,49
Hey man I'm as white and southern as they come deep Louisiana and you are a legend. The violin is a nice touch also. Thanks for reviving music for a cinder of time brother,@dale1809,2025-03-14T00:37:27Z,42
Most catchy song ever man,@Awoodcock30,2025-06-01T14:38:29Z,23
He beats Beyonce's horrible album,@lisamccoy3497,2025-02-12T05:17:30Z,16
Definitely catchy,@I-5Drive,2025-03-22T04:05:51Z,12
"I like how this song uses no vulgarity, plain old lyrics. That is fun and music to beat.",@007musk,2025-04-12T16:25:44Z,12
I love it even more because he's a Nigerian of origin. So Naija people apart from afrobeat can be great country singers ♥️♥️🇨🇲,@tatianaketchasime4957,2025-03-16T20:28:32Z,12
It was my groomsmen walk out song. Felt like it represented all the times I drank with them lol. Just good vibes and good drinks 🍻🍻🍺,@Itovar169,2025-02-04T23:51:09Z,10
"""To the one reading this, though our lives may never intertwine, I send you my deepest wishes for happiness, growth, and fulfillment. May your journey be filled with endless possibilities, and may you always find the courage to chase your dreams. May life surround you with love, and may luck be your constant companion, lighting your way through every challenge.""",@musiccorner039,2025-03-04T01:06:26Z,9
Feeling the vibe🎉❤❤❤🎉🎉🎉1st best singer,@MaxDobson-bailes,2025-03-06T16:24:01Z,8
I love this song. It's upbeat . Here from the Southwest.,@loriwhalen1103,2025-02-17T05:16:20Z,7
We heard this song every time we got in the car when we visited Ireland this past year. Catchy tune and it takes me back to the backroads of Ireland. Love it!,@withloveleslied,2025-06-22T23:55:13Z,7
"What a fun song....great beat!!!  ""It's getting kinda late, but the ladies want some more, ""oh my!!! good LORD""  <----------Love that",@justthetruth2662,2025-07-13T22:15:10Z,6
Such a talented young man. And so many of us senior love this catchy tune. And the artist too.❤❤❤❤❤❤❤❤❤❤,@ShirleyRJones,2025-04-02T23:17:21Z,6
"6 months sober and this song stays on repeat not because I want to or miss drinking but because this song is a banger!!! Cheers to all those enjoying this song either with Jack, John, Jim or stone cold sober!!! 🤘💪♥️!!!!!",@MarkTibbz13,2025-02-27T15:46:00Z,6
The Vibes to this song is The best ‼️😊🎵,@NeieceeFavorite,2025-02-05T00:08:18Z,5
"Absolutely one of the worst songs ever made. Annoying voice, annoying sound, awful.",@laaarsas,2025-07-14T17:31:49Z,4
This song is weirdly nostalgic for me despite coming out very recently. It just kinda feels like a song that’s always existed,@Fieldkabuki,2025-02-02T01:03:43Z,4
"Great beat, fun lyrics... just an awesome song!!! ❤",@angelajohnson4245,2025-04-06T02:35:03Z,4
My mom listens to this music every day. l also like this music because it's catchy and l Love  It.❤❤❤❤❤❤❤,@AlizKis-j3v,2025-03-23T07:57:19Z,4
I'm 53 y/o washed up punkrocker. I love this catchy song.,@angelanelajuly2961,2025-02-24T21:43:02Z,4
i love the violin in the background. beautiful melody,@annaleas2091,2025-01-31T01:44:48Z,4
"Country music, relaxed vibe, simple joy and a deep, beautiful voice!",@lesterjack9122,2025-05-29T07:33:53Z,4
I love this song❤❤❤❤ perfect lyrics,@cherishferrer9722,2025-05-22T01:50:14Z,4
🗣🗣🗣🗣 I DO NOT VIBE THIS,@tms.midi.199x,2025-04-30T12:11:06Z,3
"I’m deaf with two cochlear implants. I love the beat and I understand some words. I wish this video have closed captions so I can enjoy it more. Add to this comment if anyone knows the lyrics for this song, I much appreciate it",@DavidVolk-d5e,2025-07-11T21:16:23Z,3
This song is to catchy I love it,@megacoregaming9635,2025-04-29T00:43:54Z,3
To you reading this… enjoy today and love deeply!! ❤,@mariamartinezvalencia3754,2025-02-03T07:49:26Z,3
Music is so powerful that it can unite the entire world. Love this one a lot.,@carolhankinsHankins2.0,2025-06-29T18:42:30Z,3
"What a great performance. Fantastic vocal, strings part fits so nice, and yellow dancer vibe👌. Perfect song for Far Cry 5.",@mckoxx14,2025-02-24T18:44:43Z,3
"He’s literally just vibing - no crazy effects, no drama. Just pure energy, good vibes, and killer vocals. This is how you let the music speak for itself. Absolute legend 🔥",@Backroad.Country,2025-07-14T08:42:33Z,3
The melody is perfect also I’m currently 5 feet in the air on a metal swing. And his hair is awesome.,@wendyquinn6061,2025-06-04T23:14:59Z,2
This is catchy as hell,@grandmastersilkl,2025-06-07T18:37:25Z,2
I vibe to this everytime I hear this on the car radio 🎉,@larasvetec8739,2025-05-17T14:25:59Z,2
I think this song is so powerful !!,@jorgemurillo4071,2025-03-04T05:24:43Z,2
I love this song's vibe. YOU DID AMAZING SABOOZY!!!!,@LyriqEverett-n8q3w,2025-06-06T00:27:52Z,2
"You need more money bro you lyrics are amazing shit needs to be billions, lol 😆",@nathenbailey1077,2025-06-07T00:49:42Z,2
"I love how the music video is just so simple no special effects, no fancy lights",@allisontucker9874,2025-05-12T20:10:36Z,2
"Shaboozey really nailed it with this one! A Bar Song is the perfect blend of country vibes and catchy energy. The lyrics are relatable, the beat is addictive, and it's impossible not to sing along. Easily one of the best songs of the year!",@butferwarebnd,2025-06-07T07:26:11Z,2
Love this song! Got a good beat and it's easy to dance to.😂,@CynthiaCarrillo-m7l,2025-07-13T19:03:20Z,2
SO CATCHY 🔥🔥,@JudahWardropeMusic,2025-04-03T02:59:47Z,2
Oh my gosh. I love your music. Please make more music videos. I love all your songs. Please make a way more music. I just love all your songs. They're so catchy.😂❤❤,@JaidenCoulson,2025-03-03T20:12:12Z,2
Essa música traz uma vibe tão gostosa ❤,@lukkasborges788,2025-04-08T13:52:08Z,2
1:32 best vibe I've had in years,@Umar-gq8ry,2025-02-15T05:43:01Z,2
its so catchy lol,@Devante-m4l,2025-02-03T22:41:23Z,2
I wish everyone listening to this and feeling the vibe a double on me,@mikeeubank246,2025-01-25T02:00:48Z,2
W song. So damn catchy. This shit is just a whole damn mood.,@Xv1Galaxy,2025-07-07T04:07:20Z,2
Huge TEXAS VIBES🤠!..🍺🍻🍺🍻🍺🍺--🥃,@drunken-skunk,2025-02-22T21:21:48Z,2
Great beat great hit i dig it thank you,@CaddyWhammpous,2025-04-06T03:08:41Z,2
Merkules did it better. This much autotune is awful. Sounds like migos future travis bot all togheter,@TonyMontana-l7f,2025-01-23T18:08:22Z,2
"The girl in the back is a vibe, how she follows the beat is thrilling!! It gives me goosebumps",@tascam2974,2025-04-11T16:35:11Z,2
I saw the youtuber jordi make a short on this and i cant unhear the lisp in the chorus but the song is great even with the lisp,@BradleyMayer,2025-07-18T16:45:47Z,2
Somehow Beyoncés album beat this song for country. What’s going on?,@BananaBro360,2025-03-08T20:04:56Z,2
this gives southern country late night vibes,@Bo9prodz,2025-04-06T23:33:03Z,2
School vibes,@WyattTheGreat-15,2025-06-21T03:42:21Z,2
"Nah, Tipsy is an absolute vibe. You can’t deny that.",@DBFilms-n8y,2025-03-30T17:55:30Z,2
"This song is fire & not gunna lie, hommie on top of the truck is me af with the feelin good vibes 😂",@SommerTyme218,2025-02-14T14:45:03Z,1
Beyonce did not deserve to beat this album,@Cj-mj4xg,2025-05-02T01:31:02Z,1
Love the beat❤❤❤❤,@latonnathatcher3855,2025-02-08T09:53:36Z,1
Rise Against (Faint Resemblance) should sue you for ripping off their chord progression.  You are guilt my friend….  :/,@Fusion-ed1pv,2025-01-30T02:34:50Z,1
This song is so freaking catchy... It not really country but love to jam to it ridin down the rd,@Courtney-d4n,2025-03-04T22:10:33Z,1
i cant worry bout my problems i cant take em when im gone is a really deep line when you think about it,@DecoyYT-000,2025-05-08T10:12:26Z,1
"I'm an old white woman and this tune is so catchy. The lyrics are burning someone to the core if his soul enough to sue about the truth, lol.",@Lolli-n3x,2025-02-16T20:56:28Z,1
Why is this song powerful,@RitroTitan,2025-05-23T03:51:57Z,1
Sound heavily autotoned,@TheDoReMiFaSolLaTiDo,2025-02-10T03:56:52Z,1
As a vocalist for a deathcore band that always had a distaste for country music….this song is a fucking JAM,@jameslasasso6433,2025-04-12T22:56:14Z,1
Bangin vibe,@drlynnhutchinson,2025-04-03T19:45:23Z,1
Shaboozy Your dance is a tiizzzyyy too 🥰✨🕊️🤍👼🏻🪽GOD BLESSED YOU Thank You for Your song vibes up 🫶🏻❤️🌹💋🙏🏼🔊🎶💃🕺🏻,@7Goddessoflove,2025-05-19T01:18:17Z,1
This song is a vibe,@darrienunderwood7090,2025-03-09T22:54:17Z,1
Love this... play it daily... brilliant song... good vibes 🎉,@waynemccourt8176,2025-02-01T19:30:56Z,1
What an awful song for the guys that need to do it and don’t have a band making millions.  What a joke,@ShaneBayer-l5q,2025-08-08T16:43:04Z,1
It's so catchy 😁🔥🔥🔥🫢🥳🤯,@CharlotteSvec,2025-05-26T02:32:36Z,1
The lyrics of this song really speak to me.,@user-kz1hn9mw2h,2025-05-24T17:36:24Z,1
"Just heard this for the first time with only the vocals no music, and it changed my life omg you gotta hear it - https://youtu.be/gUuQlrGUqgw",@thebeatlibrary177,2025-03-05T14:52:54Z,1
I might have to put this a my ringtone❤ 1:36,@King_bros-h2r,2025-05-01T14:43:51Z,1
Man for all the annoying people with the whole Beyonce's non country song that everyone was racist if they disagreed welp here ya go. I like this dude and I listen to mainly country. It's got a great beat to it and never mind when it plays on my cars radio. But Beyonce's yeah that got old real fast. Anywho it's more pop this song or whatever but just saying it's got a good beat and don't mind at all it's playing between my other country jams. Everything isnt about race dang says Napoleon,@aaronjacqsmiles4045,2025-04-24T20:46:15Z,1
The melody is perfect I’m currently 5 feet in the air on a metal swing.,@wendyquinn6061,2025-06-04T23:12:44Z,1
I’m not a fan of this type of country but it’s too damn catchy!,@RaptorDaddy2,2025-02-02T18:21:40Z,1
I cant drink but i like this beat,@oceanhayes1649,2025-02-27T02:28:24Z,1
Tried singing and playing this song on my ukelele. Failed horribly because I don’t know the lyrics 😂,@Cybermerc188,2025-02-19T10:17:53Z,1
"Ayo ayo ayo this sang lit it so vibe we chilin' and it up so hit wouldya aight aight ballin' and it nice we cool we cool, shabouzey be jammin it ayoooo!!!",@tiyopaenguin,2025-03-04T09:01:33Z,1
The end of that guy’s hair looks like poop😂 but I do love this song like a lot. It is my favorite song.😊 and has a great vibe to it even though it is pop and I don’t usually like pop it’s just like a country form of pop,@EmLittle-o7z,2025-02-19T15:48:28Z,1
The most annoying song.,@loriallen4662,2025-08-08T16:12:08Z,1
Thank God for music speaking to the soul and telling the story we keep holding down till to late and never gets the truly deserved God speaks threw the ones that get point an im glad I live in this age I'm in an get vibe with music that is in me but not able to share it with world God bless an jelly roll and many others never know what they're power really does for underdog,@ShaneHackney-g4y,2025-02-10T01:07:11Z,1
shits so catchy! defeinitely a song to vibe at the bar!,@eddietruong,2025-07-19T17:43:57Z,1
"Good job man, the late Bobby Blue Bland sang Starting All Over Again, W/C &W chords, however......",@elwinwhitaker5372,2025-03-04T01:59:13Z,1
Love this song its a vibe❤😊,@nakne75,2025-01-23T03:11:51Z,1
Getting a Tracy Chapman vibe off of this. Independently super excellent song and superbly presented art. Good Job!!!,@robertp764,2025-06-11T14:52:17Z,1
The melody is so soothing and relaxing.,@FaithHalstead-t7y,2025-05-24T17:13:09Z,1
"Kinda thought the video would be more lively, as catchy as the music is.",@jennycothern6375,2025-05-11T01:28:05Z,1
This song beats any Talor swift song,@nicholasduranceau4344,2025-02-12T04:09:33Z,1
"I cannot explain how much I enjoy this song.... It's such a core routine that I start my morning with this song. Seriously well done with the lyrics, the beat, your voice ! All the way thumbs up Shaboozey !",@clariseredelinghuys4921,2025-02-06T06:02:07Z,1
The only thing crazier than this dudes hair is the white people in the background. I think this whole generation is extremely confused about their identities lol. I get a vibe he calls black people the n word with a hard r also just cause his environment,@alexandersalazar9750,2025-07-17T22:09:56Z,1
2:12 is your heartbeat vibes agree 👇,@kapetayo1931,2025-03-01T16:59:17Z,1
"I'm an old guy, hardcore Waylon Jennings/Merle Haggard kinda guy, and while this is much more ""pop"" country than I personally prefer, I can still dig it. As a solo acoustic performer who is old, I generally shy away from new stuff to not look like ""that old guy trying to be hip,"" but I could see adding this song to my repertoire. I'd probably have to change a few things to make it fit my style, but it's a good sound.",@lapdawg60,2025-02-14T02:31:54Z,1
