comment,user_name,date,likes
This entire video is so nostalgic. To be able to capture so much of the black community and our childhood in 2 minutes and 45 seconds is legendary.,@caleblove7158,2025-04-02T07:45:39Z,446
"As someone who is mostly heavy metal and punk all day long, im a miami boy first and foremost that grew up listening to a lot of hip hop and freestyle classics in the 90s and he rep'd both Compton and Miami with this one. That beat goes so damn hard, love the appreciation for debbie deb on this",@AgentOrange921,2025-02-25T18:54:48Z,70
THIS SONG TAKES ME BACK TO A VIBE THAT I THOUGHT COULD NEVER BE REPEATED....,@KALICO-HITTA,2025-02-04T01:24:50Z,63
This song got the 80s rhythm😤,@LondoGzz,2025-01-19T18:40:40Z,50
Am I the only white middle aged woman here after the Super Bowl and love the vibes? 😂,@firstandlastname5235,2025-02-10T07:39:20Z,47
"Kendrick is the best rapper not only for his lyrics but for his impact on the industry. On top of that the humbleness and love he shows, he is truly one of a kind in his own lane. 💯",@Gizmo0200,2025-01-14T02:15:21Z,21
"That first Woman set the tone for the whole video, hit that perfect",@dankjankings7339,2025-04-14T04:04:16Z,19
Did they change the video n lyrics or am I tweaking?,@AntonioJohnson-ks2cv,2025-03-09T18:46:05Z,16
This guy is a genius from the beat to the bars to videos. Man we needed him. Much love Kendrick keep doing what u doing.,@AmyBrummett-t9k,2025-02-04T18:36:24Z,12
This beat is so damn 🔥🔥🔥,@ARealOne66,2025-04-01T15:23:27Z,12
"Only kendrick could pump out a music video, thats visually super deep, of a cover to his own original song. Legend",@bobzum917,2025-06-29T04:59:53Z,10
The beat 🔥,@Marisela.alexis,2025-02-10T22:01:39Z,8
The new NATIONAL ANTHEM when the revolution is televised! I second that emotion!,@danyeleturner1573,2025-02-17T09:57:39Z,8
Ngl i feel like everyone in the back us dancing to their own vibe 😭 ♥️,@Leavemealone-l9w,2025-02-15T20:07:09Z,6
These old beats go hard af.,@WizTis,2025-02-06T04:10:45Z,5
"Listen to GNX in reverse, or from the bottom up. It's astounding just listening in order but it feels chronologically, almost complete listening from Gloria to Wacced out Murals.  KDot on some next level type mission.",@TheZrodgrez,2025-01-17T14:09:54Z,5
"Finally HIP HOP is back and about time to clear out all the drakes and mumble rapping autotuners of the world.  this is real dope ass hip hop, true to the 90s",@islanddreams4805,2025-03-10T00:13:16Z,5
One of the hardest verses ever 🔥🔥🔥on some GOAT SHIT ! 🌷,@Rootedinradiant,2025-02-06T06:48:11Z,4
wanna hear this piece of beat on Gta6 radios💯😉,@sonoqui,2025-06-06T12:59:46Z,4
It's awful he has zero talent!  Never heard such awful music in my life,@Richard-y2u,2025-02-10T01:40:34Z,4
This beat got me in my feelings,@Needsleepmatrix,2025-03-09T21:55:20Z,4
"Even if you don't want to dance, it's inevitable to ignore with this rhythm and flow",@agustin8642,2025-04-12T05:29:09Z,4
The beat is crazy yow🔥🔥🔥🔥🔥🔥🔥🔥🔥🇯🇲🚀🚀🚀🚀🚀🚀🚀,@duss5356,2025-02-19T01:33:23Z,4
