comment,user_name,date,likes
"""I ant never had a doubt inside me and if i ever told you that I did im ##### lying""  is my favorite lyrics it hits so hard!!",@kendrapineda7625,2024-12-01T01:45:31Z,1368
Why am i already feeling nostalgic when i come back to this 😭🙏,@vanillzic,2025-05-01T10:37:33Z,457
"I swear Tyler is a genius, this album is going to be the most influential rap album this year, i think this might even bring the art back to hip-hop and fix it, the fact that Tyler only dropped half and he whispers it forces you to listen to it multiple times to actually understand the lyrics, this is one of those times where i wish i could shake an artists hand, i appreciate this so much.",@S1arLite,2024-10-18T23:49:50Z,272
I just hit the start button on the microwave right at the beat drop completely coincidentally without thinking about it and it mightve been one of the best moments of my life,@Swift1303-z4p,2024-11-12T20:34:22Z,114
"This is the first time Tyler has had a character sooo different from himself in vibes and in appearance i struggle to remember theyre the same guy... like, this is flower boy? this is igor? this dude sung tamale? Madness, mans a genuis next level.",@English_bean,2024-10-19T19:04:24Z,69
I went to the concert and I cried twice it was so cool to see the whole stadium in complete unity. Music is so powerful.,@CatsSmore,2025-02-08T17:31:00Z,10
bro listening to the new album chromakopia alr feels nostalgic,@XeasZ,2025-07-22T03:28:25Z,8
Not me already knowing the lyrics to this because of how many times I have been watching this ❤,@MaevynK,2024-10-28T00:36:08Z,7
"In the full release of the song the harmony plays twice, once at half strength and then another that is equal to the one time it plays here. The harmony in this song is LITTERALLY my favorite part of the entire album so WHY on earth was there weaker version of the harmony before the full strength one it takes out so much of the just punch that it has here. Literally why how did you make a song better in a music video than normal release",@rocket-rakun8133,2024-10-29T22:35:34Z,5
The vibe is 🔥. I can feel it 1:07,@frankkoomson1180,2025-02-17T23:58:16Z,3
when the beat dropped in dark fantasy,@joshuacanate,2024-10-28T12:53:54Z,3
Omg this feels nostalgic already 🔥🔥😭🙏,@ChanceDaRapper,2025-07-20T18:52:58Z,3
1:04 Are those Daniel Caesar vocals? Or Brent Faiyaz?,@ElijahIsGr8,2024-10-23T19:17:23Z,3
Those vocals at 1:06 got me ascending,@WarioShaker,2024-10-18T18:48:47Z,3
I'm gonna be so fucking annoying I can't wait,@5PIDERMAN-vx6qz,2024-10-18T15:46:50Z,3
I’m so pumped for this album can’t wait for it getting Igor vibes,@wooleydragon,2024-10-20T21:01:18Z,3
"11 people with different hair styles, 11 songs with different types beats?",@GamingVegetto,2024-10-24T13:04:02Z,3
im abt to be so fucking annoying when this shit drops oh my GOD,@caseyrose3323,2024-10-21T14:58:49Z,3
just saw the most annoying white boy ever fall down to his knees at walmart,@koobyn,2024-10-18T14:46:17Z,3
smartschoolboy9 is the vocal in first part.,@mfker14,2024-10-23T18:18:30Z,2
The marching in 2/4 makes this so catchy,@kizu5451,2024-10-23T04:32:08Z,2
Why was the beat kinda fire at the end,@AjAdamo,2024-10-18T18:30:57Z,2
This is giving a lot of vibes from the movie us,@boldexplore,2024-10-20T20:58:57Z,2
"The beat change hit hard when I heard it for the first time, absolute banger ❤",@sd.r1ch,2024-10-29T19:44:45Z,2
did you know that chromakopia is anti igor becuase if you reverse the colors of chromakopia it turns pink like igors color and if you reverse igors color it turns green like chromakopia,@RyomenBlobkuna,2024-10-18T22:24:23Z,2
