comment,user_name,date,likes
"…why would y’all change the higher breathy vocals at the “i’ll be better on saturn, none of this matters” part 😭😭😭😭 the mastercard performance was sm more ethereal :(",@alolaninetales,2024-02-23T00:23:20Z,3388
"I don’t know if anyone will ever see this, but i feel like this is a good place to talk. This song is one of the most meaningful ones to me. I feel like it really describes my life. I always stick tot he people that don’t really care about me that much, and I always wonder why I’m still there. But I know it’s because of my fear of losing everyone, so I just want to find someone who cares about me. The lyrics ‘I’ll be better on Saturn, none of this matters, dreaming of Saturn’ reminds me of how I’m dreaming of finding someone that understands me, so I’m just waiting for that day. Thank you Sza, this song is one of the best💗💗💗",@hello.poppydiy,2024-05-25T13:33:39Z,537
Your vocals sound amazing as always but... please please PLEASE drop the mastercard performance version SZA. There was some magic in it that's missing here.,@r.barrow57,2024-02-23T02:33:27Z,499
"can she post the version where she says ""ill be better on saturn"" high pitched? it sounds better that way but still much love",@maheletebinyam4511,2024-02-23T00:10:37Z,226
"Listening from SOS deluxe🥺🥺different time,different era and a whole different vibe🥺❤️‍🩹",@ReneilweSekoko,2024-12-20T21:21:32Z,176
She loves changing the tone of the song like what she did to good days but still love it 😭,@vkaii7152,2024-02-22T23:38:23Z,168
SZA melodies are always so dam good and catchy ✨,@jessie1564,2024-02-23T02:56:36Z,157
"0:01 i know this beat somewhere, but cant remember the name of it",@andreimations,2024-06-07T12:33:19Z,138
"SZA's most personal song, I love that she has the courage to show her feelings and express them so well in a song with her rhythm and lyrics, I LOVE YOU SZA!!!!!",@LuanaCatalinaGUZMANCARRANZA,2024-11-15T22:11:58Z,72
You know you're aligned with the universe and this song is a sign to get out when you stumble upon it and it could be your life,@dannymarvels9883,2024-04-14T18:36:44Z,34
Sza's vocals are top tier❤❤❤,@grammynomineesbts1086,2024-02-22T23:07:21Z,23
Every time she puts out music it perfectly puts my emotions at that moment into words,@0.0Bleu,2024-02-22T23:47:17Z,23
Just when I thought she couldn’t top any of her last music she breaks this out. I’m obsessed and this totally fits my vibe right now! Thank you SZA for this gem! 💎 ❤,@myadoua06,2024-03-12T06:44:54Z,20
"you know what I love? the fact that this single cover reminds me of the love galore single cover :,) so nostalgic",@prodbyxchvnel,2024-09-16T05:57:16Z,14
the fact that just a few small tweaks from the live version can give the song a whole different vibe ❤ shes so talented,@blw-5311,2024-02-25T14:51:17Z,12
SZA is simply one of the greatest vocals we have ever witnessed on both Earth and Saturn,@abanoubalexander4047,2024-04-29T15:36:20Z,11
SZAAAAAAAAAAAA I NEED AN ACOUSTIC VERSION OF THISSS MAASTER PIECEEEEEEEEEEEEEEEE!!!!!!!! RIGHT NOWWWWWWWW,@Hellosukii-es2vg,2024-04-29T21:50:27Z,9
"This is the best song, so relaxing, so perfect and just gives me this vibe. LOVE YOU SZA",@Halloweenbree,2024-05-03T22:59:40Z,9
This song vibe❤,@MimiPExtra21,2024-04-24T03:27:18Z,7
44million people feel or have felt these lyrics before that’s wild lol #letsmakeearthgreatagain,@jeromewilliams9271,2024-08-14T02:54:46Z,6
Anyone else disappointed that the chorus doesn’t sound like the live performance?,@cupcakkeslawyer7915,2024-02-23T02:33:13Z,6
SZA got endless hits can not wait for her next project you always deliver a vibe,@bigjohnson721,2024-02-22T23:04:45Z,5
Melodies and vocals bringing the sun out!!!🙌🏾🙌🏾,@Benjaminuzoma1,2024-05-05T19:09:11Z,5
"I WISH TO GAAAWWWDDDD, that she kept the high vocals on the chorus (bro had me levitating unlike ever before) but those low harmonies do be doing something to me icl 😮‍💨😮‍💨",@mmhmmyurr,2024-02-22T23:54:24Z,5
Every time I hear this song I get emotional because I’m gf move to a different country and now I will never get to see her because her parents are strict and does it really get to use your phone so I just get sad,@Seahawks_fan74,2024-06-27T04:31:40Z,4
"SZA, you are incredible, you have a deep voice but you still know how to do vocals, your voice is so beautiful, you deserve much more recognition, you are incredible SZA !!",@kauazinho8004,2024-02-23T17:22:32Z,4
Vibes feels like the chill wind of 2019,@gernvillareal7088,2024-09-22T15:00:13Z,4
LIKED THE CHORUS😌,@introvertyui,2024-08-23T10:33:59Z,4
"Love this song, Saturn is my favorite planet. Relatable af lyrics too.",@jinx17,2024-05-20T01:23:22Z,4
I think i  replayed that first chorus about 30 times in a row lol. The flow of this song is so good with her vocals and the bassline complemnting eachother. Perfect,@Illiyinmusic,2024-04-13T10:38:55Z,4
Her voice and lyrics touch my heart,@iputcreamcheeseinmyramen,2024-04-08T17:21:06Z,4
"Wow, this song is really wonderful because it has an unbeatable sound, thank you very much. :3",@VictorVillagaray,2024-05-12T01:58:49Z,4
we love you sza and whatever the story is behind this its powerful. well done queen,@thatpersonmariee,2024-04-21T09:14:54Z,3
Samples Bee Gees Emotions for those who don't know,@mauricehenry7585,2024-04-15T03:23:17Z,3
"The sweet and ethereal sound of her singing is discordant with the deeply Satanic nihilism embedded in the lyrics. This song presents the idea that life on earth is terrible, meaningless and cruel, and that the only dream to escape it is Luciferianism (Saturn represents Satan in the occult). A message that will lead people to Hell",@TravelLoverForLife,2024-03-29T19:55:28Z,3
"what a beautiful song with that deep, enigmatic feel of nostalgia.  I've been aware of her for quite some time, but just now starting to appreciate the breadth and feel of her art as a whole. Sza is my new celebrity crush...I adore her. Whether she's thick or thin, her unique smile , with those beautiful lush lips, shines thru like no other.  And this song takes me to somewhere else, somewhere only in a dream, can the feeling be understood. 😍🎶 ❤",@joshgooley1492,2025-07-02T02:18:14Z,3
The lyrics are so deep. Saturn = Satan. The God of time.  Saturn materialize all life form.,@romel4761,2024-02-24T00:34:58Z,3
Bro this song is so nostalgic... And it's the fact that she used the sample of a song from a tiktok trend back in I'm guessing either 2020 or 2019,@NiaMulaa,2024-04-20T21:36:16Z,3
March vibes so hard 😊,@aestheticaillies441,2024-11-05T23:24:42Z,3
"I'm in love with this song, they play it on the radio and I'm blown away by the bass, but now I'm reading the lyrics and it's really relatable. Deep and beautiful in every aspect. Amazing song.",@leperface,2024-06-24T03:12:02Z,3
"It subtly interpolates the opening hook of the Bee Gee’s “Too Much Heaven”. It’s in the background at small breaks, hummed as a melody by either her backing vocals or her own vocals backing her. Recognized it immediately. They’re not credited. Wondering if that was oversight, or it’s not considered an outright sample….",@i.quintanilla,2024-04-30T00:01:56Z,3
I dont get how people think taylr swift has meaningful lyrics when stuff like this exists taylor sswifts just writes about the same 5 breakups,@JayCee-qh7zt,2024-05-02T15:31:44Z,3
“Life is better on Saturn” HER VOCALS ARE EVERYTHING,@alora_chavez,2024-02-24T18:16:58Z,3
if there's another universe pls made some noise,@zul5181,2024-05-06T01:19:03Z,3
"Sza, omgg girl this is my new fav song im tryna get all the lyrics stuck in my head so i can prefrom this infront of my school. xx",@MLtoks16,2024-05-20T20:06:57Z,3
Bro at any emotion in at SZA makes it better😊,@RazanSarama,2025-01-07T22:37:23Z,3
I call this the Ice Cream song because of the background melody. Love it!,@casalcairo3207,2024-07-27T06:15:20Z,3
What a good fn song. I love the chord progression. The vibe. Word choices. Everything! This song can float around in my head all day! 🤩,@devanorth2119,2024-04-29T21:28:13Z,3
Bro if no lyrics the saturn is like sweater,@dexterolasa,2024-05-02T18:58:08Z,3
Getting S vibes,@ededdandeddytv5164,2024-03-08T10:15:12Z,2
"I just love this song, but the vocals in are just beautiful",@ellaschannel9903,2024-03-21T19:06:29Z,2
"This song is a whole vibe, SZA never disappoints. 💯 🌊 😎",@corythenbavyondandanimlov7802,2024-05-14T06:54:23Z,2
Listening to it as the last song on the deluxe version gives a deeper meaning i want to cry,@anonanddamned,2024-12-24T01:15:46Z,2
SZA YOU KILLED THESE LYRICS,@HOTPINK_4ever,2025-02-11T00:51:05Z,2
Even if its 2025 this song still feels nostalgic this will be my favourite song ever :),@Realbloba,2025-05-26T06:07:08Z,2
"Yo this song is one of them ones that give u chills . The lyrics , background vocals ,  the instrumental everything .. Masterpiece 🔥🔥🔥🔥❤️❤️",@zimurray6563,2024-05-06T20:06:44Z,2
Essa música é tão boaa! 😩 Que vibe maravilhosa ela temm! 🫶🏽✨,@ChloeHadassa,2024-02-22T23:11:47Z,2
This shxt is a vibe SZA can sing stop playing with her this shxt go hard on god🔥🔥🔥🔥💯💯💯,@josephburns8608,2024-03-06T23:54:05Z,2
Stevie Wonder Saturn song is still one of my favorite...im only here cuz im actually studying Saturn....the black cube .. celebrities are heavy into Saturn Worship so was hoping she would drop some powerful messages but its just a cute SZA song,@Theconsciousoutkast,2024-03-24T15:25:49Z,2
✨️Sza is a vibe✨️,@Y0ur_Fr13nd,2024-02-28T08:36:19Z,2
New ringtoneeeee 😭,@vlogsbyife,2024-02-22T23:12:48Z,2
This song gives me ctrl vibes,@jyeanzzzzzzpl,2024-02-25T01:01:57Z,2
"Sza I'm deeply in love with you because of your beauty and wonderful personality. I was js wondering if u thought the same as I am a wonderful man I would say so myself. All ik asking is a chance and I'll treat you better than anyone you've ever encountered your entire life. Your beauty is like a art and your personality is perfect and different from others. But one thing I ask from you is to stop posting on social media bc ur mine and only mine. I'm the only one who is supposed to show you love and affection and you won't accept that. So stop playing hard to get baby bc I know you want me. look bae im not trying to be overprotected and abusive or some shit but you fine asf and im tryna make you mine babe. Just say so and ill make it happen. You know me ment to be u just playing hard to get. Im the one for you and i just need a chance to show you that, you the one for me. Just stop playing hard to get bc you know you want me and i want you so just make it official my beatiful.",@justice5964,2024-04-20T04:10:14Z,2
"I love this song but the chorus from the commercial was so much more idk like heavenly, and keeping me centered is engraved  in my brain what happened to it😭",@goose.hayden,2024-02-23T05:21:02Z,2
NOO what happened to the vocals on the ill be better on saturn part </3,@hannahm543,2024-02-23T05:17:08Z,2
"This song touches my soul and mind. She always goes deeper than just lyrics , BLENDING her voice with every note!❤❤❤",@nancymarcelo3454,2024-09-24T18:47:32Z,2
I love this vibe huhu sza my queen 🫶,@JustinCruz-vx8ri,2024-04-24T03:09:43Z,2
Why she change some of the lyrics :((( the performance was soooo goooood. She needs to release that version,@Hesoweird,2024-02-23T22:59:08Z,2
The vibe,@Aimaxnj_ellojaja,2024-06-03T06:17:25Z,2
It’s giving me ‘A’ vibes 🤞🏽,@thebaileykid,2024-03-09T17:03:25Z,2
This song a vibe in a dark room with candles at night time hanging with your man,@MisunderstoodKt,2024-04-26T00:25:21Z,2
The beat sounds like smth form Mario Galaxy and I love it sm,@JudeBarela,2024-03-04T14:34:45Z,2
SO VIBEY,@lilyclairmont,2024-04-27T09:18:32Z,2
This song is a vibe 💕,@its._sophiaaaaaaa,2024-02-24T14:36:18Z,2
"This is easily one of SZA's best songs. The melody, the lyrics and the vocals all come together so beautifully. Sza is easily one of the most talented artist of our generation",@jVortex,2024-02-22T23:02:42Z,2
Such magical vibes I love it 🪐,@xKeepTheFaithx,2024-02-23T00:33:07Z,2
Explained all my emotions ❤,@ntombihadebe4822,2024-03-24T15:39:03Z,2
This song is much deeper than what people are giving her credit for.,@JuanMartinez-tr8ww,2024-07-26T17:40:34Z,1
I cant stop dancing to Treasure- Kingkong .... the beat drops like crazy,@btsup10tionwinner31,2024-05-29T12:36:35Z,1
"Heed 2 Corinthians 11:13-15 and I would love to tell you The Truth from The Holy Bible about what is going on. However, I politely encourage you to read it for yourselves. By The Way, check out Truthunedited and Stephan Darby's sermons to get a deeper understanding for The Life. May YAH bless you, your families, and HALLELUYAH!",@dugproductions2556,2024-08-25T19:43:43Z,1
AHHH FINALLY! TYSM SZA I TRUTHFULLY LOVE THE MEANING AND THE VIBE OF THIS SONG 💗💗,@mak.thatprettymf,2024-02-23T01:18:08Z,1
"Omg saturn gives me mad nostalgic, im gonna cry",@calexander12,2024-12-22T04:04:39Z,1
"Like is worst on saturn. First of all you would be dead. No one is there. Cold af. Songs stupid and depressing, just like her listening audience.",@kingpinsmith22,2024-03-27T13:30:22Z,1
La vibe pretty good good music,@marcustvchannel5885,2025-01-28T00:45:19Z,1
The best lyrics ever sza Jesus girl smh 🐐,@larrykinghigh,2024-03-22T12:05:54Z,1
This song is so Anti God when you listen and read the lyrics,@TravM991,2025-03-13T10:08:00Z,1
"Song melody reminds me of Suzanne Ciani's ""Rain"".",@rolandrodrigo9691,2024-05-20T01:39:21Z,1
"the feels from this song omg... have it on repeat, i love it. such a vibe. 🪐❤",@eixxo,2024-05-26T21:35:48Z,1
“Anonymous Ones” Vibes🍃,@klakapri,2024-02-22T23:22:31Z,1
It reminds me so much of stardew valley the melody of the song... The lyrics are just being out in the wasteland left for dead...,@MustangDijon,2024-05-18T00:43:36Z,1
This song is such a vibe,@Fr33_CLIPZ,2024-05-02T00:09:46Z,1
The vibes of this song are completely the beaches,@yan2410,2024-05-15T07:28:24Z,1
ganda po ng lyrics SZA,@Joyuri-222y5,2024-11-20T14:19:51Z,1
"Love the beat of the song but the lyrics…don’t believe in paradise?? Guess she’s an atheist. Anyway, that’s a hugeee mistake. God, Paradise, hell, rewards, punishment are all exists. Must have faith n patience. The time will come and lots of the disbelievers are deeply regret for not believing and want to have a second chance but chance after chance, signs after signs given still no effort to learn, discover, research",@chatilaj3114,2024-05-01T00:50:37Z,1
This song is such a vibe... I adore her 😢❤,@DontPlayWithMePlayWithYaMama,2024-12-26T05:35:03Z,1
the vibes of song 💐🪐✨🌌💗👑🌼,@MFiqriNajari,2024-02-25T06:05:18Z,1
Oh she just sings to my heart and soul like no other an the beats just ❤,@Chunpjflowers7338,2024-02-28T20:54:15Z,1
"I usually do not like Sza's music especially the boring hits like ""Snooze"" and ""Kill Bill"" but ""Saturn"" has a nice melody with some nice synth work.  And its not dreary.",@garypamatat3167,2024-02-22T23:54:59Z,1
"I remixed this song lyrics with heaven instead of Saturn 🪐. Life’s better in heaven, repent for my sins, thank god. I’ll be better in heaven oh god",@boneharvester_eth4021,2025-01-06T00:30:32Z,1
This is a really good song. Thr lyrics are intelligent. I appreciate there is no swearing or using the N word.,@JordanjamesX,2024-02-23T04:04:06Z,1
"Instrumental is stunning, her voice is beautiful, it's super catchy, and the lyrics are relatable on a deep level. Great song",@JThePlante,2024-03-05T08:52:49Z,1
Good job girl your my favorite person when I’m emotional I listen to you,@shinknapirtle5646,2024-03-27T21:28:15Z,1
Normal Girl vibes ❤ I can hear  the Weeknd on this too,@primppoutnycbytokyokho,2024-12-21T15:52:11Z,1
I need four more verses,@birdturd3207,2024-04-18T02:05:46Z,1
WAIT I LOVEEE SZA BUT DID SHE GET THE BEGINNING BEAT FROM THE BOY IS MINE BY BRANDY??? IT SOUNDS THE SAMEEEEE I LOVE IT THOUGHHH,@ugh..durritsme22,2024-06-09T23:40:30Z,1
Sza won a Grammy she makes since many relatable songs she comes up with such great lyrics. Sza is a great artist who deserves much love ❤,@Drew.that.guy45,2024-09-17T01:42:43Z,1
I love you SZA. This song is so beautiful and such a vibe. You deserve all the blessings that come your way.❤,@TheeCaptainnow3817,2024-02-23T01:16:27Z,1
Saturn is such a vibe! It lightens up my day so much! I love SZA ❤,@wonjianfan,2024-04-18T11:10:43Z,1
"Nikola Tesla said “If you only understood the significance of the numbers 3,6,9 you would have the keys to understanding the universe” Earth is the 3rd planet in distance from the sun, Saturn is the 6th, and Pluto is the 9th. Can someone please help me understand how can I use this information to enhance and enrich my earthly existence the way this song enhances my emotional state? Before I move onto other realms I want the absolute best of this one, is that too much to ask for? I want to increase my “goodness threshold” but I need material wealth to do so. The goodness threshold is how good can things get for you before you sabotage it by your own thoughts that this is too good to be true so a tragedy must be looming the horizons. How good can this song be before I hate it for being so good? Please help me understand🥹",@kaseymarcelle007,2024-11-03T17:59:02Z,1
One of my new absolute favorites! It's impressive how much I can relate to almost every one of these lyrics! Thanks a lot for making this!,@jeremyshields8285,2024-05-15T22:20:54Z,1
"Feeling so good listening this while watching saturn and the rings with the universe,in  slow motion",@SeraphineParadiso,2024-05-11T01:47:44Z,1
SZA you the truth this Manny Strongs reppin Phillies West Philadelphia section 5500 Summer and I can't wait to my music with you and and also history I can't be moved like historical landmarks ride wheater light or dark since a adolescent kept one on each side with a Dalls Teflon vest metal plate protecting my chest no need to be vex because I'm about to have things my way to a different degree hotter than the earths core for those who don't know that's under the earths floor deeper than the trenches I'm beyond this world somewhere like Saturn better yet a whole nother galaxy get rid of niggas in disorderly fashion I'm one of the best artists you heard perfect wit bars like this I'm deep as it gets been through the blood sweat and tears I speak nothing but non fiction all facts that's what the industry lacks I sat back and set my trap now let's see who can adapt to another level of this shit niggas better prepare their manuscript I'm blessed with this gift transitioned from cartel and triple beams so I could make my way to the industry I'm all  jigged up but I don't give a fuck gotta give it what I got because this one of my niche s I'm vicious,@EmmanuelButler-u2u,2025-02-21T19:26:47Z,1
"How can this be so catchy, her voice is so unique",@judyali178,2024-02-23T00:51:56Z,1
sza plz give us the higher chorus back,@hidingly,2024-02-23T17:26:32Z,1
I have manic depression and the lyrics are exactly how i feel so often. Such a beautiful song. And szas voice is so beyond beautiful,@Naenezzy95,2024-08-25T09:43:56Z,1
Someone really vibed with tanerelle at that Philly show 🔥♥️,@nasasimp588,2024-03-19T13:29:35Z,1
"Okay, here is the story. SZA is the real deal as a singer, not sure if you write your songs and music but i would say lyrics would be your forte. This style suits you (even if it borrows from the Bee Gees). You are about the only refreshing popular artist that has a sound all to yourself. I listen to thousand of songs each year from the complete unknown to the top (payola) artists with all their backing and not many put out good songs, certainly not consistently like you SZA.  One day i will write  a song with you or even for you, this is my goal.",@nocowshere,2024-05-20T02:53:30Z,1
the gang musn't know i vibe w/ this,@frey6955,2024-08-18T14:41:48Z,1
This song is catchy as hell as soon as I heard it it stuck in my head😂,@kevsmith6783,2024-08-04T22:19:57Z,1
I love the vibes of this song,@aquairvin335,2024-06-13T12:41:07Z,0
"the grammys performance was a much better version of this song, im dissapointeddddd. the vocals and music were so much better like when she says ""i'll be better on saturn none of this matters dreaming of saturn"" its so much more majestic in the grammys version???",@s0ftlygl0wing,2024-02-23T01:50:40Z,0
Beatty Green,@JettaHasler-n5r,2024-10-03T19:22:09Z,0
"❤ SZA you are the best person in the world <33 you are a good singer I have some of your merch, I have a few song ideas you could do. Now I’m posting this on may 14. So you might not see this but I am still gonna post it ! ❤ the first top 3 are: what is love, mirror and finally colors now the lyrics can be anything you want I just think you are so pretty and I love ur style ! ❤ 😊 you are so sweet and an amazing person!! I just listen to your song Saturn and kill bill after school they are so good I love your music and I really want you to post more songs or make maybe a daily life acc?? I’m just asking u pls! SZA i love you so much! I would love to see some content or more music from you! I know you are a new singer and all of us welcome you ❤ we are so glad to have you as a fav singer!! you are my fav singer! ! your lyrics match the themes of your songs, thanks so much SZA for the amazing voice you have!! 😊❤ love you SZA !!!!!",@BLELLY,2024-05-15T03:17:03Z,0
0:53 beautiful chorus 😊,@snow_onthebeach,2025-07-17T09:40:22Z,0
The Return of Real Lyrics that make sense and intelligently produced music that actually hit the mental state of this crazy prison planet we live on. I'm gonna listen to this whole album.,@dos-modeofficial83,2024-11-05T21:11:53Z,0
"This song gives me ""Undecided"" by Chris Brown vibes",@Don-WiQ,2024-03-24T06:36:09Z,0
