comment,user_name,date,likes
This has such “Promiscuous Girl” vibes. Great production and talent,@jayfron6012,2024-05-02T18:22:37Z,616
"10 months later, this song is still a vibe🎉😊",@shaye113,2024-08-10T01:40:42Z,429
Britney Spears 90s vibes anyone?,@wesgunton238,2024-05-24T21:39:59Z,233
She has superstar vibes all day long. Smokin' talent.,@kevzilla2746,2024-11-23T00:34:11Z,176
The beats are amazing,@udayanbadola7077,2024-05-25T09:36:28Z,170
"Those lyrics ""I would want myself"" and ""I will put you through hell"" are CLASSIC! lol",@theyofactor,2025-02-17T05:29:33Z,129
This song is already nostalgic 😭,@_zzahrax,2025-04-13T13:18:25Z,20
The song is so catchy and unique even if I don't understand the lyric.,@HectorVo-rr1ik,2024-05-20T07:08:04Z,12
"THIS is the POP I like, no fear to dance moves, hairography, the look, the voice, the sound, the lyrics. This girl is a true POPstar. You go girl! Congratulations to you and ALL your team.",@Diegrinch84,2024-04-02T14:58:28Z,9
this is really catchy pop music. ,@Deepdive-podcastingbooks,2024-04-09T13:54:22Z,7
Shes gorgeous and her vocals are ❤‍🔥🔥🔥🔥🔥🔥🔥🔥,@LeenieLee,2024-07-23T03:43:56Z,6
this is so feeling yourself vibes.,@seancowe,2024-07-14T19:51:41Z,6
This song is so catchy!! I love it!,@ssneakyowlslays,2024-04-24T02:49:54Z,6
This song gonna be nostalgic,@JudeProdz,2024-04-30T01:54:31Z,6
She has a Britney vibe,@act_wisely,2024-11-07T16:01:26Z,5
"Pouff❤ ... Bravo !!! Bon timbe vocal, belle mélodie... Bonne continuation et saches que tu es la meilleure actuellement sur les hit... Chapeau encore a toi... Côte d'Ivoire 🇨🇮🔥",@albertange7536,2024-05-14T07:50:24Z,5
"The dance is amazing, the music is catchyy",@kiyu.otaku.90,2025-07-15T00:49:05Z,5
this song is so catchy and the choreo in this music video is fire! love it 🔥❤️,@talilata9164,2024-04-07T23:47:22Z,5
I’m a 21 year old man and got this catchy ass song on replay. Send help,@michaelrobles4687,2024-06-04T09:16:48Z,4
THIS STILL HAS THE *MOST DRAMATIC CHORUS!*,@bryanguegan6937,2024-05-21T15:26:13Z,4
very catchy and addicting song! i will consider covering = ),@formyson138,2024-04-10T05:02:11Z,4
Her voice sounds like it’s been through a pitch correction plug in 100 times during the course,@Reece-dx8io,2025-04-03T19:34:25Z,4
"Such a darn good beat, Voice makes it SPECTACULAR!!😍😍",@Walleyehunter247,2024-03-23T05:00:46Z,4
It's actually insane how many times I've watched this video and I was so unfamiliar with her game before! Greedy is so catchy already but with the music video it's even more of a masterpiece! Not to mention the amazing outfits she wears in this !! ♥,@disneyhorrorfanglazer,2025-07-15T01:59:15Z,3
love how she is so auto tuned she doesn't bother lip syncing the chorus half the time. props.,@FEBRIZIOtv,2024-03-29T04:24:02Z,3
90s vibes anyone?,@wesgunton238,2024-04-06T21:29:44Z,3
"I didn't knew, in song singer's looks matter more than lyrics and voice. I mean this is what comment section telling me",@JayantRaut,2024-04-07T21:48:44Z,3
Nice vibes,@DarkPredator011,2024-07-26T17:35:00Z,3
The lyrics are ICONICC!!,@SarahAnaya-ox3tb,2024-12-11T07:23:26Z,3
0:10 The vocals🤧🔥❤,@OPABHISHEK_18367,2024-05-07T21:29:30Z,3
"The lyrics, melody, beat literally everything is just so professional the precision on the is crazy",@AmmarFarish-123,2025-02-23T12:23:31Z,3
You so beatifaul,@ablahaeugeniekra3001,2024-05-04T17:33:36Z,2
Eiii 🙋🏻‍♀️🥹🫶YAUSHA ESTÁ VOLTANDO ALELUYAUH CREIA AINDA DÁ TEMPO PESQUISE SOBRE E ESTUDE OBRIGADA DE CORAÇÃO YAUH ABENÇOE A SUA VIDA ASSIM SEJA  EEBAAA❤❤🎉🎉🎉🎉😂😂😂❤❤❤🎉🎉😂😂😂,@NINADEZESSEIS,2024-04-07T16:52:08Z,2
Gosto da vibe dessa música,@renato1640,2024-04-16T20:13:33Z,2
She sounds like Camilla cabello.this is annoying me because she is giving Camilla the racist relevancy,@Vanessa-rv8cv,2025-02-26T05:54:04Z,2
Good catchy song,@danieldpa8484,2024-04-10T17:08:09Z,2
0:28 up to 0:43 is so vibe full ❤🎉😊,@JC-rf6di,2025-05-02T08:47:13Z,2
Bro first time I heard this song was on a long car ride to NJ and I got bored so I just picked whatever song I could find and the first time I heard this I already knew this was a vibe 🤙LOVE IT TATE,@Punkhouse360,2025-01-22T23:21:03Z,2
The fact I know all of these lyrics,@Leahisloved,2024-11-02T17:12:37Z,2
such a vibe,@JesseBrazilViolin,2024-03-27T03:48:15Z,2
Lady GaGa vibes,@davidgonzales3743,2024-03-25T17:22:08Z,2
It's giving me Britney vibes &  I'm here for it!,@cyndeecook8333,2024-04-10T05:15:52Z,2
this song is so catchy i love it. and i love the hockey theme video even though it doesnt make sense to the song for me but i really like it,@03hailey17,2024-06-18T08:54:09Z,2
Just Dance Y2K vibes,@Andrew_8191,2024-05-28T16:49:41Z,2
El vídeo me da vibes de los 2000's😎🤩,@motass26,2024-03-12T07:44:19Z,2
"This is my favorite song always on repeat on my phone 🎉 i love your 1990s/2000s vibes talented and beautiful inside and out ❤️. there is many forms of beauty kindness ,love, etc character.",@estrella4056,2025-01-05T05:00:51Z,2
Proper nelly furtado promiscuous vibes,@picklerick7872,2024-08-21T12:21:01Z,2
generica pra caralho.,@fer10190,2025-04-25T18:17:31Z,2
OK House heads here u go!!  Greedy -Tate McRae Remix Deep House Phatflavas X Rosa A.I   https://www.youtube.com/watch?v=L8f7gK-H5tE,@djjammanphatflavas,2025-01-02T19:03:17Z,2
"the music, the beats, i can hear all day 😌😌🎧🎧",@AnuragMondal-sd4zg,2024-03-25T07:26:55Z,2
"What a basic p@rn@. Disg#@ting, why is most pop music stars so oversexualizing themselves, cheap and easy, 0  class or standards 0:27 no wonder they're all Diddyfied 0:14",@Ellieangel777,2025-06-24T14:10:40Z,2
"Right away when I heard the beat and 1st verse, I insistently thought pussycat dolls-Buttons. Tate McRae knows what's up...🫡",@mavrick62910,2025-01-25T02:15:08Z,2
Excellent...Nellie Furtado vibe,@nigelscrivens444,2024-04-12T19:37:15Z,2
"I love hockey men, so I'm just sitting here taking notes 😂😂",@amberguillen2024,2024-04-06T02:16:30Z,2
"Im not normally into this type of music at all, like AT ALL, but this is catchy 😂 lol",@ClintBeastWood-g3e,2025-02-28T05:58:09Z,2
0:01 she should put the echos into the intro on Spotify cuz it gives such a creepy vibe and I like it,@US6CI124Q,2025-01-27T22:37:44Z,2
This song is actually really 🔥 for a pop song; the beat is crazy and her flow is on point 🎯,@Bugzynite,2024-10-29T13:36:59Z,2
what the this song is 1 year ago but why does it sound so familiar and nostalgic,@dyrrothprinceoftheabyss863,2025-05-06T09:56:00Z,2
"tate, I tried singing the chorus addended up sounding like some dying whale, so ur rlly talented for singing this",@ehhehhehehheheh,2024-05-08T09:31:53Z,2
"🎉❤2024's fire new song!Try slowed+reverb it will be FIRE !!!Summer vibes,Traveling in childhood vibes🎧🏝😄",@edaletsefereliyev82,2024-10-03T12:21:41Z,2
"Vindo conferir , muito boa a vibe desta musica",@sergiomourasilva2570,2024-08-30T13:48:33Z,2
"I just don't understand why women needs to get half naked to succeed in this field . realky pick me vibe, really male gaze. such a talent otherwise just damaging for young girls all over again",@MiraCle0612,2024-09-17T08:29:05Z,2
Her music always gives off a good vibe,@Absolutely_Cece,2024-05-14T19:49:18Z,1
Vibes 😝 right,@isonadevar1,2024-06-02T12:00:44Z,1
Ela me lembra meio q a vibe da britney spears,@laiscosta1832,2024-06-16T03:02:12Z,1
This is actually so deep and I feel seen like never before.,@nicolasbustamante4235,2025-06-17T04:31:50Z,1
"Y’all need to stop comparing her to Britney, you’re annoying and losing  her fans. I think she’s great and talented but Britney she is not",@madabouthollyoaks411,2024-10-23T07:34:18Z,1
That beat had me racking my brain trying to remember what it reminded me of.... Say it right Nelly Furtado,@Desalias,2024-12-16T21:16:38Z,1
No wonder I got hooked to this song… Ryan Tedder is one of the producers and that man knows how to make a catchy song.,@patrickrodriguez8797,2024-04-23T08:51:39Z,1
Ngl idgaf bro issa fkn vibe man,@nathanQuartly-j5f,2025-07-17T03:46:49Z,1
I thought the song was catchy so I looked it up. What a DISGUSTING VIDEO. There is NOTHING WHOLESOME IN 2024 🤮,@anandpopat2549,2024-06-28T01:10:32Z,1
Honestly this music video doesn’t match the song or the lyrics it’s like let’s just do some very over sexualised dance moves with hardly any clothes ummmmm ok if it works for u but ur ass won’t always be that perky so your setting your self up in the future for everyone to place overwhelming pressure to look a certain way look how they treat stars that gain weight these days they drag them,@nikoranikora9108,2024-09-23T21:37:07Z,1
Not into this type of music but this one took me by the nek. Very catchy👩‍🦽‍➡️,@danielarneberg8557,2024-09-12T18:04:59Z,1
"Am i the only one who thinks that one part sounds a little like the melody from ""all the right moves""? 👀",@naturephotosrose,2024-05-03T15:45:35Z,1
Giving me Nelly Furtado vibes 🔥🔥,@dutchiepooproductions,2025-03-08T00:23:47Z,1
"Great example for the young girls there - have plenty of tanned flesh and cleavage on show kids, then you can be like me. No wonder little has changed for women in 100 years when women performers themselves keep pandering to awful backward cliched sexualised stereotypes. Anyway, keep the sex object thing going because - attention and money.",@redstrat1234,2024-11-24T15:49:38Z,1
"Awesome song, but the splitz vibes = ultra-sexualizing of the feminine. We know we don’t need to do this to be popular ladies.",@StephanieLafazanos,2024-03-25T18:35:16Z,1
This music is like the debutant 18th birthday of the young lady  vibes,@jeffersonpanganiba2437,2025-07-26T10:49:37Z,1
Song is awesome and love the beat...but what in the actual fuck is that locker room get up?   Girl...,@Dancingstarlight1994,2024-06-10T07:35:37Z,1
This has Timbaland's Morning after Dark vibes,@chamomilescented9877,2024-10-22T09:25:31Z,1
Nelly Furtado ft. Timbaland vibes.,@Dimpplepimple,2024-04-26T21:41:28Z,1
Cant anyone sing without autotune Anymore???😂😂😂,@phillipeid8602,2024-04-07T18:09:23Z,1
"I’m here in September 2024, this song needs to be longer, it just ends too soon. Another line of lyrics before the chorus would be great!",@jerryjones7918,2024-09-18T07:16:10Z,1
Greed is the worst sin,@Starlexis8,2024-08-24T11:43:41Z,1
This gives me Christina Aguilera vibes!,@christinaaguileralegend,2024-06-29T21:05:35Z,1
U can see those how toned are those quads🫠🫠,@chocolate2345-i9n,2024-04-30T22:59:28Z,1
I eat acoustic monkeys like me,@ManuKumar-qg2xc,2024-03-12T00:49:27Z,1
"GREAT DANCER, BUT THE VOCALS....",@shanonb8921,2025-06-21T19:55:32Z,1
Barely a 3 acting like a 10.. sad overuse of autotune. Anyone can sound good when filtered through a computer.,@nevose9046,2024-03-31T22:42:06Z,1
Yikes what a generic song and looks.,@brianruiz2360,2024-07-20T20:13:14Z,1
"Loving the vibe, love it! Keep it up!! 💝",@SunnyHoneySun,2025-07-31T20:37:58Z,1
She's made up for money. She'll have one hit then be.. who are you? Seen it. 5th Harmony anyone? 😂,@CWnCW2014,2024-05-20T01:20:45Z,1
Love the lyrics ❤❤,@tazeemahmad6546,2025-02-23T19:50:09Z,1
"Song is catchy but the dancing and music video is just to show her dance skills, butt, and t*ts",@brandonoliver5304,2024-08-14T15:29:08Z,1
This song has heavy vacation vibes for me. Makes me want to sit on the beach with a Pina Colada and forget the world.,@ycleptubi8935,2024-05-08T05:20:32Z,1
This song Gives me positive vibe. ❤and i feel like 🥱😎,@Rose-zb9sd,2025-06-17T13:40:13Z,1
catchy song,@dokesz530,2025-05-17T10:27:01Z,1
"the vocals and lyrics are cool bit for me that chorus hits hard, great sample of promiscuous",@Jgf802,2024-05-01T06:40:06Z,1
I am Indian  but song vibe wow❤😊,@Nehabahuguna-zp3xr,2024-04-13T05:04:42Z,1
She is giving the vibe I don’t need a man a man needs me😂😂😂😂😂😂😂😂😂,@ZyraLindblom,2025-03-05T03:50:25Z,1
"wow, nice music video. Guess what? I been making cue faces to the music videos of Sabrina Carpenter not knowing I am being watched the whole times since I admired these videos including this and Tiatia. I am being watched by the writing statements I wrote under the spaceneedle here in Seattle City on the Composition Note book about how hard and very securing the American Camera Servillence are to do 'Girl Hunting', hahahahhaha, I am an smart idiot.",@NonoZebedy,2024-05-09T02:45:51Z,1
Shes no olivia rodrigo lol. Mysh mouth lyrics,@charlesalexanderjr2247,2024-05-07T15:56:22Z,1
When a dancer decides to become a singer. Unbeatable. 🎉,@sadiqulislam9644,2025-01-26T15:35:44Z,1
This is awful.,@rickliebesarah1,2025-03-07T11:25:17Z,1
Very much the world is not enough vibes,@stacey1236541,2024-08-11T20:43:14Z,1
This song is so amazing!!❤ I have to make it my ringtone!,@matthewisshack6277,2024-11-30T15:40:00Z,1
This song is oddly very nostalgic. I'm obsessed! 😍,@sidneycage,2024-09-03T05:09:29Z,1
I'm getting Britney spears vibes watching her dance,@lesleymbuyikayembe7553,2024-07-02T12:48:25Z,1
oh my god  this awful,@jamesweber1372,2024-03-24T00:09:42Z,1
