comment,user_name,date,likes
"the repeating phrase ""I don't want him anyway; girl take him"" is so catchy",@a_currently_existing_person,2024-12-20T06:44:46Z,10321
She really has the 90s/early 2000's vibe to her and i love it,@purplewolfranger22,2025-01-06T05:55:45Z,7857
This brings back 2000 vibew,@ANWFineArt,2024-10-02T06:08:57Z,819
"the outro is so addicting!! her vocals sounds so beautiful and I’m in love with the outfits, dancing and visuals🤍",@briannalaberge,2025-03-08T16:57:34Z,603
It’s kinda giving faith harmony work from home at 2:08,@Skyler_rr,2024-10-10T04:15:44Z,205
this song gives me early 2000s vibe and IT'S SO GOOD!!!,@noseholekibi,2025-01-25T07:01:50Z,119
Whoever her producer is needs a raise. I hate modern pop music but her beats got me paying attention,@Afilly3,2024-12-10T23:33:57Z,87
"This makes me sad, she has so much talent she doesn’t need to sell sex to be successful. My favorite music videos are of hers that show case her vocals and dance ( grew up watching her dance) I don’t like that now she’s gotten so popular that she is showing so much sexual content it’s off putting and saddens me Hollywood has really gripped onto her. I wish she was authentic like she was when she made lower production music videos and made it about just her vocals and dance.",@emmasmith7841,2024-09-25T07:55:08Z,63
This song is so catchy,@channelsVR,2024-09-19T01:46:48Z,41
The way Tate effortlessly combines incredible dance moves with those powerhouse vocals... this is what we call next-level artistry. She’s here to dominate the pop scene and I’m SO here for it!,@Random_0012,2024-09-26T06:51:02Z,38
"From sad era songs like you broke me first to these badass songs i feel like I have healed and grown up from 19 to now 23 with Tate feeling all the same emotions. We go girl, we still have a lot to do in this freakin world 😎❤️‍🔥",@zassiebookvlogs,2024-11-20T14:30:01Z,28
It‘s giving me Pussycat Dolls Vibes🥹 Love it!❤,@nicoleforstner3200,2024-09-29T18:11:11Z,20
the production on this was top notch. whoever produced this beat and paired her vocals killed it. that bridge/outro was flawless,@RGrant2504,2025-08-02T01:36:36Z,19
2:22 is giving prison vibes,@Random_vids-just4you,2024-11-22T17:42:09Z,19
This is THE BEST choreographed video I’ve seen since early-mid 2000s and she’s giving me new age Britney Spears vibes. This entire video is AMAZING,@sunroseasmr5346,2024-09-20T22:31:17Z,15
"Tate is the only artist right now actually giving super star energy. Shes an insanely good dancer, her vocals are SOLID, and she performs like nobody I’ve seen since the likes of Brittany. She’s setting the standard and deserves all the love and praise 👏",@sooshiofficial,2024-10-27T14:03:50Z,12
"a Britney vibe, loving that the choreography is back 😍",@camilamessinaq,2025-04-18T15:45:38Z,11
This song is such a mood 😢💗 Tate captures that feeling of pretending you're fine so perfectly. The lyrics + her voice = pure emotion. it’s ok i’m ok is honestly beautiful 💫,@PaulasRoom,2025-07-28T06:41:20Z,10
Dude this song is so nostalgic I’m so glad Tate is doing us a big favor in bringing pop back for us ❤😭✨,@EldritchAnomoly,2025-02-10T10:07:34Z,10
