comment,user_name,date,likes
"I'm from Brazil and my autistic son is fascinated by music, he sings this melody all over the place. Congratulations on your success 😀",@dekajr.motoristauberguarul2798,2025-06-19T12:51:28Z,56
"I was late in discovering Mr. Swims, but now that I have I'm obsessed with his music, especially this song. IMO it's the best thing I've ever heard. The song coupled with his unbelievable voice touches places and emotions no song before ever has. And I'm 76 years old so I've heard a lot of great music in my time. Bravo, Mr. Sims. If this definitive piece of work doesn't bring you the stardom you certainly deserve, something is wrong with the ears of everyone in the world. Thank you for sharing your talent and voice with us all.",@lindagentry9468,2024-11-03T03:24:06Z,53
"Who's here in June 2025? This song is still powerful and soulful. Thank you, Teddy ❤",@Flower17923,2025-06-03T21:26:03Z,39
"🔥❤‍🔥🔥This man has the entire 100% full package in every single song he sings! His nuance, control, vocals, lyrics... lord I just can't get enough.  The first time I heard Teddy was when he sang Lose Control on the voice as a guest performer. My fiance and I didn't know who he was... WE WERE FLOORED!!! Glued to the tv and hit replay ... TWICE!  Holy crap. Who would've thought that it would be the floodgate to all things Teddy Swims ever since? I've gotten almost everything he's done so far, and I just can't turn it off. Seriously... no joke. On repeat. Everything. I heard an interview at C24, and it was cool to hear who he wanted to perform with: Paul McCartney, Stevie Wonder and Adele! WHEN CAN WE MAKE THAT HAPPEN!?  The world needs Teddy's light.  Blessings from the great Pacific Northwest, Lakewood, Washington!  💛🖤💛    #TeddySwims",@smedina146,2024-10-04T18:59:45Z,25
"Hi May 2025, I still love this song, lyrics and sound 😍",@MarieBarqueroR,2025-05-01T19:21:51Z,24
his voice is amazing his voice is raspy and it brings such a good vibe,@ThatOneGK-HL,2025-02-02T10:48:08Z,23
"Teddy sings from his heart, you can hear pure emotion in his voice. The best singer in a long time 🧸💞",@ValeryBrickett,2025-05-25T20:34:50Z,21
"October 2024, still in too deep with this one 🚀🔥",@vuyisaaon,2024-10-04T17:10:37Z,14
"The undertones, riffs, melodies and roughness of his voice hits your soul! ❤",@YEM-z1m,2025-04-01T22:40:28Z,13
His voice and these lyrics do something to my body and soul. Absolutely amazing. ❤,@melissapayton7684,2025-02-10T13:45:25Z,12
His voice is absolutely amazing. He gives me chills. I feel the lyrics,@jessicaashegh5490,2025-07-15T02:06:58Z,12
"I thought this guy was black when I first heard him, what an amazing voice and high notes he has! ❤",@dianastultz2643,2025-03-24T23:06:08Z,12
I feel goosebumps from this song! I don't know why... Because of the voice or the words in this song or strong emotions that I feel from the singer. When I'm listening to this song I feel the power as a woman. Like the woman's power over men ❤,@ElenaPogozheva,2025-02-09T09:17:11Z,12
Teddy! I cannot get enough! His Voice! His vibe! His look......I cannot get enough!,@shannonnelson3742,2025-04-01T04:18:00Z,11
I noticed many of us on this thread are boomers... Soulful songs are our oxygen ... What a song!!!!,@obxgypsy,2025-04-26T22:42:11Z,9
His voice transcendences 'Vocal Smoothness' and 'Vocal Volatility' at the same F*cking time.,@DBW211,2025-04-04T21:48:53Z,9
"""Teddy Swims' live performance of 'Lose Control' is pure soul and passion. His incredible vocal range and emotional delivery make every lyric hit deep, bringing a raw, heartfelt energy that only a live performance can capture. Truly mesmerizing!",@Mood.Feelings,2024-10-21T09:34:41Z,8
This is that good old school vibe music i miss,@Blacknbeautiful87,2025-02-22T18:26:04Z,8
Definitely Old School Rhythm and Soul! Thank you for sharing your gift Teddy!,@u2canmakeadifference603,2024-11-01T19:43:42Z,8
I love everything about this talent group. The guitar. The main singer.powerfull singer..,@andersonmaldonado5152,2025-04-18T12:54:24Z,8
POWERFULLY ✨,@elenadashkova6917,2025-06-30T18:37:08Z,8
"Reminds me of ""Crazy"" by Gnarls Barkley.  ""Lose Control"" is a true Classic!  A powerful Love Song!  I cry when I listen to it!  It is THAT Beautiful!  What an amazing Voice!  Thank You, Teddy Swims, for bringing such Joy to the ears and pulling out such strong emotions!",@Soneva-q7c,2025-01-04T08:09:22Z,8
This is one of the most powerful songs on the planet,@alyssashuler4001,2025-05-14T22:22:10Z,7
"If listening to this man sing don't stir up some emotions in you somewhere, Then Obviously you haven't faced LIFE'S OBSTACLES YET, JUST WAIT AWHILE 🥰😍!!!!",@shanekiawilliams-robinson9411,2025-04-22T02:23:46Z,6
"His voice ❤ POWERFULL, masculine, soft tension and his video is so relate to his appearance. At first I listened it without seeing his appearance and i fall in love to his voice, and supprise on visual, unexpected❤",@NameName-sc7qq,2025-07-26T00:33:17Z,6
"I love this song. Strong, emotional, and to the point. ❤",@MalindaJoyceSchapansky,2025-03-02T03:48:31Z,5
