comment,user_name,date,likes
"Emily's voice made me feel something I haven't in years. You can feel the power, you can sense the emotion. It was a flashback to the first time I listened LP in 2006.",@leo_king94,2025-03-25T15:59:41Z,1525
The subtle (not so subtle) fading scream of Emily when Mike's in the first verse is soooo goood,@viniciusgarcia3377,2025-06-14T20:35:08Z,349
For the record... Emily was a fantastic choice. What a powerful energy she exudes.,@ricardomasetti27,2025-03-02T21:35:54Z,57
"At first I can't accept the fact that LP has a new vocalist. Months goes by I starting to like it now. True, Chester is irreplaceable, this is the new Linkin Park.",@mackyme001,2025-04-14T12:09:20Z,38
"I'm deeply moved by 'Emptiness Machine'. The new vocalist has brought a unique energy, keeping the spirit of Linkin Park alive. As a long-time fan, I feel the band's legacy is in good hands and will continue to be respected and cherished. Thank you for giving us this renewed hope. You've truly been a part of my life.",@alvoplaytv,2025-02-17T19:35:33Z,38
The goosebumps when she gets that shout with high notes...,@marianantonsich3941,2025-03-28T17:37:47Z,35
"I’ve been dealing with severe depression recently, and experiencing both the long term aftereffects of bullying and current bullying, but Linkin Park keeps me going. Everyone in the band is extremely talented, and both the lyric and instruments hit hard. Keep up the great work, LP. You don’t know how many lives you’ve saved, including mine.",@ITSASHG01NGS0L0,2025-04-05T22:17:44Z,34
"""The machine is not empty – it’s filled with energy, emotions, and 100M views!"" 🎉❤️🔥",@FromZeroLP,2025-02-17T22:45:28Z,32
What I see is a band venting out there pain and a amazing new vocalist ready for a fresh start from her past couldn't be anymore happy that my favorite band is back! So ready to see them in September,@joshreade4,2025-04-22T12:02:26Z,28
"I heard this song for the first time as a random spotify recommendation based on other bands i listen to. At first i thought,  ""this is linkin park, but who is singing? Chester is gone. What the hey is going on?"" But the emotion in her voice drew me into LP and their other new songs and now I'm hooked, or should i say re-hooked. I hadnt listened to LP much since their first 2 albums or so. I guess i'm a fan reborn.",@daminox,2025-06-12T17:45:09Z,13
That vocal outburst at 1.38 is so good. Goosebumps.,@EffyStonem01234,2025-07-20T23:19:35Z,12
"Who remembers the time when Chester replaced Scott Weiland in Stone Temple Pilots, people were saying that they should change their name but Chester told the DeLeo  brothers no. it would be a shame just to throw something you worked hard for a way like that. i’m glad LINKIN PARK is doing the same thing. The band wasn’t just only about Chester, it was about everyone involved.",@204august2,2025-03-15T08:28:26Z,11
"Was I the only one who cried when they played again? That mix of joy, nostalgia, and emotion just hit so hard.",@samuelmunoz886,2025-06-25T22:56:52Z,11
"All the haters out there dissing Emily can stfu forever. Of course she’s not Chester, but she brings a fresh voice, that crazy energy, and emotional pull that Linkin Park brought in the past.",@adamboyle6099,2025-02-22T08:05:21Z,10
"For a song about an ""emptiness machine"" it's packed with emotion and intensity that is unmatched. I keep coming back",@STATUSTANK,2025-02-24T02:02:06Z,8
"Sou do Brasil e parabéns Link Park, uma vocalista linda e que canta muito bem . Tem a cara do link Park",@zipdrv,2025-04-15T18:11:29Z,8
"Just 'cause you can't see him doesn't mean he isn't there. His path was already marked from birth, things and events that can happen, happen and that with a purpose. With the new songs, we all feel his great presence and know deep in our hearts that he is proud & finally happy and at peace and that's all that matters in the end 🤍",@danijeladivjak1908,2025-02-23T13:51:32Z,7
This song and video are so great that it makes me tear up with emotions. Straight up.,@wagnerrockstar,2025-04-12T00:17:22Z,7
"Chester estaría orgulloso, seguro...💪🏻 Enorme vocalista",@Sardinasycocodrilos,2025-04-05T16:45:57Z,7
When you understand the lyrics you are on another level.,@francisconunes1411,2025-03-24T19:17:27Z,7
It's like the angry version of rich men north of Redmond. Both give me the same emotion. Great song. Great voice,@t.r.2283,2025-05-08T14:44:34Z,6
Emily is a vibe,@nvsabhishek7356,2025-02-27T14:21:53Z,6
"I miss Chester, I miss him, but Linkin has a new vocalist, life goes on, and we must move forward, always support them.",@gingin4338,2025-04-17T02:46:22Z,5
Her voice is insanely powerful and this song is amazing. I'm so proud of them. I loved them for years and seeing them start a new era of their band makes me so happy.,@polito-u7z,2025-05-15T11:34:10Z,5
"I came into this album with a fresh mind and no expectations and then Emily's verse started and I had a smile on my face and then she screamed ""LET YOU CUT ME OPEN"" in my face and I was sold. God, EMILY! You can sing! Thank you for taking on this humongous and difficult task of carrying forward LP's and Chester's legacy. You are doing an amazing job. I am obsessed with this song.",@rachitkhare2081,2025-07-15T21:25:43Z,5
"As a person who listened to LP when they first came out & it go tme thru some really dark times in life, still get me thru ym day to day. Linkin Park is a embodiment of music we loved, an idea. But Times changes, people die - thats a fact of life. We all will one day die, here for just the blink of the universes eye. Chester will forever be missed. But Linkin Park is forever. We carry the torch forward. Be kind & good to one another.",@lokimgaming,2025-03-29T05:29:45Z,5
"Even after listening to the song so many times that I know the lyrics by heart, I still get goosebumps when listening to it",@melissa.m.168,2025-03-25T12:51:48Z,5
"Just heard this for the first time today while driving, immediately gravitated towards it and looked up who the band was.. Of course it’s Linkin Park, insane how 25 years later this band is still putting out songs that remind me of why I fell in love with them in the first place, I miss Chester, he was definitely one of my idols and imo a voice of my generation, but I know he’d be stoked about this new style and the bands choice in vocals, she definitely has that high note capability but still has some gravel in her throat, one thing that’s never changed for LP is what they want in lead vocals to make each song stand out and this song definitely does 🔥🔥",@austinbeasley1300,2025-04-14T20:34:11Z,5
"I got emotional hearing this, Linkin Park is literally my childhood and teenage years",@Gustavo-sw7xf,2025-04-10T18:51:36Z,5
Chester is chester but this new vocalist Emily is amazing! I love the new sound of LP. It's like Metric + LP + BoyKillBoy had a threesome,@FriarHavs,2025-03-25T16:33:34Z,5
"Great song, great vocals!",@JoseOliveira-l5m,2025-03-08T16:08:57Z,4
"Not going to lie.. at first I really didn't like the ""new"" LP .. but honestly Emily is phenomenal and I can 100% see how perfectly she fits. Her vocal performance serves just the right contrast, and yeah.. they still kick ass.",@PhoenixD-DX,2025-08-02T01:10:10Z,4
"Awesome inclusion of piano! Great lyrics, another masterpiece!",@ThorOdinson1269,2025-03-12T00:06:25Z,4
"Last year I was listening to LP twice and got told they were bad... Both times. I recently revisited them and I think they are my favorite band, the mix of rock instruments and synthesizer with piano, Emily (and previously Chester, RIP) and Mike's singing and the insane lyrics, they're just an overall amazing band.",@Carlo-i9k,2025-07-23T12:12:05Z,4
"‘I only wanted to be part of something’  Linkin Park is a part of this freaking universe. Legacy continues and how !! Mike Shinoda, you are a monster. Thank you LP.",@Sid84cali,2025-03-04T18:52:20Z,4
1:28 Seriously that Harmony is just so satisfying and powerful.,@AlbikerkyIsNotReal,2025-02-12T04:55:41Z,4
"Honestly... When I saw and hears first time, I couldnt... I couldnt accept Emily. Chester was too important for me. I always feel him pain, scream, soul. Chester was pain. But Emily come to me with angry in her voice. And this emotie, If I look how much I miss Chester, is perfect. I need give her a chance. She deserve this. This Linkin Park is different. Music is more deep with angry than pain... but this match perfect for feelings which I have about Chester... so yes. I am open for Emily. And she is great. I needed more than month for come back to this song. But thank you guys for this. Is really good track!!!!",@martucha80,2025-04-04T12:46:09Z,4
bro she give me old Need for Speed vibes and i love it,@yandaleydai,2025-03-11T00:32:24Z,4
Absolute track and fantastic message in their lyrics. But it has never been decided how we lose. It is us who makes us lose.,@inknpage,2025-02-11T20:15:42Z,4
I really have no idea why this happens but when she stars the chorus I immediately start crying.,@nooo572,2025-07-21T13:13:37Z,4
"U know what guys it's hard to move on,but think for the band how hard would it be for them to move on,,so just enjoy the music ,feel the beat, rhythm, and rock it ..be with the flow.😊",@Tkashung4695,2025-03-08T23:37:45Z,4
At first  didnt liked the vocalist right now I'm into her so damn much the linkin park vibe Stills there ❤,@IgnacioGabriekk,2025-04-05T18:07:26Z,3
"You guys impressed me with the new formation, this new vocals are absolutely amazing and you guys gave a new soul with new colors and feeling, a new page in Linkin Park trajectory making history in the music industry, you guys rock, and this song is just.... got no words to express.... I am surely going to a concert, want to watch you perform theses new amazing songs. Success! you guys deserve it! from a big fan.",@doliveirajapan,2025-05-08T08:22:03Z,3
The CHILLS i get every time i hear her vocals !!,@mellifluousfear8355,2025-03-28T14:00:51Z,3
"A real banger!  Emily is so cool, and she can make you FEEL the emotion, to say the least!",@darlenetrowsdale5156,2025-02-14T20:55:17Z,3
Mikes opening vocals are a bit average but the new lead really nails it.,@The0Matador0,2025-03-29T00:40:39Z,3
Heard it at the Sheffield Steelers game on Saturday during warmup.  Didn't know it was Linkin Park until I googled the lyrics.  Love it.,@S050683,2025-03-23T20:21:09Z,3
"Isso aqui vai ser atemporal, escrevam",@carollacerdaCovers,2025-07-23T22:40:39Z,3
This womans vocals are amazing and mike is a legend great combo chester would be proud,@Bobthebuilder-gn8ur,2025-07-16T15:26:23Z,3
"Same Linkin Park vibe, luv it",@awskeesher,2025-02-26T14:56:01Z,3
"Chester e insubstituível, sem sombra de dúvidas, mas ela é perfeita para ser vocalista do novo Linkin Park ❤😊",@steffanybittencourt2988,2025-04-07T16:19:25Z,3
I am so excited for this next stage of Linkin Park! I get goosebumps hearing Emily’s voice. Such raw power and emotion and she’s absolutely beautiful to boot. The band could not have chosen a better more talented person to join them. I love her. Welcome to the Linkin Park family Emily. I am determined to see LP live before I die. You guys better get to Australia.,@Flidais13,2025-04-07T03:56:43Z,3
"CHESTER MUST BE SO HAPPY TO SEE EMILY ARMSTRONG, MY FIRST ALBUM WAS MINUTES TO MIDNIGHT, I WAS A YOUNG KID, AND SHE BRINGS THE LINKIN PARK VIBE BACK",@jc9276,2025-05-30T01:12:08Z,3
This song is what I think of when I think of LP. The new vocalist is phenomenal. Incredible voice.,@RasenRendanX,2025-03-23T04:00:35Z,3
Kind of female vocal fry i like.,@PravoSlavicon,2025-03-24T17:49:01Z,3
Perfect mix of vocals from both singers. Well done.,@SETXthermal,2025-04-29T18:51:31Z,3
wow…. great powerful!,@카유보트-n9z,2025-07-25T21:44:18Z,3
Everybody talking trash needs to stop. Nobody is trying to replace Chester. The band needs to heal also and if this is what it takes it gotta happen. Yea she can't hit what chester does but listen to these lyrics! Chester would be so proud that the band is moving on and making more music! This song def hits hard! Love it keep it coming!,@jonathankarloski9624,2025-03-09T06:53:48Z,3
"To be honest, I am actually very attached to the ""old"" Linkin Park, but now, for what happened we are talking about history. In any case, the new singer, Emily, in my opinion identifies a new direction for the band; reborn after her arrival. Her tones and her grit are very reminiscent of Chester, in fact in many expressions she emphasizes them. Compared to an animal, she would be a lioness. The band now has to focus on the new direction, unfortunately the old songs, especially those from the first albums, before Emily, sound decidedly strange. Good luck to the new Linkin Park! I am and will always be with them.",@andsani,2025-03-30T20:46:37Z,3
All these Chester this and that comments just emphasize the point the lyrics are referring to😂 Just let it go folks and enjoy this awesome piece of art AI could never produce❤,@terskataneli6457,2025-04-08T21:08:37Z,3
Omg Emily got me trippin yo! She got the scream the vocals and omg is she gorgeous 😍,@Lilly-p7r6l,2025-02-15T16:38:41Z,3
The chorus sums up my last relationship on point.,@nihe5247,2025-04-18T02:45:18Z,3
I actually got emotional she’s amazing,@AndrewJefferies-n6d,2025-03-05T20:46:41Z,3
The best vocalist right now in this genre has a name....her name is Emily Armstrong.  Enough with the chester comparisons.  Emily is her.😊,@jjj2121,2025-03-21T01:18:04Z,3
