comment,user_name,date,likes
I love this song so fucking much...this song just puts me in a emotional state that I CAN'T EVEN describe...like damn.,@amizlia,2023-11-10T13:28:14Z,347
My man casually gets the best Clams beat in damn near 10 years.,@3lancerofficialmaybe871,2024-07-04T14:51:35Z,314
Old SoundCloud Vibes ‼️❤️,@kyled6007,2023-11-11T04:33:19Z,92
Gave me an xxxtentacion vibe,@Mortalfl3Sh-RealMusic,2023-11-16T13:52:35Z,86
"this song is just perfect , the length, the lyrics, the beat, the vocals everything about this song is perfect",@Marco-yn8en,2023-11-10T05:18:10Z,56
This feels so nostalgic as if X made a song with Clams in 2018,@cheesybirdmess7349,2023-11-14T13:36:26Z,52
"i knew this had to be clams, the beat & production was just waaaaay too good.",@Str8Billin,2023-11-14T13:01:06Z,22
Somebody wanna tell me why this song is 1:27 this song is so beautiful i want this on repeat❤ best vibes. W on this track Kid Laroi,@marcusstar3674,2023-11-11T22:49:46Z,12
This is one of my favorite songs of all time now. From first play to the third I was memorized by the beat and vocals fire 🔥 subject matter 🔥 visuals 🔥,@Justslimebruv,2023-11-15T04:04:27Z,11
THIS SONG GIVES ME MIDNIGHT CITY VIBES!!!!!!!!!! 🌃,@plexistellar,2024-08-23T20:42:11Z,10
I came here 8months after this dropped to see how many also thought this was frank ocean and no one even said it was a frank ocean vibe…. Oooph,@lilgsrevenge,2024-07-17T14:07:45Z,10
yo clams and u created one of the best vocal and production match this is crazy !! this shi sounds so good.,@onatsannn,2023-11-12T01:01:45Z,10
Gives me X vibes 🐐,@oceanbreeze_,2023-11-22T00:51:43Z,7
This hits so deep I think discovered a new feeling.,@russbelaquise6018,2025-06-02T16:38:02Z,7
Bro the Frank Ocean vibes are with this one are crazy. Beautiful song,@grayyyyx,2023-12-01T12:42:19Z,6
im not tryna be emotional or be cringe rn but this song made me cry.,@adamantcx,2023-11-16T12:44:05Z,6
"This song create a new emotions, new vibe, new color in my head",@Luke_walkersky,2024-08-28T11:36:16Z,5
"for some reason this song reminds me of summer 2018, 2019 and a little bit of 2020. those vibes were different",@micaelaautomata,2024-09-30T07:09:04Z,5
frank ocean vibes,@savvy9998,2024-09-09T17:43:27Z,5
Feels like early 2010's SC vibe,@퓨퓨-f1d,2024-08-04T06:01:52Z,5
"favorite song off the album, clams casino killed this beat",@keyomani,2023-11-10T07:15:12Z,5
This song is GOOD and the melody is just PERFECT!😩,@ZEKODAPLUG,2023-11-10T14:06:05Z,4
First time listening but it feels nostalgic,@Sam13o31,2025-01-27T16:38:11Z,4
Pisses me off we don’t get rocky and others over these beats anymore S/o clams casino,@Lunatik75,2023-11-17T13:10:47Z,4
D4VD vibes,@Plagued-9912,2023-12-28T23:51:12Z,4
"The first time that i heard this beat it give me the old asap rocky feeling , love this type beat so much",@thanousinphothisomphone4356,2024-08-12T14:32:11Z,3
Why this thing feels so nostalgic,@msfaet3627,2025-01-07T13:14:52Z,3
the vibes of this song gives me 2015 tumblr era it's amazing,@juniper4194,2024-01-07T20:15:06Z,3
"This song instantly takes me back to 2016 vibes not sure why, I get this sudden burst of youth until the song ends.",@Robbiegoldd,2025-01-13T16:34:25Z,2
does anyone know any similar songs to this type of vibe/sound?,@winzius,2024-07-01T18:37:50Z,2
"i was at my lowest when this song came out, it gives me such deep despair but nostalgia. It felt so good it hurt to be in my sadness z",@willliamsdj12,2025-05-02T11:32:32Z,2
"Eu faço parte de um grupo de amigos na escola. Ano passado, eu me apaixonei por um menino desse grupo. Ele é aquele menino que faz graça pra todos rirem e quando o clima está pesado ele sempre tenta descontrair. Ele já tinha dado sinais que gostava de mim, só que eu não tinha interesse, até que um dia eu comecei a notar um sentimento e conversei com outros amigos do grupo. Eles ficaram super chocados, mas me incentivaram a tentar algo. Depois de uma boa ajuda deles e uns verdes a gente começou a ficar. Era tudo incrível, ele me mostrou um lado que ninguém tinha visto, e eu me sentia muito bem com isso. Depois que nós começamos a namorar, tudo mudou, aquela pessoa que eu imaginei que seria não era. Uma pessoa que passou por muitas coisas na vida e que claramente tem sequelas com isso tudo. Depois de cinco meses de namoro eu resolvi ter uma conversa séria com ele. Já não aguentava mais aquele relacionamento morto, doía muito em mim não ter ele do jeito que eu queria. Terminamos e eu sinto muita falta dele, toda vez que ouço essa música lembro de nós. Sentados do lado do outro cheio de vergonha na sala de aula, ou sentados no sofá na casa do nosso amigo. Eu amo demais ele, muito mesmo, mas infelizmente não podemos ficar juntos. Ouvir essa música me trás exatamente a ânsia de amor que eu tinha/tenho por ele.",@eduardakohut,2025-06-01T02:32:37Z,2
song white people listen to when they hangout with diverse people,@alikhawaja12,2024-09-11T11:26:53Z,2
Flume vibes 🔥,@blanco27,2024-07-02T14:04:53Z,2
angelical beat,@ArturCamargo-b8v,2024-04-20T16:17:47Z,2
maaaaaaannnnnnnnn. XXXTENTACION vibes,@joaomathevs,2023-11-17T14:34:25Z,1
such a vibeeee,@prettygirlthighs,2025-05-28T22:26:49Z,1
if anyone else knows song with this vibe PLS PUT ME ON,@saucypineapple8277,2023-12-14T17:54:25Z,1
the beat gives me chills,@brucethemusicguy,2024-07-05T23:52:39Z,1
Claims slapped on the beat 🔥🔥🔥🔥🔥🔥,@tftjpcep123,2024-04-09T02:29:24Z,1
His vocals are heavenly 🔥🔥🔥🔥,@tftjpcep123,2024-04-09T02:29:06Z,1
This song gives 2015/6 vibe 🤌🔥,@georgia9018,2024-10-02T15:47:11Z,1
totally wasted this beat,@itsX2024,2024-07-19T18:32:53Z,1
Depressed winter vibes with a cart 😅 ❌BANGER❌,@Joonball,2024-12-23T02:59:35Z,1
The song is nostalgic in many ways! Like im traveling in time only to end up in a universe surrounded by my loving guides in my spirit family!,@swaggaholic580,2024-11-30T19:57:05Z,1
This Song Need a Schoolboy q verse it would be 🔥🔥🔥 and double what it is now....,@cabdullahicabdi4507,2024-06-05T20:37:31Z,1
"The beat is absolutely captivating—every note feels like a burst of pure joy. It's energetic, uplifting, and impossible not to feel inspired while listening!",@IlFezzi,2024-11-27T07:30:44Z,1
Beautiful song giving outer space vibes,@smileyman7376,2024-08-15T21:01:42Z,1
