comment,user_name,date,likes
The only artist keeping the 80’s pop music vibe alive🙏🏽🙏🏽,@Delta97976,2024-09-16T00:02:51Z,409
This gives me such 80s vibes!! ❤❤❤  I couldn't love this enough.,@patriciahenkel638,2024-11-10T17:58:06Z,266
"The Weeknd's ""Dancing in the Flames"" is a masterpiece. The way he captures the intensity and passion of the lyrics is incredible. It's a song that stays with you long after it's over.",@Top5FreeThings,2024-09-23T17:42:39Z,215
This song is the best gives u the best feeling ever so happy love this feeling of this song so beautiful !!! Weekend makes the best nostalgic music,@ladeziumhall4032,2024-10-21T19:33:11Z,44
"This song feels like dancing with your demons while watching your soul burn. The Weeknd never fails to capture the beauty in pain. 🔥🔥 Who else feels every lyric hit deep?""",@MaxamedJaamac-i4i,2024-09-23T11:12:37Z,44
"I'm 54 years old.   This music... that beat.. for all you younger people, this music was called Freestyle back in the 80's-90's.    Glad to hear a modern interpretation of that style of music.",@stevo181,2025-08-03T15:11:10Z,16
"I believe that somewhere in the world, there are people who feel the same emotions that I feel when I listen to masterpieces like this song 💕💕💕",@ClassicRockMusic333,2024-09-18T10:14:37Z,16
Has a different vibe now after the flames in LA,@grimeandslimeco,2025-01-09T10:51:20Z,11
I love how the last verse hints the last chapter to the trilogy! “The Final Odyssey” 🔥💯,@MurdaT12,2024-09-20T18:47:24Z,8
Bro!!!! Listen to the lyrics!!!!! This is actually happing in California with the fires!!!,@jayyhq9289,2025-01-10T04:04:33Z,8
My mum introduced me to this song today glad she did as I’m a Synthwave freak 😃💜 I love it 💜💜💜,@treasurecompanion,2024-10-14T14:30:19Z,6
I'm hoping he releases a deluxe version of _Hurry Up Tommorow_ like he did w _After Hours_ w this version as well as the accepella and acoustic version on it. I'm really hoping that's the reason this was not on the inital album release.🤞🏼,@NaomiCantora,2025-02-01T01:36:12Z,5
"The beat of the song sounds so uplifting, bright and positive although the lyrics and images are so dark.",@JG_Vietnam,2024-09-15T11:41:21Z,5
this song made cry how emotional it was like fr amazing song right here ❤️😔,@Blossom_likeflower.,2024-09-18T14:28:38Z,4
I love how the first line of each verse represents a different album from this trilogy,@microwavememes5479,2024-09-16T07:41:07Z,4
Nokia ringtone,@KadekTio912,2024-10-15T02:41:45Z,4
Just heard this on the radio. And I knew his voice and came to look it up. Love this song and beat.,@NormaSanchez-z2n,2024-11-09T06:05:14Z,4
"In my mind, ""dancing in the flames"" is like being on a dirt field, surrounded by fire, hammering the pedal swinging around the back end, kicking dirt over the fire to try to put it out, like that one fast and furious movie where he kicks up dust and reverses off the cliff. ""The exhaust is red-hot, engine is running hot, tachometer reads redline, but the flames still stand, and the car is still fighting the flames, making a beautiful ruckus.""",@bobbylobby820,2024-10-01T08:48:58Z,3
these lyrics are so funny,@thekoala1581,2025-02-02T11:07:51Z,3
Giving me 2012 vibes,@Josh-rg6pe,2024-10-07T21:48:49Z,3
I love this sound of the synthesizers reminding me of the 80's!!!,@missolivia1966,2025-03-13T19:03:30Z,3
This song makes me feel like I'm in a different universe full of hope😮,@DrewCrabtree,2025-05-20T05:27:43Z,3
this is his worst music video omg how disappointing for such a euphoric beautiful song,@cheri9389,2024-09-16T19:13:31Z,2
"The synth repetition was driving me crazy when I couldn't find the Weeknd song (this one) which had that. Then I heard it again in the car and again got the wrong name, looking for a phrase with in the lights...Yup, nothing like that. Finally found it! Wait a minute, is this video him dancing while dead?",@elainegmorrison,2025-06-17T03:19:31Z,2
This gives me 90s roller rink vibes,@fallenfrmgrace22,2024-12-02T18:00:45Z,2
We Can't be Friends vibe! ❤❤❤,@FábiodeSouza-k1v,2024-09-15T20:26:22Z,2
Nice slice of synthpop :),@MichaelOglesby,2024-12-28T20:20:03Z,2
quite mid not my vibe,@jlai8411,2024-10-19T12:20:58Z,2
"Message to: The weekend, Careful! You give me 80's vibes. This music is known to be linked to realness, imagination, hard work and pure feeling. Only ONE man has been able to do this in the past. We all know who. I can hear HIM in your music. Your noticed and, I can FEEL your music. Dont stop playa",@tgizhectic,2024-10-29T20:47:49Z,2
This album is going to be so hot!!! He just keeps evolving! Another visually stunning video and love the 80’s synth feel to the song!! 👏🏽👏🏽❤️,@jamespatrick1784,2024-09-18T23:07:42Z,2
Omgggg thıs song ıs amazing. Ariana grande vibee,@theweekndsevelerdernegi,2024-09-19T18:35:21Z,2
