comment,user_name,date,likes
"The baby wasn't kicking, it was beatboxing🍼🎤",@boomboomninja,2025-07-09T11:52:49Z,474
"the idol vibes, that's not a compliment",@nevermention7345,2024-12-22T00:36:53Z,153
"Cara, não é arte, é desespero, não é contemporâneo, é algo que beira a atrocidade...",@achadinhosbrparavoce,2024-12-03T20:58:59Z,123
Director to the Weeknd: whats your worst nightmare?,@chirag9264,2025-05-12T16:51:45Z,119
"The pregnant woman symbolizes creation, transformation, and the emotional weight The Weeknd carries. She represents his struggle for rebirth or new beginnings, reflecting his inner conflict with fame and the consequences of his past. The surreal and disorienting imagery adds to the idea that while there’s potential for change, it’s unclear whether it’s positive or negative.",@ahmediscoful,2025-02-02T04:55:35Z,91
What on earth did I just witness?! How could anyone possibly believe this video aligns with the song’s lyrics or its concept? What the actual FUCK  has happened to creativity and artistry in today’s music production?,@mariaabshilava6423,2025-01-20T19:16:58Z,17
"Song is fire, video clip is making my inners reverse",@ΜανόληςΘωμαδάκης,2024-12-03T16:10:56Z,7
"Love the video! Out of the box...out of the ultra boring and repetitive things out there. Something impactful, something to keep us talking about it",@MizzRychcik,2024-12-01T09:53:05Z,6
One of the worst music video I've ever seen,@WeInvestHindi,2025-03-17T06:01:53Z,5
ANITTA IS VERY POWERFUL,@gabranttes,2025-01-19T05:57:09Z,4
Hat Ähnlichkeit mit der verstörenden Orbit Kaugummi-Werbung 😅 aber Musik und Melody ist geil,@raphaelhormann953,2025-01-09T00:50:25Z,4
You guys overseas are like this because of the music video; imagine if you knew the translation!😂,@Lu_pitt3,2024-12-18T19:38:14Z,4
Why the fuck this video giving darkweb vibes,@HawkeyeGaming10,2025-05-28T19:05:26Z,4
Me listening the entire  music for that single goosbump tone ❤,@KrishnaTondchire,2025-07-28T06:35:56Z,3
"The baby wasn't kicking, it was beatboxing🍼🎤",@boomboomninja,2025-08-02T16:22:20Z,3
This Brazilian funk beat is insane 🔥❤️‍🔥🎧,@Gabriel-gb7mi,2025-02-01T01:11:32Z,3
great song with worst video,@MrM4G,2025-03-08T16:01:17Z,3
"The worst thing is that, Anitta is a great success in Brazil 😭 this explains a bit the ridiculous situation that Brazil is undergoing... The population deserves the country they have, congrats fucking Brazil!",@leocopp,2025-05-14T01:11:42Z,3
"The worst music that The Weeknd recovered, because this Anitta!",@André-x2q3y,2025-03-25T14:13:34Z,3
That chorus is one of the best pieces of music I've ever heard,@scottcounty6919,2025-02-23T04:07:58Z,3
This video is even darker than every verse of the Berserk manga in its most extreme stages,@Ff.MADARA.MADARa,2025-02-03T21:42:21Z,3
The best song ever with worst video ever lol,@jozelopez5069,2025-05-29T21:56:00Z,3
How the fuck does this have any correlation to the song lyrics.,@Rottedsugar,2025-02-01T10:54:52Z,3
Sometimes... the audio is powerful enough. No video needed🎧✨,@Heyitsmealiciaxoco,2025-07-25T12:34:24Z,3
Worst music video ever,@Tutku_808s,2025-01-23T21:13:28Z,3
Yall can say anything but this is art. The vibe of the music fit so well with the mv,@Gabriel-m5o7n,2025-01-22T01:28:40Z,3
"The brazilians don't like Anitta, she's a generic and problematic singer for us",@marcelinopaoevinhoo,2024-12-04T13:26:03Z,3
Bro saw to many brazilian reels. Sounds awful though.,@maxb.6434,2025-02-01T10:37:45Z,3
"I can’t stop playing this! The way The Weeknd and Anitta’s voices blend together is everything. The vibe is electric, and the beat just makes me want to move. I’m absolutely in love with this track! 🔥🎶💃",@TheMorningSongs88,2025-01-06T09:12:23Z,3
Is this music video supposed to be at the deep web?,@rigzygaming4841,2024-12-31T17:05:05Z,3
As a Brazilian I'm not proud at all of Anitta parts in both the video and lyrics 💀💀,@M4rc05P,2025-03-18T23:25:30Z,2
"Okay that's something new, though the beat is dope",@klixriyu,2025-02-01T10:28:18Z,2
It gives Bankai 'Konjiki Ashisogi Jizo' vibes. 😂,@erzascarlet6426,2025-06-07T13:20:21Z,2
The comment section passed the vibe check,@fever8741,2025-02-19T03:58:54Z,2
Hino atemporal ❤,@iararibeiro6764,2025-05-09T14:18:02Z,2
What in the actual fuck is this video and don’t anyone dare type up the English translation to the Anita lyrics they are even worse😅😅,@eddi.Eddiee.e,2024-12-16T01:05:30Z,2
"Im sure the brazillians will murder me for bullying, if i say bad thing. But shes confusing to me. She gets invited everywhere, nominated for everything... but her music has no substance, no hits, just generic.",@marcelinopaoevinhoo,2025-06-28T20:20:06Z,2
"Im sure the brazillians will murder me for bullying, if i say bad thing. But shes confusing to me. She gets invited everywhere, nominated for everything... but her music has no substance, no hits, just generic",@marcelinopaoevinhoo,2025-02-25T02:07:13Z,2
Y'all overreacting i am gonna watch the clip and then make a edit i ont thinks its thats deep i swear,@ThomasRodriguez-zh7vy,2025-04-25T20:12:51Z,2
"Not pleasing aesthetically, at all. Musically, visually, this just ain’t it. Watch “Belong To The World” and return here and you’ll agree. Our boy Abel’s off the deep end.",@NJASZN,2024-12-04T18:46:08Z,2
Halloween vibes,@Leticia-tq6me,2025-06-26T22:37:02Z,2
The first and worst Weeknd music video😢,@ketangaming9939,2024-11-24T19:25:24Z,2
This song would be great without Anitta’s sh*** lyrics on it.,@lif3zsh0rts15,2024-12-26T12:38:58Z,2
Enough of that lets just listen to the lyrics💀😭,@hninthandarhlaing7990,2025-05-11T13:02:40Z,2
"I know the video is disturbing. But i think it means that Abel is coming. Like the weeknd has said goodbye and Abel is returning with the upcoming album. And well anitta kinda brought him back? I may be wrong, but they did a very good job making this an unforgettable video (in a bad way lol)",@shiroiakuma9656,2024-11-29T14:19:27Z,2
quwria voltar o tempo pra nao ter visto essa merda 💀,@ikitaiibii,2025-02-19T02:40:26Z,2
lyrics are good but the video is just ewww sorry don't mind im a big fan of you but what is this,@Mahnoor_gondal94,2025-08-05T16:10:56Z,2
"Im sure the brazillians will murder me for bullying, if i say bad thing. But shes confusing to me. She gets invited everywhere, nominated for everything... but her music has no substance, no hits, just generic.",@marcelinopaoevinhoo,2025-07-13T15:55:29Z,2
Worst song on the album,@Texaspoontappa18,2025-02-05T17:17:07Z,2
the worst music video I’ve ever watched wtf!!,@Sss.a449,2025-02-18T23:56:44Z,2
Doesn't the beat at 0:03 sound the same as the initial beats of Ainsi Bas La Vida?,@saisiddharthupadrashta5970,2025-04-09T17:59:17Z,2
I don’t get it it’s not that deep?,@sleepyhead8405,2024-11-30T12:17:43Z,2
This is the trashest and worst shit both The Weeknd and Anitta have ever done lol,@geminievil,2025-03-17T15:47:37Z,2
I would prefer to watch a lyrics video rather than this shit,@anjanxten,2025-08-04T19:27:10Z,2
oh nooo feel the vibes👄👄🗣️🗣️,@anzalasabila7877,2025-02-12T18:46:49Z,2
