comment,user_name,date,likes
"Jennie, The Weeknd and Lily Rose Depp collabing together is absolutely amazing. The Idol is a awful series but it does however have a really good soundtrack. This is one of the best one's alongside Fill the void, lesser man and Double Fantasy",@DFASTXFilms,2023-10-12T22:18:50Z,4565
"Lily's voice, oh my God, I can't stop listening to it. Her voice made the song sound so much better. It's really amazing. Her voice is so beautiful. I feel like I'm in another world. We want more of Lily's wonderful voice! The tone of her voice, oh my God, is really the best voice in this song. Her voice really gives me goosebumps because of its beauty. I cannot stop listening to it. They saved me. I fell in love with her voice!!!!",@v7555-i7s,2023-11-06T15:44:55Z,1907
"I am totally in love with this song, Jennie's bold and deep voice and Lily's sweet and alluring voice gets me everytime and let's not forget Weeknd they all compliment each other, I especially loved Jennie's part a lot <3",@YuriIsOnYt,2024-03-18T07:40:23Z,1057
Lily-rose and Jennie + Weeknd's killer vocals+busin beats/rythms=MASTERPIECE!!!🔥🔥🔥🔥🔥,@Jbk87,2024-06-04T16:07:01Z,570
"""I just wanna be one of your girls tonight"" mwah chefs kiss love that part vocals and everything on point",@Enkoimushrooms,2024-06-30T08:18:45Z,545
'I BROKE YOU JUST TO OWN YOU'.....this line gives made vibes,@syedilyas6104,2024-05-11T12:58:32Z,507
2:39 It sounds so good when he vocalises while lily sings.,@happyme450,2024-10-21T18:30:11Z,464
"The Weeknd’s seductive vocals are already mesmerizing, but when Jennie and Lily-Rose jump in, it’s pure vocal perfection. Jennie’s sultry tone adds fierce contrast, while Lily-Rose’s whispery delivery brings haunting vulnerability. Together, their voices create a hypnotic mix of desire, temptation, and heartbreak. Masterpiece!",@narutootsusuki970,2024-10-03T14:07:34Z,443
"The lyrics express the singer's desire for a relaxed, no-strings-attached encounter. They're not in pursuit of a lasting relationship or aiming to be someone's special partner. Instead, they simply want to share time with the person as a companion without any romantic commitments. It's a straightforward message about seeking a temporary connection without getting emotionally entangled.",@jstnflyd,2023-10-18T07:28:12Z,441
"this aint just a song , this is a whole new emotion",@TweekkTweeak,2024-03-12T23:19:51Z,379
JENNIE'S VOCAL 💐,@zeanviery,2024-01-31T02:23:08Z,292
The beat drop at 0:13 OMGGG😍😍😍🔥🔥🔥,@TAYLORLOVESYOU-3,2025-02-20T19:16:55Z,238
This ate down!! Jennie was impeccable? Lily was extraordinary? The depth of emotion in the weekend's voice was absolutely beautiful? The beat is amazing. The whole production of this is amazing.,@Aaliyah-p6d,2024-01-20T07:37:53Z,181
"The rhythm , the vocals, the blend. Beautiful",@aaronantcliffe8951,2023-10-11T17:52:35Z,153
The beat is incredible. And I'm assuming the weeknd came up with the melody which is also crazy addictive.,@calcutlass,2024-01-28T08:02:06Z,123
"I don't know what magic this song has played on me i can't stop myself from listening this song especially jennie's verse feels like heaven to me.Abel Just Wrote A Masterpiece.And Lily Just Blew My Mind Away Her Voice Is Just Perfect For This Song ,I Don't Have Any Words To Express My Feelings For this song.",@palashchakraborty2003,2024-02-24T04:29:50Z,90
lily’s vocals are sooooo good omg,@Alodier,2023-11-25T20:04:59Z,80
