comment,user_name,date,likes
Bro I swear the beat is so addictive  thank you both for this banger,@jaedinbetting1152,2025-06-05T05:04:26Z,924
"the weeknd just hit different, he bring that vibes, love from malaysian🇲🇾🇲🇾",@6ixtythre367,2025-06-27T07:43:10Z,659
"Pharrell's production is otherworldly, and Carti's vocal acrobatics keep me hitting repeat, but The Weeknd's melodies are what make this truly timeless. This track just cemented itself as a future classic.",@daves-x4y,2025-04-12T22:55:11Z,571
Who else came here to clean their ear after tht god awful remix ?,@Sekai-b8h,2025-05-09T07:20:26Z,274
This song would be perfect for the Grand Theft Auto VI radio station! It literally gives off the Vice City vibes!,@xXRobin2004,2025-07-15T20:08:41Z,166
Feels the Vibe like living in year 3000 💀,@SUJOYDAS-zg4ri,2025-05-28T19:34:21Z,78
Even through he is finished making music under the weeknd name. I hope he continues to produce beats.,@Simplayified,2025-05-29T00:22:34Z,24
The drop in octaves with the synths at 1:25 is just insane and then again at 1:35 when he says rock but cuts the synth at that mark is just so good and intentional. So much work went into just the beat itself.,@brianreubelt,2025-05-01T00:21:45Z,23
"Why this is not on the radio is crazy, this beat is ridiculous, reminds me of Wu  Tang",@kenrichorton6863,2025-03-14T22:26:01Z,19
"Timeless will always be a fking classic and masterpiece between two great artists, which I love ❤️  The beat goes hard 🔥🔥🔥🔥🔥",@naomiking4159,2025-06-29T10:13:43Z,15
I’m obsessed with that opening scene and verse . 🎀🫶🏿,@sallybasi2689,2025-05-12T08:44:02Z,14
Understand 0% but aura and vibe 100%🗿🗿,@JyotiKumari-mm6zf,2025-04-18T13:48:01Z,13
This song is literly the best beat and the song don’t even get  me started,@jesussegovia-ph2yb,2025-04-22T22:55:41Z,6
Beat is so good,@BaranAvsar35,2025-03-21T22:10:41Z,5
"Love the beat, very catchy song! Keep up the grind and Collabs The Weeknd and Playboi Carti ",@SickByBirthGaming,2025-05-23T10:51:16Z,5
"doechii verse is super ass, and unnecessary button",@AlexMartinsBrazil,2025-05-12T04:24:14Z,4
"The beat is absolutely incredible, especially with The Weeknd's vocals and Carti's signature voice effects!",@nikhilnishanth8450,2025-04-04T16:23:53Z,4
"Its not that doechi's verse was bad, it just didn't match the vibe of the song and was too active. carti and the weekend have calm flow and doechi has an active one. so it's not bad, it's just the vibe",@ZEN-e5v,2025-05-15T05:19:06Z,4
Here before doechii ruins this with her awful remix,@seven44seven,2025-05-06T18:42:23Z,4
This beat is so fucking 🔥 🔥🔥🔥 thanks Pharrell ✨️,@MonicaMitchell319,2025-07-22T03:12:14Z,3
Pull up bumpin this and have people dancing n steppin to da beat on the street.,@ALFforPresident,2025-04-04T02:41:34Z,3
2:36 this part so good 3:58 yuhh 4:05 vocals is insane,@MarvinSuave,2025-06-05T21:18:46Z,3
"The second carti says “ever since i was a jit“ u 2 emotions, instant lock in or extreme lvls of confidence",@Rip_JahCraft,2025-05-17T12:46:18Z,3
I just like the beat!!! Fuck these celebrities. Bunch of flamboyant boy lovers. But TBH beware what you let your ears listen too. This dudes so demonic he’s hoping he helps lead everyone straight to HELL and further from GOD the real FATHER,@kylemanley6355,2025-05-27T20:14:05Z,3
1:41 beat drop 🗣💥💥💥,@lemonshortz0824,2025-04-18T17:15:51Z,3
1:39 💀👀 🗿 vibe start🤯,@h4xthakor73,2025-04-07T06:15:10Z,3
"This that, “time travel movie intro” type beat",@sho_dito7088,2025-05-23T03:57:32Z,3
"idk why, this beat give me TRON vibes",@Sacrificoalrey,2025-06-20T03:22:34Z,3
"I love carti so much. Bro is just good with it. He is my favorite, his music just makes you vibe.",@ohmielevisope4237,2025-04-14T16:17:11Z,3
Who's this vocals originally from?,@sapiophilo,2025-03-16T13:05:02Z,3
"This beat is so perfect, P just made beat like its NANO tech. VA POWER",@__TheJoker__,2025-07-29T22:17:20Z,3
This beat is timeless.,@kdizz928,2025-05-10T10:13:52Z,2
The beat theweeknd ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,@divyaalphonse179,2025-07-05T20:01:51Z,2
Carti verse A.i?,@jamiestarr9421,2025-03-17T18:35:47Z,2
Best beats ever,@NZYE-h7e,2025-06-13T18:26:50Z,2
I've understand the lyrics by carti finallyyyy😅,@pesgamer6180,2025-04-24T13:03:44Z,2
SUPER-BEAT-,@robertparker2907,2025-07-16T22:25:33Z,2
"The Weeknd's ability to create an emotional connection through his lyrics and production is unmatched. His songs are deeply personal yet universally relatable, which makes his music resonate with such a wide audience",@PopMusic8386,2025-06-06T08:06:39Z,2
Cringiest video and lyrics I've ever seen. But the beat goes hard I guess❤😭,@jenniferchristianso,2025-03-24T22:35:42Z,2
The beat is so dupe!,@BPPanamaTIAplicacionesYProyect,2025-08-03T19:38:44Z,2
Hard take but cartis verse better,@gojira195,2025-04-30T03:02:16Z,2
Beat got an O G feeling real good rite now! ✊🏾,@charlesfairley2669,2025-03-13T03:47:31Z,2
Wrestlemania 41 vibes 🎉🎉🎉🎉🎉 lets run it back sin city,@LincolnZamora-e3y,2025-07-30T11:02:28Z,2
Skateboard beat all three,@TheWolfus1421,2025-06-29T09:26:23Z,2
Amazing vibe,@christopherkaya6859,2025-07-31T12:17:00Z,2
"Pharrell's production on this is otherworldly, and Carti's vocal acrobatics add such a unique layer to The Weeknd's signature sound. Another Wrestlemania banger in the making, for sure!",@eldrick-s7g,2025-04-05T02:57:36Z,2
The song with the best beat in the world,@jajxks,2025-04-29T19:04:03Z,2
The weeknd e Carti brincaram nesse beat 💖💖🎵,@dadyfranco8863,2025-05-05T07:07:09Z,2
The beat is crazy good damn!!!❤❤❤❤,@GordStarlight,2025-07-03T12:44:17Z,2
beat is 🔥,@JonLovett-u4w,2025-05-27T12:35:20Z,2
This would be 100% better without carti. Worst artist out right now.,@CogNoric1,2025-03-30T18:14:54Z,2
Max volume on beatbox is sick,@SubToYuxaVr,2025-08-07T12:42:02Z,2
The beat is crazy 🤪,@SipheleleMbewana-um5tg,2025-03-20T21:47:57Z,2
"""timeless"" gives ""yosemite ~travis scott"" vibe..",@thehomelandd,2025-04-01T17:44:07Z,1
Gunna coulda easily put this beat in paramedic,@DavidDraxler-g8b,2025-04-17T04:09:23Z,1
Another weekend vibes …,@aayan5309,2025-04-20T06:44:12Z,1
the beat hits different💯,@madolamgoa8125,2025-04-01T10:20:09Z,1
man the beat is fire 🔥🔥🔥,@ameerjafar9883,2025-05-05T11:00:07Z,1
This f beat and abell 🔥🔥🔥🔥🔥,@mku3559,2025-04-19T12:26:15Z,1
No guy not even Drake beats the weekend when it comes to pure vocal melody. Proud Canadian here having both Drake and The Weekend being Canadian Rappers  and bossing the chart,@couragenappier8130,2025-07-16T05:55:35Z,1
Dabeat too damn hard!,@Worthmore-c3j,2025-03-22T09:00:47Z,1
This beat is so fucking awesome,@souravsinghbaghel5093,2025-04-04T14:45:31Z,1
The vibe is absolutely W (wonderful),@AkarshitThakur-bv8ft,2025-07-02T15:07:48Z,1
"please, the lyrics?",@Dudiz,2025-04-13T23:30:49Z,1
ngl the beat is crazy af 😭...,@vaibhav3657,2025-05-28T16:33:42Z,1
Smoked and then blared this…. Total fucking VIBE 🩵👌🏽🍀,@BCRUNK,2025-07-26T06:10:35Z,1
"Weeknd's zesty ahh voice ruined the vibe, carti shouldve kept weeknd on the chorus only",@seven44seven,2025-06-02T17:39:06Z,1
The only beat that matters,@MbayoStephen-ik2jh,2025-07-09T08:04:57Z,1
The beat is giving,@lifeinthefastlane5451,2025-05-06T11:45:25Z,1
The video is so bad that I had to watch it at 1.5x speed. I thought the Weeknd had long since moved away from the level of women shaking asses. The worst video of the Weeknd since the album After Hours.,@Thompson001,2025-03-21T18:39:07Z,1
Beat most definitely carrying,@T2ootrue,2025-05-27T11:23:25Z,1
Beat infested my mind🤯,@livefrom0579,2025-06-05T17:10:01Z,1
"""The fact that Pharrel had the trombone or euphonium(?) brought in and maybe told them, ""You can't Blow the instrument entirely on 'THIS BEAT' . . . . ""  is ''ABSOLLUTE  GENIUS.""  WHO but Pharrel would ever thought of that??"" 😎🎺",@alexanderflores503,2025-03-27T01:33:33Z,1
These lyrics are so awful. 😔,@BlackGirlInADoggoneWorld,2025-07-02T20:21:51Z,1
Mm bro the beat is legit,@ThokozileBanda-e7v,2025-03-21T17:41:25Z,1
This sounds like someone using the synthesizer for the first time ever.,@Morgan-mf5bf,2025-03-17T14:00:59Z,1
Icl Travis Scott needs to drop a verse on this song,@clipzdailyplus,2025-05-10T18:38:52Z,1
Gives me vibes of Low Life from The Weeknd and Future from back then!,@Yazidn,2025-03-19T22:13:11Z,1
this pharrell dude really create one of best beat?,@ldthnote9992,2025-04-01T23:43:30Z,1
"Man fuck the vocals and the beat, what about them extras🤣",@aanteater861,2025-05-08T18:52:40Z,1
The beat is clean af😩,@Virgil997,2025-05-13T04:17:11Z,1
Song already feels nostalgic and dare i say timeless,@EntrEsprit,2025-04-04T01:15:20Z,1
Terminators x the vamps vibes love it ❤,@Shea-hk9cg,2025-06-13T15:27:06Z,1
"Man, i really want to write lyrics like him",@Av-fn5wx,2025-04-11T18:15:22Z,1
I need The Weeknd and Kendrick collab like Luther 70s vibe 😢. Gods of music pls,@amberlahsmademeskinny2729,2025-05-31T12:04:33Z,1
WORST VIDEO EVVER,@FloraFlo-rg4cn,2025-04-03T10:33:00Z,1
Good lyrics and Good MV,@zayarmyimt6940,2025-08-04T13:44:31Z,1
"I saw The Weeknd & Playboi Carti last night in Seattle, the vibes were out of this world! XO all the way 🤞🏼",@kingb5656,2025-07-14T04:10:04Z,1
I can’t get into this type of rap he ain’t said 💩but his beats be on point,@DrakePhillips-tv6tx,2025-06-24T21:58:39Z,1
Turn thhis comment into lyrics👇,@MrRojalOfficial,2025-06-23T06:01:12Z,1
Y’all be glazing too much. It’s not even Carti on the track 🤣 he never even wrote the song. It’s a demo verse by another artists used AI filter to make it sounds like Carti. Y’all be calling yourself Carti fans and can’t even tell different between G strings from boxers 😂,@thaskrillazpodcastradio8180,2025-03-14T04:48:43Z,1
Godly vibe,@vikrambrijwal5610,2025-04-03T02:58:50Z,1
As Usual Pharrell and Chad coming with a Diabolical Beat,@mr.classic6823,2025-07-24T13:17:20Z,1
Carti's verse saves the Weeknd...?? Since when??!!! Abel never needed a soul. He carries his own weight 😂,@Saito232005,2025-04-27T16:20:43Z,1
singlehandedly the worst rap ive heard in a long long time.,@sillohthadon,2025-07-31T19:37:37Z,1
"the video and vibe is dark and demonic,  visuals demonic... but i cant help but like the song... not good.........",@jasminepetal3972,2025-06-10T12:35:51Z,1
At 3:52 he take beat to other level,@ankitaayan7656,2025-06-24T17:48:31Z,1
Quien habrá creado este beat,@EIcebergg,2025-08-01T17:05:59Z,1
Love cartis verse,@HisoKah-zi3fc,2025-08-07T02:07:07Z,1
"ABSOLUTELY BRILLIANT--BOTH LYRICS, MUSIC AND HIS VOICE...ITS A TREAT 💙",@DrIndranilC,2025-03-31T10:00:02Z,1
The beat 🤩,@YevannaHinson,2025-08-01T20:15:03Z,1
"Pharrell: ""yeah I made this beat in 2003"" 😂",@johniesmarcello,2025-06-13T13:45:18Z,1
Yeah shes the one that beat up Adam Sandler and got a few other officers beat up report and secure yall! I asked everyday why my husband came home and why everyone including me became pedophiles elders became rude and look at us now. Honey did our will come full speed? God bless everyone thats a blessing and always continue to respect your elders!,@AyarisMcCoy,2025-03-21T08:49:36Z,1
This is probably top 5 for me all time now . The weekends verse is insane,@Wowzersg,2025-04-25T07:08:22Z,1
Neptunes on the beat is timeless VA❤❤,@gambinored81,2025-05-03T16:46:59Z,1
music vid so awful it ruined the beat,@Softheartedrose,2025-07-25T12:06:22Z,1
TBH doechii's verse ruined this masterpiece 😒,@TheFiction-yf1dm,2025-05-24T13:14:42Z,1
The beat matches perfect with the song,@Ellie-The-Tiel,2025-04-05T00:32:40Z,1
This beat is fire 🔥🔥🔥,@nocitizen,2025-06-18T02:57:54Z,1
