comment,user_name,date,likes
Understanding 0% Vibe 100%,@princemaurya4001,2024-07-18T10:58:49Z,2948
"Carti the typa artists to literally say any lyrics and still goes hard no matter the meaning behind it, carti is just a different vibe on some different shit!",@Spider-Monkey,2023-07-31T02:58:17Z,2888
The vibe this song carries is insane,@Checkmate-www,2024-09-18T13:06:11Z,2868
Lyrics garbage but the beat hard af.,@kingkeio1027,2024-02-22T12:55:43Z,461
All these Travis Scott beats always sound like they summoning something 😅,@vincentshadetree,2023-08-19T16:13:45Z,295
Full volume on head phones is a damn vibe 😭,@GALAXYTIC17,2024-03-13T15:59:02Z,145
"This song is pure energy – Carti's chaotic verses perfectly complement Travis' hypnotic delivery, creating an absolute masterpiece of vibe. Future generations will definitely look back at this as a defining moment.",@nigellaeller,2025-04-17T18:19:01Z,141
No one understands the words but the vibe is awesome! 😂😂😂,@Themkindafunny,2024-08-19T22:32:24Z,122
Vibe music always delivers❤❤❤most ppl mess up the lyrics❤,@11kvibez,2023-10-12T18:49:24Z,83
This song gives the best vibes 🤫🧏,@NUARTme,2024-12-27T23:21:02Z,74
FE!N FE!N FE!N FE!N YEAH FE!N FE!N FE!N FE!N YEAH the lyrics never get old,@JustOliverYT,2024-10-19T11:04:42Z,27
This song is a complete vibe💆,@Idunnooooooooooooo,2024-06-14T17:38:11Z,25
What a vibe!! Best song ever,@prudentfincare,2024-11-09T09:51:39Z,19
Nothing like the vibes of hearing Fein on the dance floor,@gavincraig4833,2025-02-24T04:57:09Z,13
Nahh The beat got us walking on fireeeee 🗣️💅🏻💯💯🔥🔥🔥❤❤,@ayazblox,2025-05-09T04:58:55Z,12
I don’t understand anything they said but I understand the vibe😂😂,@JulieBearz432,2024-08-26T21:23:22Z,11
Future would have been better with the lyrics of Carti,@jonassage7865,2023-10-13T10:27:30Z,6
NOTHING BEATS THIS🎉 0:51,@traceygoslin,2024-11-01T17:43:30Z,6
Who’s here after Barcelona beat Real Madrid 👊🏾,@brook_tadesse,2025-05-13T17:24:23Z,4
Anyone from another universe watching from 3024 ?,@NepseKundali,2024-08-15T12:07:30Z,3
Finish the lyrics: Just Come outside,@Brainrot_2.2,2025-06-03T20:35:36Z,3
0:00 - best beat drop i've heard in my earphones-,@PUPPETDW,2025-04-03T03:18:30Z,2
the vibe this song produce🔥🔥🔥🔥,@NXT-E2itz,2024-11-02T10:35:50Z,2
This is what’s wrong with the music industry now. What sh*t. Annoying as f*ck,@Mamashmeeky,2025-04-25T16:24:49Z,2
Vibe in last day of 2024 😂,@AXTMAN.AXTMAN,2024-12-31T12:45:05Z,2
Worst song of all time!,@depp0000000000,2025-07-24T15:46:37Z,2
This will be associated with the worst wrestlemaina ever.,@cheesyvideos5676,2025-05-25T00:40:35Z,2
This song is such a vibe,@aneec10,2024-11-29T04:42:41Z,2
Just come outside for the night take your time get your light  jhonny dang yeah l been out geekin  FE!N FE!N FE!N FE!N FE!N FE!NFE!N FE!N FE!N FE!N FE!N FE!N N FE!NFE!N FE!N FE!N FE!N FE!N FE!N  ; the  careers more at stake when you in your prime fucsk that paper baby my face on the dotted line I been flyin out of town for some peace of mind its like always they just want a piece of mine focused on the future never on right now what  im sippin not kombucha either pink or brown Im the one that  introduced you to the you right now OH MT GOD THAT BITCH BITIN WELL ALRIGHT TRYNA VIBE  IN THE NIGHT COME ALIVE AINT ASLEEP AINT A AINTAINTN FE!NFE!N FE!N FE!N FE!N FE!N FE!N N FE!NFE!N FE!N FE!N FE!N FE!N FE!N,@edits_farias,2024-12-02T09:01:34Z,2
ITS ALWAYS THEY JUST WANT A PIECE OF MINE I BEEN FOCUSED ON YHE FUTURE NEVER ON RIGHT NOW IM THE ONE THAT INTRODUCED YOU TO THE YOU RIGHT NOW OH MY GOD THAT BITCH BITIN WELL ALRIGHT TRYNA VIBE IN THE NIGHT COME ALIVE AINT ASLEEP AINT A AINT A AIN AIN FIEN! FEIN! FEIN!,@dannoki1683,2024-06-11T02:54:21Z,2
FEIN HAS TO BE THE BEST VERSE OF THE SONG,@Laxplanespotter13,2024-10-19T01:40:35Z,2
The vibe is great and insane,@AkshayKumar-mh7zn,2025-01-19T13:49:57Z,2
This a vibe😇😇😍😍,@Tobywater-m5k,2025-06-03T04:19:15Z,2
damn whata vibe❤,@MRBLAZE123,2024-08-27T08:19:23Z,2
Worst wrestlemania theme song ever,@venguetta,2025-04-25T16:26:19Z,2
The vibe is fucking amazing,@jakebridgeman9543,2025-01-27T20:47:49Z,2
Ngl this song fits Wwe new vibe .. Travis is what wwe needs .. but Travis be careful the crossroads awaits ……,@Tyree01,2025-04-23T13:11:40Z,2
this songs a vibe,@taysocooltay,2024-05-23T19:01:54Z,2
Playing this wit my Beats Solo on full volume and this shit goes hard,@yonicabutler6216,2024-02-27T23:51:45Z,2
The vibe is very dangerous 😮😮😮😮😮😮,@vikramsingh-hu7jq,2024-11-03T00:54:23Z,2
1:15 the beat drop,@levipowers705,2025-05-25T05:17:29Z,1
Anyone from parallel universe ❣️,@sajeevoleman8246,2024-07-13T05:28:09Z,1
IM ABSOLUTELY APPALLED BY THE LYRICS. My son has been listening to this song and its completely inappropriate. Please take it down. Thank you and goodnight,@tjsrelaxingmusic8276,2025-04-22T11:50:45Z,1
Unknown universe.,@Cattlecountry1102,2024-06-08T07:57:24Z,1
Worst song of all time,@user-gv7tg3fq9f,2024-10-31T12:04:41Z,1
DUDE WRONG LYRICS LOL 😭 but the vibez hitting harddddd,@grumpodiaries5894,2025-07-09T12:10:09Z,1
This is lowky a beat…it’s kind of fire 🔥,@Zingamer20,2024-11-09T17:12:47Z,1
Vibes 👇 100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000%,@Makeuplovers776,2024-10-17T08:23:50Z,1
Wrestlemainia 41 vibes here,@MakaylaGipson,2025-04-30T17:20:24Z,1
Beat need Tyga ❤,@MyronFireboy,2023-12-11T11:02:40Z,1
"Jesus, This song is awful",@deathrampage7531,2024-10-09T20:05:27Z,1
Came here to see what all the hype was about. Wish I could go back and unhear this awful bs.,@annalouise1260,2024-10-11T08:40:12Z,1
idk but i heard this song before but not from fein song can somebody tell the name melody from 1:02,@mateninua2730,2024-10-01T14:01:01Z,1
Night vibes,@shambirbal7379,2024-12-04T10:41:24Z,1
I am watching this video from Andromeda Galaxy coz there is our anime universe😂,@prathamesh._.jadhav7806,2024-04-22T17:48:42Z,1
Love the vibe ❤😊,@ArhamHareem-q3m,2025-04-19T13:21:25Z,1
"This ""song"" is just plain AWFUL!! No wonder people are not listening to modern ""music"" much anymore!  No talent, no creativity, can't rap well,, sounds like whiny mumbling, and definitely couldn't sing if they wanted to!! Just horrible!!",@anisarodriguez3019,2024-10-11T08:49:54Z,1
Thanksgiving Eve Vibes lol,@AyeeeDreanneee,2024-11-28T00:18:39Z,1
The vibe with the boys while this song is playing is unmatched,@BrantSilbert,2025-03-25T23:06:56Z,1
lyrics are shit,@anuraganuragnew,2024-10-16T14:21:53Z,1
Carti verse >> utopia album,@kangwakatongo8010,2023-08-08T19:45:28Z,1
#wrestlmania vibeeeee,@skjony279,2025-04-24T13:40:28Z,1
✏️Describe the vibe,@RM11-obiwan,2024-12-01T20:13:38Z,1
Finish the lyrics just come outside for the the night…,@BarneyJackson-z2i,2024-12-26T05:03:06Z,1
I'm so mad that John Cena beat Cody Rhodes,@kaleishawellington980,2025-04-23T12:20:09Z,1
About as awful as I imagined,@samuelstone9055,2024-10-28T21:17:41Z,1
The lyrics vid came before the original video 💀💀💀💀💀👿,@YahyaHussain-y7u,2025-02-17T14:53:03Z,1
Im trying to vibe not levitate🔥,@Adin75,2025-03-15T22:22:37Z,1
Understanding 0% Vibe 100%,@YeBhoneKyaw-ci8rw,2024-10-09T13:01:59Z,1
Barack Obama's part went hard like the beat and verse... OHHH GAWD,@markdelano8434,2024-02-06T09:44:48Z,1
Wukong vibe,@mohamadrafiqbinbaharin6083,2024-09-07T05:35:15Z,1
Okay so it goes Travis first Verse then playboi and sheck Wes share the second ?? I thought playboi was on just the hook the whole time,@TyronesGamePlace,2023-09-11T06:30:05Z,1
"1:16 Last time I checked, the lyrics were FEIN!!! not Fiend ☠️",@leodoesthingsaaahhhh-e37,2025-05-29T23:12:56Z,1
What a vibe bro😮,@Rabimandal160,2025-03-09T16:29:34Z,1
YouTube can't afford this songs lyrics....you must try to subtitles on and see.,@karan2914,2024-06-12T18:04:39Z,1
 the beats,@Mary-l3b1i,2024-12-10T09:59:23Z,1
"I stopped listening to rap for a bit and I honest to god thought that this song was just the chorus over and over, I never took the time to listen to it because I seen it in so many tik toks and shit 😂",@JegneticGaming,2025-05-12T03:00:07Z,1
the lyrics messed up nigga,@ANETRONX,2024-11-23T09:35:41Z,1
This song gives me 2019 vibes,@amarjotsinghdhaliwal4068,2025-05-12T02:41:36Z,1
The vibe this song carries is insane,@김정은Official,2024-10-12T13:09:30Z,1
Im listing from Belgium #vibemusic,@ingedecorte4415,2025-01-16T18:52:54Z,0
Nah this song is a banger my friends vibing to the vibe,@SemrajSingh-v1h,2025-03-30T12:42:42Z,0
1:13 VIBE 🦁,@lencik58a,2024-11-12T13:39:54Z,0
lol bro fiend?? these lyrics make me laugh,@themonkeypodcastofficial,2024-11-29T03:56:47Z,0
Dont typically listen to nigga music but this's a vibe,@mohammadzaigam.,2024-06-20T12:45:55Z,0
EMOTIONAL DAMAGE,@bestrivalsplayer621,2025-06-20T19:48:31Z,0
This is a weird ahh story I’m bouta tell… so one random Friday at my school we had this thing called “dress in neon day” and some ppl dressed in neon in our class mostly none but after school we went in the gymnasium and got glow sticks? I was so confused then I saw the light were off and EVERYONE had glow sticks and neon clothing and we had a WHOLE RAVE music blasting in my ears(mostly Christian bcuz I’m in a Christian school) but by suprise.. they actually started playing this..LIKE WHAT. FEIN IN A CHRISTIAN SCHOOL?!?!?! idk what was going on but I was hyped asf all the boys in the class were just yelling the girls didn’t know what was going on but me and my friend just vibed that was probably the best Friday of my life.,@stxriscool,2024-09-21T18:46:54Z,0
