comment,user_name,date,likes
If the entire album has this vibe we might have a classic on our hands,@Dappis,2024-03-04T16:21:18Z,2118
"WHY I DONT SEE ENOUGH CREDIT about how SMOOTH is the tempo change at 1:35. Cause Its not just two random tempos. Josh plays the fill with triplet notes and then makes them the ACTUAL Downbeat and in fact turns them into 16th notes and stays there. Such a cool idea, blew my mind while the first listening (still blowing)",@maximgvozdetskiy5884,2024-03-01T21:21:52Z,1122
1st time i heard i wasn't prepared for 'welcome back to trench' but the bandito lyrics one second later 'i created this world' got me literally crying for HOURS,@havendeveraux1440,2024-05-26T19:03:48Z,831
BRO this feels like a Trench MIXED with Blurryface kinda vibe. THIS IS INSANE,@evansonhakeem,2024-03-01T15:12:26Z,769
"the introduction to this song could literally just be the first track. the ""welcome back to trench"" through the beat switch gives me chills. adore the bandito integration. excellent track.",@sheekshow,2024-03-01T23:29:11Z,304
Josh's drumming on here and the production are both clllllllleeeeeeeeeeaaaaaaaannnnnnnnnn. Tyler's flow is better than anything we've gotten from them in 5-6 years. The tone is back to having some darkness. Welcome back to Trench. A reintroduction in the grandest way.,@brandonrust4114,2024-03-06T23:16:48Z,235
"Literally can’t stop listening to this. The intro is like being in a movie, the call back to previous albums with the Bandito lyrics and “welcome back to trench” is a reference to the last 15 seconds of Levitate. Then the switch on tempo is so badass. I’m INVESTED in this album.",@cjhummer,2024-03-01T17:06:58Z,233
Absolutely insane. Tyler and Josh are complete artists for tying all their albums (almost) into this universe. Could make a movie out of this one..I hope history doesn’t overlook TØP,@jhall_79,2024-03-04T01:44:42Z,169
1:35 that tempo change is the best,@EstebanUrizarTICS,2024-10-06T03:48:45Z,106
the bit of bandito and then josh's awesome tempo transition keeps giving me goosebumps,@yasminh,2024-03-02T08:28:55Z,105
"I feel such "" prodigy"" vibes in the first part of this  song and I love it",@scottherrington2885,2024-04-08T23:47:16Z,69
Lol fueled by ramen acts like our president himself listens to it. I'm just a teenager trying to stay alive. I understand the lyrics of Next semester. This week was very hard mentally and physically. There was a big shooting in Moscow. I'm so scared of it and i don't want anybody to die. Also there's so much homework at school and i have to choose my job for the rest of my life and write the exams. I'm very nervous and the only thing that helps me is the music of these guys. Thanks fueled by ramen for hurting me :'),@lenivoesushestvo,2024-03-27T18:19:23Z,51
Tyler dancing off in the distance is such a good vibe.,@lisam.willson1679,2024-03-01T15:20:08Z,46
That whistling sound in the last verse is simply 🔥....3:30.,@darionovelli2256,2024-03-28T02:05:07Z,26
Petition for them to make anew extended edition of the opening section before it cuts to the verse,@DefinitelyAPerson1,2024-03-04T21:39:23Z,26
0:46 the neon gravestones gave me the chills,@NoelleWalker-yg1st,2024-03-09T16:33:13Z,26
"Taking the sound of sai for the show time part and mixing it with a dark feeling(trench and blurryface) is fantastic. This shows how they feel and how bishops want you to feel. These feelings in one single person, clancy",@andy_3825,2024-03-04T23:28:43Z,18
The changes in the tempo are amazing,@nikolexion,2024-03-01T15:08:28Z,18
Anyone deep in the lore? I’d love to know all the little details in this music video. Tyler is such a genius and has always stunned me with cinematography. Overcompensate is a masterclass in music film!,@veryuselesschannel,2024-03-04T15:40:36Z,17
The masters of creative lyrics and the perfected tempo change. Excellent. Josh Dunn is the greatest drummer currently performing. Such an honor to enjoy their music.,@tdevoe1333,2024-03-01T21:13:18Z,13
the balance between the vocals and the drums . chills .,@saltcheese900,2024-03-05T18:54:58Z,10
That Beatswitch 🤯,@daystrict,2024-03-01T20:27:44Z,9
"Taking the sound of sai for the show time part and mixing it with a dark feeling(trench and blurryface) is fantastic. This shows how they feel and how bishops want you to feel. These feelings in one single person, clancy",@collabchannel120,2024-03-08T00:59:47Z,9
"I'm new to TOP after their Game Awards performance but god damn if this isn't a tune I don't know what is. Such a vibe, love it!",@dannyb016,2024-12-24T22:57:23Z,9
"I'm 47 and I relate more to this guys lyrics than alot of my generations stuff this guy is truly lifted lyrically, you can tell he puts his heart and mind into being a benefit to people man it's a breath of fresh air in a world consumed by selfishness",@one4thought776,2024-09-18T22:07:03Z,8
"I memorised the entire dance and performed at my school fair, won first prize. People love this shit. (My best friend played the drums I did vocals)",@Jack-c4s5s,2025-05-25T01:52:46Z,7
"Esta canción me trajo una cadena de sentimientos entrelazados tan bien, que me siento fuerte al escucharla, tiene todo lo que me gusta de top, su lore, rap, un beat de batería potente y mi estrofa favorita en toda su discografía, genuinamente se siente genial ser parte de esto desde el inicio, y seguir para el final... Igual que Clancy, ya no tengo tanto miedo como antes.",@ai_maaaaaaaar,2024-03-06T02:43:49Z,7
Intro ❤ Drum Groove ❤❤ Composition ❤❤❤ Twenty One Pilots ❤❤❤❤.,@59secvibes,2024-03-02T10:50:38Z,7
I think Josh is just an omnipresent drum deity that shows up whenever someone drops sick beats.,@astroidadams5456,2024-04-04T12:14:25Z,7
intro reminds me of Moby/Fatboy slim. that exciting synthesizer/sampler work is just so rich. awesome storytelling too,@stevenshaneyfelt,2024-03-04T00:37:37Z,6
The opening minute or so is giving me a mad prodigy vibe and I fucking adore it!,@colerobinson2628,2024-03-06T11:20:06Z,6
4:17 worst part of the song,@StxrskyMCFC,2024-03-02T18:59:10Z,6
"Ooh the vibes, man! I'm a 40 year old dad and this hits hard. They disappear for 3 years and return with such a powerful vibe. Can't wait for the whole album!",@IzhanZubir,2024-04-01T06:35:17Z,5
Nobody says how professionally Tyler conveys emotions at the end,@JodyPorter-p8q,2024-03-01T16:23:30Z,5
"The Radiohead piano intro, into a EDM style secondary intro, into a hip-hop Latin groove inspired verse, into an alt. rock style chorus… it’s all very jarring, but somehow it works. Hoping the rest of the album has some more cohesive tracks, but as a stand alone piece of modern art, this is a decent song.",@BahamutBreaker,2024-04-26T15:24:10Z,5
It kinda gives me heavydirtysoul vibes,@SerenadeScribe,2025-02-03T10:52:55Z,5
SOLID Music!!! reminds me of PRODIGY Vibes,@robertogalleon3436,2024-09-12T03:12:55Z,4
IM SO HOOKED ITS A VIBE!! 😫,@KOTD19,2024-03-11T05:13:49Z,4
"the prodigy vibes, love it",@NicolasCardenas-yd4yx,2024-03-20T14:28:47Z,4
"Hi Tyler, if it’s not too much trouble would you mind adding one more verse and a fade out of the chorus to end the song for the album version? Thank you in advance. 😂",@yogafrog2052,2024-03-09T17:21:21Z,4
"Thank you so much for always helping me through the darkest parts of my life! Seriously you guys lyrics have saved me. I just lost my mom, I think that everybody leaves. Ily guys thank you!!!",@megganevans3472,2025-03-13T14:20:35Z,4
this drum beat is so insane.. love it!!!,@ihsandana8420,2024-03-05T10:40:32Z,4
BEAT SWITCH GOES CRAZY,@itszaza,2024-03-02T05:51:44Z,4
It is giving me Chemical Brothers vibes.,@Gdjica,2024-03-04T11:00:20Z,4
"Can't believe I'm still here since 2015. Bandito lyrics hit hard, these guys shaped who I am and created a world where we all feel connected. CLANCY IS BACK!! New era, here we go!!!",@KellyDHouck,2024-12-01T11:23:15Z,4
"Josh is an incredibly dynamic drummer.  I think he'll be listed right up there with the greats of rock and roll.  Tyler is highly underrated as a rapper, mostly because he can actually sing as well.  This song is highly polished production wise, but I'm going to have to find the lyrics, because it's a bit too fast for me to grab just playing it.  Probably not as commercially viable as their previous stuff, but the fan base will sell it.",@ffjsb,2024-03-02T16:51:33Z,3
Prodigy vibess,@anastasiatrifonenko1761,2024-09-15T18:25:40Z,3
Paul Meany of MuteMath helped produce this album and it is definitely oozing with MuteMath vibes. I love it. 🤘,@deltarazorback870,2024-03-05T02:43:02Z,3
Awesome lyrics & sound.  Not just a song but an experience,@Gypsy-o1k,2024-12-09T04:16:29Z,3
Yeah some electronic vibes  !!,@devilblueduke,2024-03-22T20:59:02Z,3
"god damn ever since trench the writing in these new songs is just so lazy, repetitive, and uninspired, plus the music itself is just so overproduced and so generic it honestly makes me sad that they went from self titled to this. it doesn't even sound like twenty one pilots anymore its just sounds like it was made to get radio play and make money rather than his heart really being in it :(",@sour3270,2024-03-06T06:08:59Z,3
This song gives me vibes from another planet..,@lorenafleitas7777,2024-10-10T03:03:19Z,3
"this song has such a vibe, it'll be a classic for generations",@Upax_Arts,2025-07-06T03:47:27Z,3
That first minute and half-ish gave me some Crystal Method vibes. Can't complain that's for sure 👌,@CITYSTARS217,2024-03-08T06:45:48Z,3
The drum beat is so good in this song,@lorathiaman5931,2024-03-10T20:06:54Z,3
"Привіт з України! ♥ Fire guys, I love this music ♥♥ we all needed that vibe",@junk6hero450,2024-03-01T19:16:01Z,2
Im getting Prodigy vibes at the beginning.,@tylercurrie3800,2024-04-05T04:06:47Z,2
This gives Matrix vibe :O,@mazik6,2024-03-05T13:35:29Z,2
Anyone else get big-time “HOPE by NF” vibes from the intro going over a blue sea?,@tjking7457,2024-04-06T01:55:17Z,2
"the kings are back and WOW 0:48 was so powerful, u guys are crazy",@Sfb396,2024-03-10T01:42:03Z,2
Only TØP can play 2 seconds of synth and make me want to dance like the bishops in Nico And The Niners,@NåtusIgnisAKAPigeonOfficial,2024-09-22T15:58:27Z,2
Needs one more verse and it would be great,@reiddebruin4610,2024-03-09T03:21:31Z,2
"Scaled and Icy was for the lore, and it was a fun album, but I'm glad that they're going back to a more trench vibe.",@All-ze9cl,2024-03-16T01:23:10Z,2
Diggin the Crystal Method beats!!!,@TheDadmau5,2024-03-04T20:23:35Z,2
I getting smack my bitch up vibes in the intro SHIT IS FIRE  🔥,@GemAnointed,2024-03-12T17:37:40Z,2
"Well, i'm happy that were back to this tone, thank you t🚫p",@elmoloco6131,2024-03-13T16:36:55Z,2
"Apple music lyrics say ""CAN fall asleep twice"" and Youtube lyrics ""CAN'T fall asleep twice."" That seems like a VERY big difference.",@AndrewRunnels-h2h,2024-03-01T17:17:01Z,2
The breakdown.. giving me a vibes of Prodigy... i love it!,@siradymccoy,2024-09-20T10:19:18Z,2
So excited! Definitely getting Trench and Blurryface vibes too! You guys got me through EVERYTHING and I'm super excited to add more to my playlist! Every album is my favorite album! ❤️,@t0d0d0rki,2024-03-01T16:28:10Z,2
90's vibe.,@Tito_Ron,2024-03-05T08:00:05Z,2
"In the words of 90's slang, this beat is kickin' it hands down!  Thee best beat, rhyme, melody I've heard in a long time.  Possibly thee best of all.",@CB-fn1xj,2024-03-02T19:44:34Z,2
Is anyone’s favorite part of the song the bandito lyrics,@Jo_dad,2024-03-07T16:54:45Z,2
Gives 90's vibes,@su-5076,2024-03-09T19:10:37Z,2
"I love the MUTEMATH vibes, keep rockin’ 21P",@willyvanilly,2024-03-09T20:26:05Z,2
I'm digging the beat. The intro beat before singing has some Prodigy and Chemical Brothers vibe.,@scottverhalen5216,2024-03-11T15:13:05Z,2
"This reminds me of the ""Tyler Ghost"" performing Hometown and then teleporting to the top of the venue during Emotional Roadshow. I am delighted to see the full album cycle unfold.",@jacobglancy7523,2024-03-01T19:14:00Z,2
This music giving me fighting in zombie horde vibes,@leiHouwei,2024-03-12T10:56:32Z,2
Gorillaz vibes. Love this.,@SDJ99able,2025-05-04T07:50:35Z,2
"these references OMG, we got Blurryface on the right of the album cover, Bandito's lyrics at the beginning, Trench and Blurryface vibes are back and maybe combinated, Tyler singing in spanish for the second time (first on Polarize), I mean we've got a beautiful universe in here.",@ShantSSS,2024-03-02T21:12:46Z,2
i think i listened this track for so many times i memorized the lyrics,@DavidRGD,2024-05-13T10:14:19Z,2
"I’ve been a TØP fan since I was 6, I’m going to be 15 in less than a week and I must say it’s very nostalgic to be back to the trench. Third grade me is screaming rn.",@Kategory5,2024-03-28T21:54:51Z,2
"“Illuminati Hand Symbol”? No.. not originally at least. that’s part of the point of the story of Trench. Remember the song “Levitate”? Tyler did his history! He was referring to the Knights Templar, formerly known as ‘Brothers of/from the East’.. “East is Up!” remember “Nico & The Niner’s? Anyway, the Brothers of the East could levitate.. they had many spiritual gifts that weren’t so common (not ‘Magic’ in the sense that they refer to today) no.. sorta like Jesus Christ. They in fact admired Jesus Christ.. they were acquainted perhaps. However, they had a great respect for John the Baptist because he is said to have been the one who helped & assisted Jesus Christ with understanding and further developing his spiritual gifts. Here with Twenty One Pilots, Tyler is going pretty deep! & yes it does insight a certain “elite” group of ppl as the said “illuminati”.. but not because they’re apart of it! No.. It’s because he over-stands how it all came to be about. Through some sort of ‘infiltration’. Didn’t mean to write a story here. But I’ve been piecing this all together myself. And if you listen to the music closely, Tyler has BEEN revealing the truth.. very thoroughly might I add. Take care!",@allegro_fyre_lounge,2024-03-06T04:06:47Z,2
"Overcompensate doesnt beat the contract imo 😅, The Contract is still 🔥 tho",@senseivfx4597,2025-06-13T05:05:39Z,2
Its so nostalgic with that Bandito Lyrics.,@ironcoleyt,2024-09-23T01:47:49Z,2
Sounds like a Prodigy beat 😮,@Triangulum303,2025-02-19T18:03:27Z,2
This doesn't sound like the same twenty one pilots I remember. It's not really catchy,@Def1nitelyn0tac0p,2024-03-04T19:14:32Z,2
"This and the last album sound way too overproduced. Bring back raw 21P. Where’s the emotion and grit of Migraine, Water, Kitchen Sink, Car Radio?",@skylermccrary,2024-03-02T15:33:31Z,2
"Red lights in Blurryface represent the bishops, but the red lights are during the song bandito. Tyler just came back from Dema, and is recovering from being brainwashed, but has been harolded a hero, and called Clancy. The brainwashing the bishops did is being taught subtly to the banditos. Far fetched theory I know. Tell me what you think. Also, he opens a door 1:34 . At the end of paladins straight, blurryface opens a door, and says so few so proud so emotional.",@johniversen7067,2024-05-26T01:52:33Z,2
The drumming gives me Prodigy vibes,@stuartcutting1949,2024-03-01T22:36:35Z,2
The way that beat breaks down! 😊😊😊,@g00gle.me.bichez,2024-03-14T00:46:19Z,2
Dude the tempo switch it's amazing!! Love it,@superekisde,2024-03-11T21:17:55Z,2
The beginning has strong Crystal Method vibes!,@xmasu,2024-03-19T11:05:48Z,2
"Omg. This video, this lyrics, this story - it is MASTERPIECE!! You guys rock!!",@veronikaj5613,2024-03-03T20:13:27Z,2
This is catchy af omg,@d2h655,2024-03-17T15:46:37Z,2
Tyler dancing off in the distance is such a good vibe.,@ShirleneHarnist,2024-03-02T00:25:16Z,2
Love the Chemical Brothers-inspired intro and the sick tempo switch 1:38...,@Flexorigin,2024-03-01T17:58:48Z,2
gay as fuck wtf beat went hard for a sec ngl,@anp0214,2024-04-04T07:50:02Z,1
That whole start gave me prodigy vibes and I'm here FOR IT,@crimsonbear1776,2024-03-18T02:42:43Z,1
After last album being kind of a letdown this already feels wayyy better. Gimme that wall of sound and lyrics I half understand!,@namayra299,2024-03-07T05:25:32Z,1
Such a beautiful and touching song. I have been so obsessed with the flow of his words and the layered emotions of how Tyler sings this. And oh how I love the live version of this!,@TheAnxiousGreyhound,2025-02-18T17:50:15Z,1
"Prodigy vibes fuck yeah ,when i heard it for the first time on the radio i thought Prodigy is up with something new ❤❤",@zzdravvkoo,2024-06-27T18:18:25Z,1
"Icy and Scaled was literally the Beatles Abbey Road album, prove me wrong. Trench feels like home. Love this.",@UR_gg,2024-03-20T04:04:13Z,1
The vibes are SO good,@stormdoggy3972,2024-03-02T05:52:45Z,1
I have to admit it is catchy,@BrianFleming-h7d,2024-03-08T02:52:13Z,1
That drum rhythm change gives me life 1:38,@YewnieRacerr,2024-05-15T03:35:35Z,1
"Tyler joseph has been the best songwriter in pop music for a long time now, but what stands out about this track for me is the production and mixing. People are ""fans"" for various reasons, but I hope casual listeners can appreciate that this mix is just so much more complex and interesting than just about anything else you'll hear in popular music right now. Cant wait for the album.",@richhamilton,2024-03-09T04:46:26Z,1
He uses the some of the same lyrics from Bandito,@slimcollision,2024-03-09T14:21:08Z,1
"I know that nobody will hear me. Bandito was like a key to my deep mind. I was always crying with this song. I was dreaming about to dive into trench world. And now, when I see this song with my favourite not just album, but song…. I got something that moves me forward, not just keeps at the same sad memory. Only if someone will hear me, but… Thank you, Tyler. I will buy your merch jacket right after sanctions end.",@reall_3615,2024-03-10T13:47:41Z,1
"Straight vibes, no cap! 🚀🔥",@CareyAmandaJ,2024-05-07T13:31:30Z,1
