comment,user_name,date,likes,compound,sentiment,sentimento_manual
am i the only one who feels like since her return she has been singing about her reality? Like its not just lyrics?,@RamazanSchmidt,2025-01-18T18:28:30Z,616,0.6553,Positive,Neutral
Best shot is her sitting on the couch with her dog while everything changes around her. Reminds you just how deeply one person can change your life.,@mykalesalad,2024-12-06T19:15:54Z,576,0.6369,Positive,Positive
"This is such a beautiful song. This used to be my wife’s favorite song. We played this at her funeral as her last request before she passed away.  Every time I listen to this, it gets too emotional.",@Schizima,2024-11-29T15:26:02Z,569,0.8126,Positive,Neutral
"this song perfectly captures what it’s like to miss someone you know is bad for you. the longing and the need for their presence is still there, but deep inside you know that they will never change their ways and will never treat you right. thank you ariana, for reminding me how i deserve to be treated & for creating this beautiful piece of music. ❤️",@elijahhewitt853,2024-12-10T15:58:49Z,480,0.9072,Positive,Positive
"Eternal Sunshine of the Sportless Mind is one of my fave movies and this had me emotional. Reliving the emotions of Joel and Clementine through this movie had me bawling. Gosh, thank you, Ariana!",@theshogunate693,2025-06-23T02:28:05Z,374,0.8588,Positive,Positive
"The meaning behind this video is deep.. clearly an ode to Eternal Sunshine of the Spotless Mind, which was one of Mac’s all time favorite movies… Ariana clutching the necklace he got her as she wakes up panicking from the procedure removing her memories with him 😢 brutal",@drewbauer28,2024-12-18T17:14:33Z,321,-0.296,Negative,Neutral
The beat at the beginning is her heartbeat 🥺 she literally put her whole heart into this song and project 😭❤,@Jmore555,2025-03-27T15:47:03Z,93,0.743,Positive,Positive
"We Can’t Be Friends’ hits deep with emotion. The raw energy in this track is unreal. As a country and southern rock artist, I feel that same heart in my music. 💔🎶",@Joshuatracks,2024-12-03T18:49:51Z,80,0.8126,Positive,Positive
Gotta be careful because that scene at 3:27 will have me crying fr. Her acting is so great and I could feel her emotions and anxiety when she was looking around gripping the necklace. 😭,@crystalseedgeode999,2025-01-05T18:15:56Z,62,-0.0152,Neutral,Positive
2:58 is just so deep ' so for now its only me and maybe thats all i need. ',@obader5175,2024-12-26T18:46:24Z,46,0.0,Neutral,Positive
This is such a beautiful depiction of the grief of losing someone you loved so deeply and needing to heal from that loss. Thank you mama. 🦋,@NattieD420,2025-01-18T05:00:12Z,42,0.4939,Positive,Positive
I swear I watched it over 50 times now and there wasn't a time when I didn't cry at the scene she wakes up. Ari is amazingly talented and choosing Peter to play the guy was also excellent idea. They look so good together and they conveyed the emotions like Oskar winners. I love this song and video to bits.,@hdshjs,2025-01-20T08:50:02Z,32,0.9766,Positive,Positive
"“So for now it’s only me, and maybes that’s all I need” that touched me deeply 🥹",@Thegemvalley,2025-01-09T23:19:53Z,26,0.0,Neutral,Positive
"The fact that she was walking with someone else and saw the guy walk with someone else also shows so much. You think y'all are made for one another, but deep down, they're just a lesson.",@SoFarAlongYT,2025-03-29T18:45:42Z,24,0.0,Neutral,Neutral
"this captures the essence of missing someone to the deepest extent. it is how i have been feeling for almost half a year now. this video spoke so much to me that i had to cry lol. thank you ariana, again, for this beautiful masterpeice. i love you.",@isabelleshelton702,2025-02-24T07:34:11Z,21,0.884,Positive,Positive
3:27 that was great acting omg!!!! she really captured the emotions! I feel like she would make a great actress!,@kdragon710,2024-12-22T06:02:51Z,19,0.9164,Positive,Positive
"""This song reminds me that some people come into our lives to leave a deep mark, but they can't always stay. The pain of not being able to be friends with someone we still love is indescribable... Ariana managed to transform this feeling into art.""",@DiogoMartins-공식,2025-08-18T19:31:19Z,14,0.8094,Positive,Positive
"The concept of this video hits me so hard. I was sooo in love with my son’s father but he was so clearly wrong for me, the relationship was extremely toxic and abusive in every way, but he was always so good at the claw machines 😭 it hits so deep 😭😭he always won us gifts, and he’d win them for any girl he was seeing behind my back 😔",@roselittleaxe4652,2025-02-23T08:51:45Z,11,-0.2247,Negative,Positive
*we can’t be friends era is an unforgettable era 👑*,@anthonydiaz6091,2025-01-25T02:07:11Z,10,0.4767,Positive,Positive
"Regardless of genre, opera, operetta, Jazz, she has one of the greatest vocal instruments of all time.  Ella Fitzgerald, Diane Shore, name the greatest opera singers, Ariana Grande is on the list of all time greats.",@JohnOhkumaThiel,2024-10-24T06:50:58Z,9,0.8555,Positive,Positive
"In another universe, he cleaned up and got better, they stayed together and they were happy.",@kylibaker6766,2025-04-18T15:55:58Z,8,0.765,Positive,Neutral
"How is this song not nominated for a Grammy?? But Fortnight by TS is?? This song vocally, lyrically, musically is so moving and deep and heartfelt. Not a pop song made just for the sake of being made.",@cchamming3686,2024-11-10T13:19:35Z,7,0.7724,Positive,Positive
