comment,user_name,date,likes,compound,sentiment,sentimento_manual
She's got a song for almost every situation I swear! I enjoy artists who're able to be diverse and multi-facet when it comes to them being able to express themselves in their art in different ways.,@oceanspotions4401,2024-03-22T17:09:43Z,1098,0.5093,Positive,Positive
"The drums, the beat drop and the hype just makes you want to run through a wall, I never thought me, a grown straight man would have something in common with my niece",@tuiman5212,2024-05-17T19:09:21Z,898,0.0258,Neutral,Positive
This is giving me 2000s punk rock vibes. I love it,@MetalheadChristian,2024-06-08T19:42:25Z,793,0.765,Positive,Positive
this mv gives off 2000s-2010s vibes in the BEST way!!,@_muuni,2024-03-22T14:44:25Z,687,0.7592,Positive,Positive
The lyrics to this perfectly illustrate a condition called Retroactive Jealousy which is something we help people with,@retroactivejealousy-worldl1805,2024-03-25T21:00:19Z,146,0.7506,Positive,Positive
She’s such a good actress - she conveys emotion so well,@BronwynG,2024-05-03T03:20:07Z,118,0.685,Positive,Positive
She is the next POP Rock ICON!! What an amazing concept and catchy song for me.,@jcescolastico5299,2024-03-24T17:43:49Z,94,0.658,Positive,Positive
"1:00 im getting such strong ballad of monalisa vibes, love it🖤",@enny-vh6kq,2024-11-07T15:47:11Z,37,0.9136,Positive,Positive
"This video is genius, this song is so unique and I’m obsessed with her emo vibe! She’s giving young Winona Ryder in this",@lnicolek012,2024-04-28T05:16:17Z,31,0.2481,Positive,Positive
CAN YOU STOP MAKING RELATABLE SONG?????😭😭😭 I'M LITERALLY CRYING SO HARD ABOUT THE LYRICS OMG,@dyahrzvh7971,2024-03-22T21:07:01Z,27,-0.9671,Negative,Positive
"If there's one thing I love about Olivia's music videos it's the aesthetics. The costumes, ""rock"" songs, film filter etc that really sell these nostalgic, aesthetically appealing vibes I get. I don't know how to better explain it but just good job on everyone involved ❤",@victoria58,2024-03-27T05:00:45Z,24,0.9349,Positive,Positive
I love these Rock vibes that Olivia gives with every song more and more. And i live that she tells different stories many people can relate. Love this craziness! Loved the video and song❤,@adelinekhasanshina5040,2024-03-25T22:41:57Z,19,0.9412,Positive,Positive
This has such a 2000s music vibe,@cobeyss,2024-03-23T22:14:09Z,16,0.0,Neutral,Neutral
"This is just so damn good. I'm 40, and let me tell you, this is a strange emotion that only MOSTLY goes away after real, long term commitment 😂 It goes from obsession to awareness maybe? But the sashes are forever lmao",@Ashley-fj3hq,2024-06-09T02:04:18Z,10,0.781,Positive,Positive
Love her how she makes lyrics so relatable. ❤,@Paol-b6o,2024-03-26T00:55:51Z,7,0.8646,Positive,Positive
"Insane 2003 MTV Pop-Punk vibes both the video and the song, absolutely fucking love it",@Fanc-E-Kitten,2024-06-24T23:47:33Z,6,0.4716,Positive,Positive
Love these rock vibes,@elenac.1613,2024-03-25T13:41:44Z,5,0.6369,Positive,Positive
She’s giving Wednesday vibes,@theatv1683,2024-03-25T03:49:05Z,5,0.34,Positive,Neutral
Can you make another music like drivers licence and traitor vibes again?,@Neko-wz9yr,2024-03-26T01:45:44Z,5,0.3612,Positive,Neutral
this songs such a vibe,@leighris-bowen6785,2025-06-20T23:04:23Z,5,0.0,Neutral,Positive
This song is a vibe,@Legend_ozzyosbourne,2024-06-06T22:32:43Z,4,0.0,Neutral,Positive
"YOURE LITERALLY IN MY HEAD... THE LYRICS...THE ENERGY, THE CRAZE...THE INSANITY",@shawnfarrell9979,2024-04-16T23:18:39Z,4,-0.3818,Negative,Positive
This song is such a vibeee✨️✨️,@imgiaaaa,2024-05-21T11:43:03Z,4,0.0,Neutral,Positive
Olivia is a vibe trust me,@Lomika7,2024-03-30T12:01:01Z,4,0.5106,Positive,Positive
"coming back to this music video, #THATGIRL could never beat olivia rodrigo.",@livshopeurok,2024-06-07T00:48:50Z,3,0.0,Neutral,Neutral
Tryna listen for Chappell’s backing vocals!!!,@meghansullivan6812,2024-08-17T17:24:35Z,3,0.2444,Positive,Positive
Olivia always beats it!!❤‍🔥,@minioex,2024-03-24T11:50:48Z,3,-0.4559,Negative,Positive
Olivia is giving gay vibes with this one,@Trumpetkweezer,2025-01-24T05:18:41Z,3,0.34,Positive,Neutral
Omg Olivia so much emotions you are so talented and incredible❤,@Sharealotharms,2024-11-03T17:15:11Z,3,0.8664,Positive,Positive
Good vibes!,@williambreeze2659,2024-04-01T00:22:09Z,3,0.4926,Positive,Positive
The overflow of emotion that's always present in Rodrigo's song👍👍👍,@MosesLydia,2024-03-24T14:35:33Z,3,0.0,Neutral,Positive
"I love Olivia and I love this fricking song,even if you don't relate to the lyrics,you can easily feel the frustation and the insecurity, It happens the same with most of Olivia's songs, that's why I love her music ❤",@lucky-bunnx,2024-03-22T21:20:54Z,3,0.9545,Positive,Positive
"I can definitely relate to her lyrics and now i certaintly feel its ok to feel this, fck.",@kathydennings3090,2024-05-26T06:24:11Z,2,0.5994,Positive,Positive
What a beautiful funny song. Every emotion is so clearly worded. Supppppeeeerrrrbbbb❤❤❤❤❤❤,@shishirshirole,2024-07-04T09:20:00Z,2,0.9895,Positive,Positive
❤ love the relatability of her lyrics,@emina593,2024-04-07T18:37:38Z,2,0.8555,Positive,Positive
Love the rock vibes!!,@lmcb8447,2024-06-20T03:05:00Z,2,0.6988,Positive,Positive
The main chorus kinda sounds like telephone by Lady Gaga and Beyonce.... Just me???,@marnie6193,2024-04-23T14:08:37Z,2,0.414,Positive,Neutral
I’m so obsessed with your exe so catchy right,@MauraGomez-vg9wd,2024-03-24T18:04:27Z,2,-0.2484,Negative,Positive
i love this music video!! like i wish “get him back” had a similar vibe,@kibumisnotamused,2024-03-26T12:26:06Z,2,0.8745,Positive,Positive
