file,class,precision,recall,f1-score,support
ariana grande - we can't be friends (wait for your love) (official music video),Negative,0.16666666666666666,0.9166666666666666,0.28205128205128205,12
ariana grande - we can't be friends (wait for your love) (official music video),Neutral,0.7272727272727273,0.43243243243243246,0.5423728813559322,111
ariana grande - we can't be friends (wait for your love) (official music video),Positive,0.8095238095238095,0.768361581920904,0.7884057971014493,177
artemas - i like the way you kiss me (lyric video),Negative,0.4583333333333333,0.9565217391304348,0.6197183098591549,23
artemas - i like the way you kiss me (lyric video),Neutral,0.7906976744186046,0.4927536231884058,0.6071428571428571,138
artemas - i like the way you kiss me (lyric video),Positive,0.7151515151515152,0.855072463768116,0.7788778877887789,138
benson boone - beautiful things (official music video),Negative,0.765625,0.9245283018867925,0.8376068376068376,53
benson boone - beautiful things (official music video),Neutral,0.5555555555555556,0.6756756756756757,0.6097560975609756,37
benson boone - beautiful things (official music video),Positive,0.9842931937172775,0.8952380952380953,0.9376558603491272,210
beyonc - texas hold 'em (official visualizer),Negative,0.8691588785046729,0.8303571428571429,0.8493150684931506,224
beyonc - texas hold 'em (official visualizer),Neutral,0.43636363636363634,0.5581395348837209,0.4897959183673469,43
beyonc - texas hold 'em (official visualizer),Positive,0.5161290322580645,0.48484848484848486,0.5,33
billie eilish - birds of a feather (official lyric video),Negative,0.34210526315789475,1.0,0.5098039215686274,13
billie eilish - birds of a feather (official lyric video),Neutral,0.7560975609756098,0.6391752577319587,0.6927374301675978,97
billie eilish - birds of a feather (official lyric video),Positive,0.9333333333333333,0.8842105263157894,0.9081081081081082,190
chappell roan - good luck babe (official lyric video),Negative,0.5925925925925926,0.9696969696969697,0.735632183908046,33
chappell roan - good luck babe (official lyric video),Neutral,0.7912087912087912,0.7058823529411765,0.7461139896373057,102
chappell roan - good luck babe (official lyric video),Positive,0.9161290322580645,0.8606060606060606,0.8875,165
charli xcx - guess featuring billie eilish (official video),Negative,0.7472527472527473,0.9855072463768116,0.85,69
charli xcx - guess featuring billie eilish (official video),Neutral,0.8375,0.6568627450980392,0.7362637362637363,102
charli xcx - guess featuring billie eilish (official video),Positive,0.8914728682170543,0.8914728682170543,0.8914728682170543,129
dua lipa - training season (official music video),Negative,0.864406779661017,0.9807692307692307,0.918918918918919,52
dua lipa - training season (official music video),Neutral,0.8202247191011236,0.8588235294117647,0.8390804597701149,85
dua lipa - training season (official music video),Positive,0.9671052631578947,0.901840490797546,0.9333333333333333,163
kendrick lamar - not like us,Negative,0.8134328358208955,0.9646017699115044,0.8825910931174089,113
kendrick lamar - not like us,Neutral,0.7014925373134329,0.746031746031746,0.7230769230769231,63
kendrick lamar - not like us,Positive,0.98989898989899,0.7903225806451613,0.8789237668161435,124
lady gaga bruno mars - die with a smile (official music video),Negative,0.847457627118644,1.0,0.9174311926605505,50
lady gaga bruno mars - die with a smile (official music video),Neutral,0.9473684210526315,0.8709677419354839,0.907563025210084,62
lady gaga bruno mars - die with a smile (official music video),Positive,1.0,0.9787234042553191,0.989247311827957,188
olivia rodrigo - obsessed (official music video),Negative,0.9016393442622951,0.9821428571428571,0.9401709401709402,56
olivia rodrigo - obsessed (official music video),Neutral,0.9081632653061225,0.9368421052631579,0.9222797927461139,95
olivia rodrigo - obsessed (official music video),Positive,0.9929078014184397,0.9395973154362416,0.9655172413793104,149
rose  bruno mars - apt. (official music video) comments copy_analise.csv,Negative,0.9,1.0,0.9473684210526315,72
rose  bruno mars - apt. (official music video) comments copy_analise.csv,Neutral,0.9183673469387755,0.8333333333333334,0.8737864077669902,54
rose  bruno mars - apt. (official music video) comments copy_analise.csv,Positive,0.9883040935672515,0.9712643678160919,0.9797101449275363,174
sabrina carpenter - espresso,Negative,0.9491525423728814,0.9333333333333333,0.9411764705882353,60
sabrina carpenter - espresso,Neutral,0.7702702702702703,0.95,0.8507462686567164,60
sabrina carpenter - espresso,Positive,1.0,0.9277777777777778,0.962536023054755,180
sza - snooze (audio),Negative,0.7837837837837838,0.8787878787878788,0.8285714285714286,33
sza - snooze (audio),Neutral,0.5342465753424658,0.8125,0.6446280991735537,48
sza - snooze (audio),Positive,0.9842105263157894,0.8538812785388128,0.9144254278728606,219
taylor swift - fortnight (feat. post malone) (official music video),Negative,0.8222222222222222,0.9866666666666667,0.896969696969697,75
taylor swift - fortnight (feat. post malone) (official music video),Neutral,0.85,0.6623376623376623,0.7445255474452555,77
taylor swift - fortnight (feat. post malone) (official music video),Positive,0.9133333333333333,0.9256756756756757,0.9194630872483222,148
tyla - water (official audio),Negative,0.7391304347826086,1.0,0.85,17
tyla - water (official audio),Neutral,0.7380952380952381,0.7380952380952381,0.7380952380952381,42
tyla - water (official audio),Positive,0.9574468085106383,0.9183673469387755,0.9375,147
