file,accuracy,f1_macro,f1_micro,n
ariana grande - we can't be friends (wait for your love) (official music video),0.65,0.5376099868362212,0.65,300
artemas - i like the way you kiss me (lyric video),0.6956521739130435,0.6685796849302635,0.6956521739130435,299
benson boone - beautiful things (official music video),0.8733333333333333,0.7950062651723134,0.8733333333333333,300
beyonc - texas hold 'em (official visualizer),0.7533333333333333,0.6130369956201659,0.7533333333333333,300
billie eilish - birds of a feather (official lyric video),0.81,0.703549819948111,0.81,300
chappell roan - good luck babe (official lyric video),0.82,0.7897487245151172,0.82,300
charli xcx - guess featuring billie eilish (official video),0.8333333333333334,0.825912201493597,0.8333333333333334,300
dua lipa - training season (official music video),0.9033333333333333,0.8971109040074557,0.9033333333333333,300
kendrick lamar - not like us,0.8466666666666667,0.8281972610034919,0.8466666666666667,300
lady gaga bruno mars - die with a smile (official music video),0.96,0.9380805098995305,0.96,300
olivia rodrigo - obsessed (official music video),0.9466666666666667,0.9426559914321215,0.9466666666666667,300
rose  bruno mars - apt. (official music video) comments copy_analise.csv,0.9533333333333334,0.9336216579157194,0.9533333333333334,300
sabrina carpenter - espresso,0.9333333333333333,0.9181529207665688,0.9333333333333333,300
sza - snooze (audio),0.85,0.7958749852059476,0.85,300
taylor swift - fortnight (feat. post malone) (official music video),0.8733333333333333,0.8536527772210915,0.8733333333333333,300
tyla - water (official audio),0.8883495145631068,0.8418650793650794,0.8883495145631068,206
