file,accuracy,f1_macro,f1_micro,n,y_true_col,y_pred_col
ariana grande - we can't be friends (wait for your love) (official music video) comments_scored,0.5833333333333334,0.4622262494732878,0.5833333333333334,300,sentimento_manual,sentiment
artemas - i like the way you kiss me (lyric video) comments_scored,0.5451505016722408,0.518535797033603,0.5451505016722408,299,sentimento_manual,sentiment
benson boone - beautiful things (official music video) comments_scored,0.72,0.5868794197168955,0.72,300,sentimento_manual,sentiment
beyonc - texas hold 'em (official visualizer) comments_scored,0.5966666666666667,0.45724559746973537,0.5966666666666667,300,sentimento_manual,sentiment
billie eilish - birds of a feather (official lyric video) comments_scored,0.6233333333333333,0.48766900059776047,0.6233333333333333,300,sentimento_manual,sentiment
chappell roan - good luck babe (official lyric video) comments_scored,0.6066666666666667,0.516348318968864,0.6066666666666667,300,sentimento_manual,sentiment
charli xcx - guess featuring billie eilish (official video) comments_scored,0.5366666666666666,0.5271074590296557,0.5366666666666666,300,sentimento_manual,sentiment
dua lipa - training season (official music video) comments_scored,0.64,0.579353313997207,0.64,300,sentimento_manual,sentiment
kendrick lamar - not like us comments_scored,0.5666666666666667,0.5498838559814169,0.5666666666666667,300,sentimento_manual,sentiment
lady gaga bruno mars - die with a smile (official music video) comments_scored,0.6333333333333333,0.5463102199944305,0.6333333333333333,300,sentimento_manual,sentiment
olivia rodrigo - obsessed (official music video) comments_scored,0.5933333333333334,0.5576060681501973,0.5933333333333334,300,sentimento_manual,sentiment
sabrina carpenter - espresso comments_scored,0.6466666666666666,0.5824003649929549,0.6466666666666666,300,sentimento_manual,sentiment
sza - snooze (audio) comments_scored,0.6,0.4545466741796131,0.6,300,sentimento_manual,sentiment
taylor swift - fortnight (feat. post malone) (official music video) comments_scored,0.6,0.5477376483053619,0.6,300,sentimento_manual,sentiment
tyla - water (official audio) comments_scored,0.6067961165048543,0.46593811985116335,0.6067961165048543,206,sentimento_manual,sentiment
