comment,user_name,date,likes,compound,sentiment,sentimento_manual
This track has such a nostalgic vibe to it. It reminds me of simpler times and brings back so many memories.,@UlricaDiaz-k4n1j,2025-05-19T05:52:46Z,69,0.0,Neutral,Positive
"Normally avoid pop but something about this one is nostalgic, romantic and insightful.",@tango8011,2025-05-27T12:46:43Z,35,0.4497,Positive,Positive
"one of the finest artist in this generation , no stupid lyrics no stupide or sexual choreography absolute gem",@poadcasts_fans,2025-07-30T06:15:03Z,28,0.1471,Positive,Positive
To everyone vibing with this: may your week be as upbeat and joyful as this melody. Keep dancing! 💃🕺🎶,@Nemo-yz7lw,2025-05-14T02:42:58Z,15,0.636,Positive,Positive
"Hi Benson, I've been faintly hearing this song on the radio in various stores I've gone into so I recently decided to look it up with the hook/chorus as my only thing to go off of. I'm a recovering alcoholic and this song gives me hope for my future but also helps to remind me not to be complacent. I wish you the best and I thank you for your art.",@Forbidden_Truth93,2025-06-11T00:20:58Z,13,0.96,Positive,Positive
This is the best new generation Song ever its 90s vibe....,@fFrage01,2025-05-24T13:25:03Z,10,0.6369,Positive,Positive
"Such a powerful song about the human condition and the vulnerableness we all share...Love can be hard to get, and even harder to hold on to.",@CMKseven,2025-07-30T23:57:04Z,8,0.0772,Positive,Positive
0:38 a beatiful song❤❤❤😊😊😊🔥🔥🔥,@elidesportelli325,2025-05-13T20:47:07Z,8,0.9761,Positive,Positive
I knew this song was immaculate within the first 10 seconds. The chorus was more than a bonus and the way it brings me to my knees to thank GOD is everything. 🥲,@arturodelcid-qk4tk,2025-06-24T04:03:05Z,7,0.8441,Positive,Positive
"great tempo and vocal shifts awesome composition, it rocks.",@frozenwindshield,2025-08-05T23:36:44Z,6,0.8481,Positive,Positive
"is truly one of the most beautiful songs I’ve ever heard. It resonates with me so deeply that I listen to it every single day. I guess you could say I’m a little addicted to it, but it’s not just the melody it’s the emotions it stirs in me. I’m 45, still single, and sometimes I find myself wishing for someone who could love me with the same kind of passion and devotion that this song evokes. I long for a love that makes me feel extraordinary, even in my ordinary moments.",@douglasjefferson_9,2025-05-10T01:50:25Z,6,0.98,Positive,Positive
Worst song of all time,@SingerDinger,2025-06-20T13:56:37Z,5,-0.6249,Negative,Negative
"I am from Middle East I converted my religion. When my family learned they beat me, took my phone, laptop, bible etc. And locked me in a room for 1.5 years! I was just a 9 months old believer. When I was sitting in the room I prayed and said I don't have my Bible, my believer friends etc. how can I continue my faith? And I heard Holy spirit said I can come in this room! And he came he was with me all the time while I was in there. When I heard this song I felt someone who doesn't know my testimony made a song for me 😍 Yes he is in the room and he'll be in the room and we can't survive without him.",@Contemporary_Gospel,2025-06-10T02:12:05Z,5,0.9167,Positive,Neutral
Awful song please delete from history,@carno2762,2025-05-30T04:01:29Z,5,-0.1779,Negative,Negative
Wow his vocals ❤🎉beautiful song,@DineoSibiya-f1p,2025-05-17T18:53:57Z,5,0.8934,Positive,Positive
This song is totally my style! I really needed rock music like this. Especially the high notes in the chorus feel so refreshing.,@leehaeun1818,2025-05-16T04:52:59Z,5,0.4199,Positive,Positive
"@BensonBoone is giving Freddy Mercury. The jumpsuit, the mustache, the original voice and performance and just the overall vibe and look about him.",@kimberlyhelmick386,2025-06-25T23:41:58Z,4,0.5719,Positive,Positive
"I hate this song with every fiber of my being. Cheesy 70s porn ‘stash, bombastic American Idol vibes, every vibe he has that sucks. I hate the songs this guy makes..",@catskann,2025-06-17T03:13:58Z,4,-0.872,Negative,Negative
"What an unusually beautiful timbre of voice, I want to listen to it all the time. Cool song!",@Music_Inspiration84,2025-05-07T14:42:44Z,4,0.7955,Positive,Positive
"Sheer brilliance, the vocals out of this world, literally sent chills down my spine 😮",@iktsenpai,2025-05-16T23:50:12Z,4,0.5994,Positive,Positive
"This song is perfection! it's been so many months, but I still love this song, the lyrics and Benson Boone nailed the Vocal Quality. I watched a reel on Facebook and I searched about it and fell in love.",@aprilvlogs,2025-07-03T03:08:44Z,4,0.9455,Positive,Positive
when I discovered this song I discovered my deep emotionals,@m-slopes-media,2025-06-27T20:28:05Z,4,0.0,Neutral,Positive
Worst ad shit song ever,@Reza_7,2025-05-29T11:01:04Z,3,-0.8271,Negative,Negative
Finally a song in these times that is positive and have a great melody because it seems that other modern bands are just copy pasting electronic music that all sounds the same. This song and band deserve more recognition. 10/10,@MultiWatcher1000,2025-08-03T11:19:41Z,3,0.8271,Positive,Positive
Such a beautiful song me and mom sing it all time my mom did not like the song but now she loves the song with her whole heart such beatful voice,@chastitygowen2730,2025-06-04T23:00:55Z,3,0.9293,Positive,Positive
Most annoying song in the world,@EdwardPJackson,2025-06-19T16:40:15Z,3,-0.4576,Negative,Negative
Checking billboard playlists after 5/6 years and found this soothing song kinda feels nostalgic,@rayatczn8397,2025-05-28T17:21:48Z,3,0.3869,Positive,Positive
The vibe is royale. I and I love this song,@milzandboo2000,2025-06-26T13:06:15Z,3,0.6369,Positive,Positive
