comment,user_name,date,likes,compound,sentiment
The story behind Billie’s experience hitting the high note is what makes this song so beautiful!!! Billie we are ALL so proud of your growth and strength  within your vocals this album ❤❤,@dejaadderley5265,2024-09-20T13:15:41Z,113,0.9778,Positive
Oh the warmth and tone in her voice!   Dreamy!,@JayZoop,2024-09-12T19:27:19Z,82,0.555,Positive
"To my surprise, this song, unexpectedly, moved me deeply; a man nearing fifty, I found myself unexpectedly touched by its simple melody and heartfelt lyrics.",@samuelzhang777,2025-01-02T06:13:59Z,79,0.6808,Positive
This goes deep into my heart.😢 Reminded me of my late father who passed away just 3 months ago after suffering from the horrible pancreatic cancer. Music heals and connecting me to him again spiritually.,@AC-kq6sp,2024-09-20T10:53:32Z,76,-0.872,Negative
"Billie Eilish captures the intensity of devotion in 'Birds of a Feather,' turning love's fragility into something fiercely eternal. Her vocals are a beautiful reflection of the paradox of love both tender and unbreakable. The emotional weight behind this track feels like a whispered promise of forever, even in the face of inevitable goodbyes.",@LoversSymphony,2024-09-23T19:42:04Z,66,0.9442,Positive
"Easily Song of the Year. First time I listened to it on the album, for me it was an instant classic. I was craving for a song like this: simple, passionate and mostly universal. Anyone can vibe, from Gen Z to Baby Boomers, reminding of their teenage love. I'm not a Billie Eilish fan, but I have to thank her for delivering what I wanted.",@org-prod,2024-09-21T01:50:32Z,34,0.8793,Positive
"This song makes me teary-eyed, every time I hear it. Those are such powerful words. Beautiful! 🥲❤",@leannasimplylee,2024-09-10T15:11:00Z,26,0.9041,Positive
"I was not much of a Billie fan until this song. She really showed just how talented she is with this song. Everything about it is just SO so unbelievably BEAUTIFUL! Her voice,  the beat, the lyrics,  the way it just touches your soul! I cry every time I hear this song...Its my new favorite song and I will never get tired of hearing it! May god continue to bless Billie with talent and success!🫶",@AdriielGee,2024-09-08T00:00:13Z,25,0.9716,Positive
"""2025, a new year, a new vibe, but the love for this masterpiece remains timeless. Cheers to great music and unforgettable melodies!""",@IAmNot_Anu,2025-01-01T05:14:56Z,22,0.9765,Positive
3:03 need yall hear the angelic vocal in the back it’s really low but ITS SO GOOD,@iznathan,2024-10-06T16:55:17Z,20,0.8467,Positive
My favorite song of 2024 and possibly this decade. The beats feel like throwbacks to the mid 1980's the lyrics are relatable and her angelic voice really give the depth to an already fabulous track.,@Darren_Hood,2024-10-10T00:18:47Z,20,0.836,Positive
"I love this song, especially the vibes it gives",@JustineGailEcat,2024-10-22T05:30:31Z,19,0.6369,Positive
Beautiful song. Never knew who she is still don't know her face but great song. Lovely lyrics and perfect voice for the melody...addictive. ❤️,@YG-oo2ph,2024-09-21T06:19:39Z,17,0.9655,Positive
I’m balling my eyes out because I’m dedicating this song to my baby who will be turning 6 months old. Time flies so fast and as a first time mom here I am getting overly emotional.,@carolbarles.23,2024-09-15T14:17:00Z,16,0.1531,Positive
2:40 I hear a little George Michael here in Last Christmas 😊 both beautiful songs and vocals ❤,@DivineDivineGirl,2024-11-10T01:28:45Z,13,0.9337,Positive
"So emotional and sad. Beautiful lyrics, music, voice. I hope we see this on top of the Billboard Hot 100",@bojanstefanovic1906,2024-09-10T14:12:38Z,13,0.7294,Positive
The layering and progression of this song is sublime. Not a big listener of Billie but I’ve had this on repeat,@samyakjain727,2024-10-10T07:31:46Z,11,0.0,Neutral
this song is so nostalgic and beautiful~~,@vochelle92,2024-11-03T15:40:23Z,11,0.6326,Positive
"This song is really making me like Billy Eilish, and I never listened to her before.  What a beautiful song... dope beat, vocals and lyrics.",@the.marinator,2024-12-12T07:07:38Z,11,0.7693,Positive
2:07 *Birds of a Feather is the Anthem of my Emotions…*,@midknightmuze,2024-09-17T18:51:46Z,9,0.0,Neutral
"I fall deeply in love with this song. This song must become the best pop ""Song of the year"" this year.",@meltaway520,2024-10-21T05:47:38Z,8,0.8651,Positive
"definitely the best song of the year, it makes me hypnotized by the melody and feel like I'm back in the 2000s, but at the same time enjoying the present time",@carlosdt6208,2024-09-19T18:41:58Z,8,0.8689,Positive
I want to come back to this song when I’m older and remember how nostalgic it was,@Itsonlyram,2024-11-03T08:05:46Z,7,0.0772,Positive
When I first heard this song on insta on everyone’s story I didn’t knew it’s billie I just thought it’s someone else not that popular singer maybe but today I saw it’s her omggg!!!😭😭😭 I can’t believeeee cz in her every song she always used to sounds like “whisper” type!! I mean she used to sing different not in this vocal omggg this is actually her real free voice!! 😭❤️❤️❤️,@oldiee6063,2024-09-02T23:06:32Z,6,-0.9142,Negative
"Not the best lyrics , but not bad….a nice voice  and melody…first time ever here , never heard of you until today 💙",@mendynoma4272,2024-09-17T19:55:34Z,6,0.3855,Positive
When she said I love you til the day I die in high note  that's my favorite verse,@jadongarner5018,2024-11-06T05:27:49Z,5,0.5106,Positive
"2:15 Every time I hear this lyric I remember something and start crying, I don't know why I feel like the lyrics say ""what im crying for""...😢😞",@maisarah1able,2024-09-11T13:05:11Z,5,-0.872,Negative
"I really like this song, gives so much 90's vibes.",@jennifersalinas9277,2024-10-14T03:07:37Z,4,0.4201,Positive
This song is soothing and emotional at thesame time,@Celebritea380,2024-09-19T13:28:20Z,4,0.4404,Positive
"This song is the perfect example of"" When you are happy, you listen to the music. When you are sad, you listen to the lyrics""",@iceice6189,2025-05-28T07:12:10Z,4,0.6486,Positive
I really admire it. The voice is very beautiful. Please continue watching. The voice is very powerful.😊❤,@MaleeRuamrak,2024-12-11T13:21:04Z,4,0.9743,Positive
This song is literally so nostalgic for 2024,@Elevens11Eggos,2025-01-12T06:30:13Z,4,0.0,Neutral
wow 90s vibes Beautiful!!,@Julian-z2s,2024-09-17T04:12:33Z,4,0.8513,Positive
This has such a 90s-00s pop princess vibe and I am HERE for it.,@seegreyhoundrun,2025-02-20T23:01:41Z,4,0.0,Neutral
I love this song! Everything about it it’s perfect! ❤ the lyrics in this video come out to late to sing on time.,@Eden639,2024-11-15T23:59:34Z,3,0.9285,Positive
This is mf summer vibe fr,@queenv4340,2025-07-10T15:27:56Z,3,0.0,Neutral
This song used to be beautiful to me. Now it's deeply sadness to me. When I hear this song it reminds me of him. It makes me think of our short time together and how sad it ended. I will stop thinking of him like this song. I'm tired of hurting my heart and head.,@funnygirlever,2024-10-25T05:56:56Z,3,-0.3597,Negative
Isn’t this beat from a drake song ?,@danib712,2024-09-30T07:55:02Z,3,0.0,Neutral
"Every time I listen to this song, I feel an overwhelming love for myself, yet at the same time, a deep disappointment. It’s like I can see a version of me that has grown, changed, and become everything I want to be—but I’m still stuck in the same place. This song makes me reflect on that distant version of myself, almost like we exist in different lifetimes. It’s bittersweet, but also comforting. Thank you for creating something that speaks so deeply to emotions I struggle to put into words.",@sebuahlilin3462,2025-02-25T17:08:08Z,3,0.8382,Positive
never paid attention to the lyrics but damm its deep..i feel like crying,@hillarychanu,2025-02-23T08:18:38Z,3,-0.2263,Negative
This is called music and lyrics,@arpaplays7292,2024-09-10T13:59:52Z,2,0.0,Neutral
It's been a year since this song became a phenomenon among the most listened to and I still haven't gotten over those beats.,@gabrielmigueis6280,2025-05-17T04:01:32Z,2,0.0,Neutral
2:52 Anyone know what instrument this is or is it a vocal?,@ccdenice,2025-02-04T05:03:29Z,2,0.0,Neutral
FINALLY a song where she can actually show off her vocals and not do that whisper singing shit,@kiwibaby335,2024-12-29T03:09:26Z,2,-0.5574,Negative
2:46 QUE VOCAL MARAVILHOSO,@Ineedthefourthcapoftlou,2024-09-20T02:13:12Z,2,0.0,Neutral
"I met someone totally unexpectedly, in a random place and situation, after deciding to be alone for 5yrs. Got on so well, linked with everything, could open up again but then I suddenly lost my trust and ended it… I miss him, miss his presence, miss his laugh, miss his accent, miss his caring & thoughtful nature, I just miss him wholey…  this song tells it all but, something is stopping me. I’ve ignored my gut feelings in the past and got into deep trouble. I promised myself I wouldn’t ignore them again but boy is this hard",@sharon8434,2025-06-05T20:52:50Z,2,0.108,Positive
"Tbh the pitch is so high it made me cry,how good it is",@itsmeayezsa,2024-09-10T05:34:14Z,2,0.4404,Positive
"This song hits so deep – every note, every word feels like it’s made just for me. Billie’s voice is pure emotion",@FallingInLove-123,2024-10-31T10:03:00Z,2,0.3612,Positive
"This song should be #1. This is a mixed emotions good feeling, memory feeling, exciting feeling, GREAT song and crazy lyrics today make you SMILE. I been playing it for the ENTIRE day without getting tired of it😮",@radantiguan2546,2024-09-28T23:22:03Z,2,0.955,Positive
"So emotional, es berührt mich bis unter meine Haut ❤",@danielahimmel2364,2025-02-17T09:21:09Z,2,0.7264,Positive
Why do these birds have better friendship vibes than I do? 😩,@yungmufasaa,2025-05-09T01:52:41Z,2,0.5719,Positive
This song is same beat to the “bleeding love” song,@TheJohnsonsVlogzz,2024-09-18T17:32:21Z,2,0.0,Neutral
Love this song.  Beautiful lyrics and melody.  That hook is just sick.    Billie and Finneas are really brilliant.,@danielbravine7137,2024-10-07T22:54:17Z,2,0.8718,Positive
Who's here because of Rick Beato 😅,@theshuttergrind,2024-09-11T10:53:38Z,2,0.3612,Positive
Goosebumps in the finish. (Till that day that I die) so high and emotional like whole song❤️,@AdrianL564,2024-10-25T22:28:51Z,2,-0.1372,Negative
Melody is same as croatian singer Oliver Dragojevic,@scorpio273,2024-09-02T21:50:21Z,2,0.0,Neutral
So beutiful ❤❤❤ amazing vocal 🤩🤩🤩,@Kamilaaa_r,2024-09-08T13:28:16Z,2,0.9563,Positive
This song is my story with my twin flame and I. I know he doesn’t recognize me but if only he knows how much I love him. He will be the only person I can ever love so deeply in every lifetime. 😢 I knew him in another life but he sounds so surprised. If only he knows I love him unconditionally.,@swag2be578,2025-04-03T02:25:04Z,2,0.9612,Positive
"one of my favs, her lyricism is unreal and the voice!!!! i did remix it and would love some feedback, its on a more upbeat poppy beat. under my billie playlist :)",@neemzbeats,2024-09-11T13:06:00Z,2,0.8544,Positive
This song makes me goosebumps  everything is so perfect the voice the chorus the band everything lovely perfect,@Mlasse954,2025-05-31T10:53:50Z,2,0.9223,Positive
"Hello, everyone! I create enjoyable 80s vibes and mood/chill songs on my channel that's perfect for working, studying, workout or just chilling out. May my song content can entertain everyone's here! 🙏😇",@thelittlepimbo,2024-10-24T01:51:44Z,2,0.9258,Positive
"Her voice is so airy and light, but these lyrics hit hard.",@sw33tm3,2025-02-03T19:45:30Z,2,-0.1531,Negative
"By the way, the melody of this song is a plagiat and copy of Oliver Dragojevic ""U Ljubav vjere nemam""! So Byllie Eilish is copying the croatian singer Oliver Dragojevic😂",@igorpijetlovic4204,2024-09-13T18:17:51Z,2,0.4926,Positive
I had to come here as Spotify don't show lyrics to me 😭😡,@Tranquility127,2024-09-19T06:37:58Z,2,-0.4767,Negative
Why this song it's so Reference to Last Christmas Song By George Michael (Wham bang i think?) like if you sing this whenever the beat follows holy crap,@Osaka-Actuality,2024-09-12T10:28:17Z,2,-0.0258,Neutral
"So far...this is Billie's best song, in my opinion. Fantastic melody, beautiful lyrics, and a sensational voice. I love it. 😍",@ioanpadure588,2024-09-15T23:09:39Z,1,0.9633,Positive
Dès la 1er phrase j'étais déjà en amour avec cette chanson ❤ le beat est insane et Billie a tellement une voix sensuelle,@papillonrose3,2024-12-12T05:26:59Z,1,0.3612,Positive
I love the backing vocal 2:53  I fell for it 💝,@moonlit-bae,2024-11-19T03:11:02Z,1,0.8591,Positive
This beat. Absolutely fkn spot on.,@trentdoyledoyletrent,2024-09-21T11:34:12Z,1,0.0,Neutral
"After become 30's, now I understand why older people in 2000's told that emo lyrics was weird",@ryanfebrianto8973,2025-04-14T10:47:28Z,1,-0.1779,Negative
Similar chorus beat to “bleeding love” .. which i loved .. n caught me to this song ! Right away..,@sfiasphere6606,2024-09-07T03:14:17Z,1,0.636,Positive
"if you like this you might like The Sundays... the chorus is the same sound. Harriet Wheeler, 15 yrs ago, pretty British voice. much beloved",@MightyMouse350,2024-12-13T00:35:25Z,1,0.8885,Positive
Lyrics💙🥹🥺,@Mamunur1530,2024-10-21T03:07:15Z,1,0.0,Neutral
The same melody like Bleeding Love by Lewis Leona,@sopi09987,2025-01-21T12:42:57Z,1,0.7717,Positive
This song just has a nostalgic feeling,@AlexisMartinez-xx8ns,2024-10-21T09:42:31Z,1,0.128,Positive
Seeing my cousin and her daughter dancing to the chorus of this song make me f*cking emotional 😭,@olenkagarces1660,2025-05-27T20:53:41Z,1,-0.3612,Negative
feels very nostalgic,@wobbler2536,2024-11-01T18:51:39Z,1,0.0,Neutral
"I looked this up because I heard the chorus in videos and I was unprepared.  The opening about wanting to love you until we are dead...like super dead...rotting, filthy maggoty corpses dead, followed by the pretty, breathy-sweet chorus is a rather interesting contrast.",@bibliophilelady6106,2024-09-20T00:14:44Z,1,0.8658,Positive
"Great vocals on this, shows she can do it all - reminds me of Harriet Wheeler from The Sundays in places. Dreamlike",@graemereynolds159,2024-11-30T08:57:10Z,1,0.6249,Positive
Gods i am ADDICTED to that high pitched singing or sound that starts at 2:53 idk what it is about it that scratches my brain just right.,@IRLJojo,2024-11-25T07:30:11Z,1,-0.1027,Negative
WHAT IS YOUR FAV LYRICS,@ma-ri-em1908,2024-12-02T18:22:17Z,1,0.4588,Positive
Finally a upbeat song😂❤,@BlueSky-jv7rs,2024-10-23T22:51:16Z,1,0.7964,Positive
lagu ini membuat vibes habis lebaran 1446 H/2025 M,@WiraSentana-x7e,2025-04-10T03:01:41Z,1,0.0,Neutral
its sso breezy and summery and cozy contrast to the lyrics like a summer punch by the ocean,@Loislaulife,2025-02-21T14:44:44Z,1,0.3612,Positive
