comment,user_name,date,likes,compound,sentiment
Her shaking on the machine to the beat CHEWED,@Fammmeeee,2024-06-06T20:43:07Z,13320,-0.1779,Negative
No idea what’s going on here but the vibes are immaculate,@adrianomaly1760,2024-06-24T10:50:28Z,13198,-0.1531,Negative
"""Totally waiter vibes"" was what got me",@bonbonxo,2024-07-29T10:55:08Z,8094,0.0,Neutral
"Grateful for Charli still doing these short ""skits"" before the song actually starts in her music videos. That's rare these days, everything about her is nostalgic",@Liesjepiesje,2024-09-08T23:47:18Z,6945,0.4588,Positive
"It is so deeply gratifying to have Charli not HAVE her moment, BUT CREATE the moment. She's thrilling.",@chrisparkes,2024-07-20T17:18:02Z,1394,0.8843,Positive
"I'm a 27 year old straight black man and I love this song. I also like grins, you, and what  I like. What I like is special because I first heard it the summer before I went to college in 2014, I remember being so enthusiastic and happy about leaving my hometown and never having to go back to high school which I hated , yes I know it came out in 2013 but 2014 was when I first heard it . Everytime I hear it the memories and emotions from that summer come back",@andyusa14,2024-05-23T17:19:17Z,1079,0.8977,Positive
not even a year has passed and I already feel nostalgic for this video 😭,@sssso8,2025-05-07T19:33:35Z,899,-0.4767,Negative
i am deeply suspicious of people who don't like charli's music.,@SOOKIE42069,2024-05-14T04:37:39Z,781,-0.5998,Negative
"1:17 ""Totally waiter vibes"" I'm literally rolling on the floor 😭",@walterblack_intj,2024-10-09T19:46:27Z,496,-0.4767,Negative
brat era nostalgic will hit HARD,@bluecat_2001,2024-11-03T18:51:09Z,341,-0.2808,Negative
"“That city sewer slts the vibe” is so iconic because Gen Z finds SO much appreciation for much of the diversity whether you’re a this or that, we encourage and welcome all stereotypes like confidence is such a vibe to us no matter who or what body you’re in.",@officialchrizzz8766,2024-12-31T18:36:58Z,115,0.946,Positive
"Charlie's sassy accent, Rachel's comedy timing and Julia Fox being iconic/mentioned in the lyrics all in one video 😭❤",@franventer611,2025-07-28T15:43:40Z,34,0.5574,Positive
this is depressingly catchy,@Imagelesslee,2024-09-03T19:08:26Z,11,-0.5106,Negative
I don’t know how Charli does it but her tunes are always iconic and catchy!,@ramuhchoramuhcho4591,2024-05-23T23:03:41Z,9,0.0,Neutral
giving a early 2000s vibe,@ThatOneGK-HL,2025-02-01T17:48:01Z,8,0.34,Positive
alternate universe where everyone serves cvnt,@CaffPidge,2024-07-28T04:27:45Z,7,0.0,Neutral
"Not to maaajorly over-analyze, but that model expression is so unique to me. It gives the vibe that she's breaking the 4th wall, aware of the chaos around her, and still acting like she's currently posing for a magazine. It feels like she's still there as a full human person, like we're almost there, and she's not being just an idea or concept or character, she's human but still tapping into a boss part of herself. I think it's unique because most modelly expressions look detached and/or beyond their current situation and tend not to be grounded. I especially love it with the wine chaos going on - she's blinking wildly but she's still slaying. She keeps looking like she's battling the elements, even when there aren't elements to fight, and it's just so cool. Video modelling fr",@katara9,2024-07-18T15:05:18Z,7,0.91,Positive
"This song is giving off Lady Gaga Vibes. Particularly the song from the movie A Star Is Born, “Hair Body Face.” Catchy, Upbeat, creative, inventive, unique/distinct, and authentic!",@alyssadesimone7394,2024-07-26T03:09:25Z,7,0.68,Positive
dress to impress vibes 3:44,@ImFunnyClin,2024-08-30T20:29:36Z,6,0.4404,Positive
Waiter vibes 💀,@ariellovesyouu,2024-05-26T08:33:30Z,6,0.0,Neutral
"Actually GREAT I LOVE THIS, its like 90's ost games with great tones great sound, great distored 808, but tones overall.. this is where I will go as a producer.",@creame.mp4,2024-07-26T01:49:49Z,6,0.9229,Positive
I get euphoria vibe.,@cno293,2025-04-16T16:01:14Z,6,0.6486,Positive
"""Totally waiter vibes""",@SapphireDreamssss,2024-07-14T14:19:38Z,5,0.0,Neutral
"Wow, what a powerful voice! This artist's vocal range is incredible, and the emotion they convey is just captivating",@MoiraCoyner,2024-05-14T13:51:35Z,5,0.784,Positive
I'm speechless to explain how awful this is.  So I guess that's a thing.,@davids1816,2024-09-18T23:21:38Z,4,-0.4588,Negative
The vibes are vibing. All the girls are immaculate!,@guuurl_.3700,2024-09-28T20:50:59Z,4,0.0,Neutral
totally waiter vibes,@maedle99,2024-07-06T22:57:58Z,4,0.0,Neutral
why are all the new artist all whispering garbage. can we have some class and vocal talent please.,@hovtrd9944,2024-11-26T07:22:12Z,3,0.6249,Positive
"""totally waiter vibes"" i cant 😂",@thatlazyengstud,2024-07-30T02:41:03Z,3,0.6669,Positive
I never realised fatima was in the brativerse OMG,@Istrianprincess,2024-11-10T12:04:53Z,3,0.0,Neutral
OMG! This is awfull!,@lauravlad77,2024-08-06T07:04:40Z,3,0.0,Neutral
Totally waiter vibes ✨,@lilbbgrinchiepoo2429,2024-07-02T12:40:44Z,3,0.3744,Positive
I'm just SO SO SO in love with the beats!!!!,@emilyswift64,2024-08-16T03:14:47Z,3,0.8506,Positive
totally waiter vibes 😍,@chriswastaken420,2024-07-11T09:40:42Z,3,0.5046,Positive
"Shit is trash can’t believe they gave it album of the year. Shows you how shit rolling stone, and the state of music. America choice in music is liberal as Kamala , rock is still better",@DarrenLucas-up6ki,2024-12-06T21:21:21Z,3,-0.6486,Negative
It's so odd people like this lol. Hey if you can't beat em join em. I'm on board now lol,@J77199,2024-08-27T18:56:04Z,3,0.6523,Positive
2:05 vibes : YES 😂,@merdinamadais,2024-05-16T23:44:43Z,3,0.7456,Positive
This is the worst.,@Peterviegal,2025-01-22T00:35:40Z,3,-0.6249,Negative
LMAO just discovered this channel/artist/if-you-can-even-call-it-that and I think it’s wild that there’s literally only 3 notes in the entire song and there are 6M views. This new generation must be zombies to waste 4 and a half minutes of their lives listening to a “song” where entire verses are just 1 note repeated over and over again.,@FlyBoyMT,2024-07-07T19:33:28Z,3,0.4278,Positive
Waiter vibezzz,@Yee_har,2024-06-06T08:22:10Z,3,0.0,Neutral
The beat is what makes the songs fire no joke its deadass awesome,@Jbiggie123,2024-08-18T01:21:44Z,3,0.2052,Positive
I just heard this in a radio station. And it is so catchy.,@MJ-ql6ox,2024-08-15T03:08:11Z,3,0.0,Neutral
TOTALLY WAITER VIBES 😭✋,@tateitude,2024-09-04T12:57:37Z,3,0.0258,Neutral
This is already iconic and nostalgic,@Jersonialmes-f6t,2025-02-11T02:25:49Z,3,0.0,Neutral
"this whole thing seems like its less about making good music and more about trying to milk clout and publicity as far as possible. like everything about it has been constructed to appeal to twitter Stans - the lyrics sound like vapid twitter soundbites, the beat sounds like music from the offensive tea YouTube channel",@RapidBlindfolds,2024-08-02T12:43:16Z,3,0.8242,Positive
Totally waiter vibes sends me every time,@contentdaddy6467,2024-06-01T14:09:27Z,3,0.0,Neutral
Wow. So generic...,@losingawholeyear,2024-06-29T17:03:53Z,2,0.5859,Positive
So much autotune 🥴,@trenken,2025-01-31T12:22:16Z,2,0.0,Neutral
Chromatica vibes,@ChromaticaAsylum,2024-06-13T22:10:17Z,2,0.0,Neutral
This 2 minute autotuned elevator music is even more bland than Taylor Swift.,@zoehelkin,2024-08-21T20:36:47Z,2,0.2023,Positive
"monotone - check, autotune- check, trash lyrics- check, What is this absolute garbage.",@RomLichs,2024-06-30T12:25:26Z,2,0.0,Neutral
She’s definitely waitervibes,@AaronGonzales-x3v,2024-11-16T18:37:00Z,2,0.4019,Positive
It sucks. Definitely a Camel Head Harris vibe. She sucked her way into prominence and power so I can see why the song sucks as hard as it does. Music is dead. It’s not brat… it’s shat!!!,@ToniRae79,2024-07-25T00:37:07Z,2,-0.8974,Negative
Great song! I miss hearing Charli's real voice though. She has such a cool voice! I'm sick of the robot vocal effect on every song now. It was cool for the hyperpop period but now I miss the real voice. My favourite bit of this song is the whispering bit where we hear a bit of the real Charli!,@LouisLinggandtheBombs,2024-05-30T11:52:48Z,2,0.3348,Positive
"😂 Omg that vocal fry on the ""totally a je ne sais quoi"".",@T0ddles,2024-07-02T10:20:15Z,2,0.4404,Positive
I actually love the beat on this! I make electronic music and I love the instruments used.,@Jaimieresponds,2024-08-04T04:03:14Z,2,0.8655,Positive
It's giving Mean Girls but bigger; more diverse and evolved.,@SapphireDreamssss,2024-07-14T20:56:27Z,2,0.1779,Positive
"This chord progression is exactly the same as N.E.R.D.'s from the song ""Move"" 20+ years ago. Neptunes music isn't just timeless it will always sound like it's from the future.",@aubreyyoung4610,2024-07-05T19:51:40Z,2,0.3612,Positive
totally waiter vibes xDDDDDDD,@BrittleBiscuit,2024-06-13T17:35:07Z,2,0.0,Neutral
talentless autotuned zoomers - ZERO talent — all fluff,@kamalvyas9388,2025-05-05T11:38:17Z,2,0.0516,Positive
"Just looked up who wo. The awards at the grammes.  Knew the name - didn't really know the music.  This music is RUBBISH.  It sounds like every other piece of rubbish music being made at the moment.  Not unique, not insightful, not even decent beats and sounds in the background. Real crap.",@Loosybaboosy,2025-02-09T00:54:44Z,2,0.4404,Positive
love the vocal fry,@kcar7,2024-05-26T19:33:03Z,2,0.6369,Positive
Am I the only one who gets 2009 vibes or something like that haha but this is a very nice song don't get me wrong,@That_kind_of_orc,2024-05-24T22:42:57Z,2,0.8812,Positive
"""totally waiter vibes""",@Bickmiya0818,2024-05-14T01:55:59Z,2,0.0,Neutral
So we appraise ppl for making AI music now? That's the vibe i get..,@bulkbogan4320,2024-06-19T14:24:52Z,2,0.0,Neutral
Does this give anyone else Rebecca Black - Friday vibes???????,@patrick1587,2024-10-25T22:08:55Z,2,0.0,Neutral
""" Totally waiter vibes "" i cannot",@paduanicoc.7019,2024-05-16T10:22:33Z,2,0.0,Neutral
god this song is awful,@kropolis_,2024-08-17T17:55:26Z,2,-0.2263,Negative
The beat is  🔥 charliii sexy too 😍 head bopping all thro it,@benswann9703,2025-03-03T01:16:16Z,2,0.6124,Positive
this is the worst music video ive ever seen,@FionaRampone-f7r,2024-08-16T00:33:17Z,2,-0.6249,Negative
cool beatz,@bplus2932,2024-07-23T19:05:45Z,1,0.3182,Positive
"Love the vibe, totally giving strip that down for me",@Sayimabirds,2024-07-24T12:39:11Z,1,0.7841,Positive
I heard this beat ona roblox game😭 i finally found it,@easyxpofficial,2025-07-02T06:28:08Z,1,-0.4767,Negative
"""Waiter vibes"" dying",@connor3198,2024-06-15T13:18:26Z,1,0.0,Neutral
What is wrong with you people. It’s an awful video. I am really traumatized,@NaeedKhan-j9r,2024-10-06T06:30:04Z,1,-0.8439,Negative
"""Waiter vibes"" Delta Work has entered the chat",@gazzamuso,2024-06-30T03:58:46Z,1,0.0,Neutral
Autotune mediocre music.,@blindminstrel7249,2025-03-31T06:02:38Z,1,0.0,Neutral
"half the length - dumb storyline at the table, the rest of it - few sec of beat with ah-ha-a-a... Yours truly modern music! #wtfisthatshit",@skirmantasstankevicius458,2025-01-28T13:03:01Z,1,-0.1759,Negative
Why is this beat So catchy 😩,@jenkinsterrance2215,2024-08-30T22:27:45Z,1,-0.3353,Negative
Kinda very catchy gay wise ☺️,@saudalsaiari,2025-02-14T19:55:18Z,1,0.7479,Positive
Why is the waiter giving GTA vibes?,@elonelzernandee,2024-10-27T21:42:17Z,1,0.34,Positive
When the MV has an intro longer than the fcking song it self.. holy fck this generation of songs is going down as the worst videos ever.,@inceneration,2024-06-28T12:55:39Z,1,-0.6249,Negative
I get goosebumps when the beat picks up,@BadBenny__,2024-05-24T01:30:46Z,1,0.0,Neutral
"as a non native speaker I've always heard in the chorus: ""I'm socially a-a-a-awkward""",@viniciusmachado8791,2024-07-12T18:46:17Z,1,0.0,Neutral
generic death phase,@antoniamontana9671,2024-11-16T16:53:09Z,1,-0.5994,Negative
“Totally waiter vibesssss” 🤣😍🤣😍,@CaptainHowdy1225,2024-10-26T00:40:26Z,1,0.9081,Positive
"Here, after listening her mention the best EDM artists on earth (like daft punk) and realizing this song has the same harmonic progression as Music sounds better with you by stardust.... it makes sense now lol",@cesarleiva2443,2025-03-04T04:47:11Z,1,0.9349,Positive
Definitely catchy lol but it’s everytime she shaking on that machine 😂😂,@___rocaj,2025-02-23T16:53:08Z,1,0.8555,Positive
