comment,user_name,date,likes,compound,sentiment,sentimento_manual
the switching between the deep voice and “high” voice is very addicting-,@bratzzp,2025-01-13T22:59:56Z,2131,0.0,Neutral,Neutral
"I'm almost 31, Charlie just turned 32 and that is a big reason I've become a fan today because the vibes of her brat album definitely give me those myspace era days  vibes and she gets it. Got it down packed 😭I just love the retro aspect of her and actually being able to feel like you're reliving that era is nice.",@ashhhx93,2024-08-31T00:07:54Z,612,0.886,Positive,Positive
WHY AM i BLUSHING SO MUCH FROM HEARING BILLIE'S VERSE 😳😳 THIS GOT ME VICARIOUSLY YEARNING 😫,@CorinnaScheper,2025-06-16T07:46:51Z,185,-0.1697,Negative,Positive
THEYRE LITERALLY TALKING TO EACH OTHER BUT IN LYRICS FORM IS CRAZZZY😫,@aaishayusra,2025-02-18T00:16:38Z,30,-0.5927,Negative,Positive
"It’s not a religion, cure for world hunger or peace, just a catchy rhythm accompanied by two female artists at the top of their game. Enjoy it for that folks",@InterpolArticle1,2025-03-01T23:44:11Z,24,0.7579,Positive,Positive
"Like ik im late and everything u jus wanna say that the fact i know they are singing about really dirty things the song is such a vibe😭😭😭 like im literally vibing to the part ""i have to GUESS the colour of your underwear..."" 😭",@martinc_b1,2025-03-18T18:06:12Z,14,-0.8908,Negative,Positive
This beat goes craaaaaazyyy,@Ivithatgirl,2024-10-19T00:27:48Z,11,0.0,Neutral,Positive
Unpopular opinion: Billies verse is my favorite.,@kirarankin4230,2024-09-04T02:29:15Z,8,0.4588,Positive,Neutral
"1:36 that synth in the drop is fkin nasty, daaaamn, I love it",@catalinpaul2617,2024-08-26T20:20:43Z,8,-0.128,Negative,Positive
JoJo needs to take notes,@Eroc12,2024-09-11T03:28:47Z,7,0.0,Neutral,Neutral
"Lord knows how this got to be ""Song of the Year"" at The Brit Awards. I can't anticipate anybody singing it two or three years from now. Shouldn't endurance still be a test of a song's quality? Even a brief look at the lyrics shows how shallow and self-indulgent ""Guess"" is.  And before anybody has a go at me, I freely admit that I am probably an old fuddy duddy and don't know what I am talking about. I am cool with that.",@neiltheasby4431,2025-03-03T15:40:48Z,7,0.8402,Positive,Negative
That technological melody hits🎉🎉,@MurasakiMurasaki-fo6qq,2024-10-26T04:07:06Z,7,0.6597,Positive,Positive
Literally here after seeing Taylor vibe to this song in the grammys,@mahizakir3,2025-02-03T20:18:13Z,5,0.0,Neutral,Positive
Im obsessed how she’s walking in on beat at the beginning,@Yeeeeeeeah,2024-10-10T13:19:51Z,5,-0.1779,Negative,Positive
this song is like weird and catchy at the same time,@vastsummers,2025-02-12T00:49:22Z,4,0.2023,Positive,Neutral
0:38 WHY IS IT SO CATCHY😭✋,@allhaitifamily1710,2024-08-24T05:58:13Z,4,-0.208,Negative,Positive
I feel like everyones talking about Billie BUT CHARLI'S VERSE WAS AS GOOD!!! I MIGHT EVEN LIKE IT BETTER,@Ryujinie,2024-09-16T09:02:01Z,3,0.9576,Positive,Positive
0:59 the beat drop when billie comes in is soo catchy omg,@glencoconut,2024-10-21T21:45:07Z,3,-0.2732,Negative,Positive
possibly the worst song ever?,@j0hnnychr0me,2025-02-11T08:38:45Z,3,-0.6249,Negative,Negative
"The mixing work is impressive, with the spatialization of voices through panning (best experienced with headphones: the panning makes Charlie and Billie talk in each ear and move from one to the other) and the evolution of basses that play with the tension.",@GSam-jh9sb,2024-09-02T13:26:37Z,3,0.8225,Positive,Positive
Absolutely awful,@nkentable,2024-10-01T14:32:20Z,3,-0.5095,Negative,Negative
Honestly if ima be fr it’s really not that bad I feel like people are kinda overreacting about it like yea the lyrics are talking about sex stuff but like a LOT of music artists talk about it to and it’s really not that bad😭😂,@Paige.Mcquillen,2024-09-30T16:36:36Z,3,0.9132,Positive,Neutral
"The visuals on her music videos are so tough, completely different vibe to just listening to it",@Saoo100kSubsCommenterChallenge,2025-02-27T00:02:20Z,3,-0.2479,Negative,Neutral
"One of the worst songs I've ever listened to, who ever wrote these lyrics needs to be made to listen to this song over and over again until they are forced to delete it from history. (And congratulations on Charlie xcx getting the world record for worst singing ever before heard in a music video!)",@JasonGreene-fz5gy,2024-08-25T09:17:09Z,3,-0.8221,Negative,Negative
Why do i feel billie is laughing to death from inside but tries not to show it from the lyrics 😂😂😂,@JumanaAhmed-td4es,2025-03-26T10:07:12Z,3,0.9042,Positive,Neutral
"If this is music and ""lyrics"", sign me out.  B.S.",@ShaggyDJ73,2024-09-21T05:09:51Z,2,0.0,Neutral,Negative
"BIG VIBES of Daft Punk - Technologic, very similar",@sandrine29cravo,2024-10-23T23:26:03Z,2,0.0,Neutral,Positive
Looked this up to see who beat out the Cure from 40yrs ago on the recent Brit Awards. 😲 how disappointing. Oh well. The box has  been checked. Life goes on.,@mikeoittinen5623,2025-03-03T13:32:05Z,2,0.5423,Positive,Negative
"cool music, has a cyberpunk vibe.",@alysxns,2024-09-16T11:39:26Z,2,0.3182,Positive,Positive
Im so glad Charli xcx is still making music! This might be a constraversial opinion but she shouldve blown up first before Iggy....As far as i know Charli is a lot less problematic than Iggy but Iggy did put out some good beats tho!,@Demonic.Faerie,2024-12-27T21:46:37Z,2,0.4888,Positive,Positive
1:00 the way Billie sings it’s kind of creepy lol especially with those lyrics,@ThainaaHatesScience,2025-04-17T21:57:38Z,2,0.4215,Positive,Neutral
Sorry but this is crap. Both the music and the lyrics are crap. 👎👎,@ktom5262,2025-06-29T02:41:13Z,2,-0.7876,Negative,Negative
BRO WHEN BILLIE COMES IN ITS SO GOOD WITH THE SOUND AND BEAT OH MY GOSHH IAM DYINGGGGG❤❤😍😍,@dimaadass6689,2024-09-12T12:24:43Z,2,0.9681,Positive,Positive
worst song ive ever heard in an add,@justinlaughlin9133,2024-09-01T17:36:12Z,2,-0.6249,Negative,Negative
Idk why but the way she dances to the beat itches my brain just right,@pstahr23,2025-02-12T05:31:14Z,2,-0.0516,Negative,Positive
Technologic (Daft Punk) vibes 🔥,@PamyRocksJapan,2024-11-08T06:18:21Z,2,-0.34,Negative,Positive
That really had a great 2010's vibe. Great stuff!,@TheJespah,2024-09-05T19:08:06Z,2,0.8675,Positive,Positive
Obsessed with the silly playful sexy vibes in this video. We need more!!,@emsysuffs,2024-10-01T20:36:58Z,2,0.7418,Positive,Positive
This is awful 😆,@chavsnaps,2024-10-02T15:39:38Z,2,-0.128,Negative,Negative
I wonder what the pitch was like for this song,@marquiswolf2766,2024-08-25T02:53:32Z,2,0.3612,Positive,Neutral
Not my vibe but ok,@NAT2411,2025-03-02T12:37:53Z,2,0.4215,Positive,Neutral
HELP I'M SORRY BUT THE LYRICS AREN'T IT 😭,@URFAVVBELLAFR,2024-10-11T20:23:40Z,2,0.6163,Positive,Negative
Absolutely crap song and lyrics a joke surely.,@NeilMcgilligan,2025-03-02T02:49:15Z,2,0.2975,Positive,Negative
Best beat and melody so perfect,@Musicissloveee,2025-04-14T11:45:29Z,2,0.8733,Positive,Positive
Unpopular opinion-but the only good part of this song is the sampled preview of Billie’s verse 😶,@onelife7266,2025-02-06T21:50:15Z,2,0.4404,Positive,Neutral
i cant believe it only goes for 2 minutes 40. This is the WORST break up ive ever had,@joshuamaher614,2024-09-23T09:35:15Z,2,-0.7034,Negative,Negative
Billie giving that slim shady going to the emmies vibes,@pascal5704,2024-10-29T22:31:34Z,2,0.34,Positive,Neutral
"for those, 1:37 is the partto vibe to 😍",@Hiadrianhere_onRBLX,2025-02-06T08:11:55Z,2,0.4588,Positive,Positive
Deliciously trashy but classy and humourous. The track is positively a catchy bass grinder. A totally bitchin' duo.,@clintk4993,2024-10-04T07:42:30Z,2,0.9371,Positive,Positive
I CANT EXPLAIN IT BUT BILLE HERE GIVES ME HUGE CARL GALLAGHER VIBES,@ellafulgencio3602,2024-11-06T19:38:05Z,2,0.4497,Positive,Neutral
Essa música tem muito a vibe de 2012~2014,@ravenabelem,2025-05-13T02:21:49Z,2,0.0,Neutral,Neutral
"This is quite possibly the worst song I’ve ever heard in my life. Not only is the music terrible, the lyrics are completely lacking any substance whatsoever. 🤢",@rachelclifton3613,2024-11-11T16:01:17Z,2,-0.8158,Negative,Negative
This is the best lyrics they could come up with???!!!! 😂,@mohammedmakki5910,2024-10-27T22:47:34Z,2,0.8692,Positive,Negative
This might be the worst thing I've ever seen or heard.,@bluepandaman,2024-11-18T05:37:58Z,2,-0.6249,Negative,Negative
Billie's verse is sexy af. 🥵,@Eyeofthetiger69,2024-09-16T23:34:37Z,2,0.5267,Positive,Positive
The worst song of the year could have been better if the lyrics weren't so vulgar and bad.,@Maya_rake,2024-08-23T18:37:41Z,2,-0.7152,Negative,Negative
These are literally the worst lyrics I have ever heard for a song... And people love it...,@Shazam_575,2024-08-23T17:28:55Z,2,0.0258,Neutral,Negative
You wanna guess the color of my underwear (finish the lyrics),@Blu_Does_Shtuffs,2024-08-23T15:37:33Z,2,0.0,Neutral,Neutral
Who’s dropping the lyrics,@Kirstenadelekeady,2024-11-08T00:10:26Z,1,0.0,Neutral,Neutral
"No soul, no melody, no real instruments, nothing good about this. It's just bad and trashy.",@SneakyTuxie,2024-10-21T02:40:48Z,1,-0.652,Negative,Negative
"As a longtime fan (since 2014) I was extremely excited seeing Charli finally getting her flowers after decade+ of hard (and exceptional) work... the very day this song came out on the deluxe I was sending it to my friends, all elated that we got such a gem as an additional gift to already flawless body of music. I liked all of the remixes and was overall fascinated about how good of a rollout this era had. Unfortunately, this particular remix along with all of the excessive draining the brat trends in social made me stop listening to the album completely. Unnecessary, distasteful lesbian references from Billie along with her exceedingly forced what-is-supposed-to-be-sexy tone made the song unlistenable to me. It is such a shame that promotion of explicit, unnatural behavior in song widely used for shorts/tik tok dances mainly consumed by young teenagers is met with reception totally devoid of any criticism. To be clear - I very much like both of the ladies' music and I have no problem with people's sexual preferences, I just stand in opposition to widespread promotion of these ideas to kids. Also, sometimes less is more and this is the proof.",@lsd_connoisseur,2024-09-01T12:21:38Z,1,0.9635,Positive,Negative
"Me gusta, Pero siento que a sus canciones les hace falta más contraste entre la tonalidad de las estrofas y los coros, y un mejor gancho. Que haga más fácil de recordar la canción. I like it, but I feel like their songs need more contrast between the tonality of the verses and choruses, and a better hook that would make the song easier to remember.",@PedroGuevaraPodcast,2024-09-11T23:12:46Z,1,0.9109,Positive,Neutral
Vocal fry gone mad. One you recognize it you realize this isn’t singing.,@FiredtoFreedom,2024-09-10T17:32:00Z,1,-0.4939,Negative,Negative
Daft punk inspired chorus,@marinamal9523,2024-09-02T05:39:24Z,1,0.4939,Positive,Neutral
This song is such a vibe,@flerouu,2024-10-11T10:21:24Z,1,0.0,Neutral,Positive
It sounds good but it's worst then lunch,@NaidaMujic-j2z,2025-06-07T13:38:11Z,1,-0.6908,Negative,Neutral
1:37 I dance to this beat until dawn,@cfo6096,2024-11-03T04:04:43Z,1,0.0,Neutral,Positive
this is without a doubt one of the worst songs ever made.  actually makes womens underwear seem cringy.,@paulelroy6650,2024-08-30T21:14:29Z,1,-0.457,Negative,Negative
Todays music is pretty bad it this is a hit. Wheres the melody? The good singing voice? Anyone can sing this,@mark-ge2yl,2024-09-08T18:22:24Z,1,0.4515,Positive,Negative
"This is not ORIGINAL 🤮, this is Daft Punk and Busta rhythm",@derekvg2957,2024-09-07T16:08:14Z,1,-0.3621,Negative,Negative
Why the beat sound like main theme of the sims 2 Nightlife,@whatever1234-z3q,2024-11-14T09:46:36Z,1,0.3612,Positive,Neutral
All the people loving this beat I guess never heard of Daft Punk 🤷,@maximite,2024-09-11T23:18:41Z,1,0.5994,Positive,Neutral
and no offense but the english are the mostgod awful rapacious national there is,@ChristopherCorona-tl3nt,2025-05-01T00:50:47Z,1,-0.5618,Negative,Negative
These lyrics just make sense for Billie,@mariabella19,2025-05-21T07:33:03Z,1,0.0,Neutral,Positive
"The lyrics is inspired by the women who say ""kis colour ke chaddi phene ho""....😂😂",@Siam_0690,2025-01-25T05:16:35Z,1,0.8402,Positive,Neutral
This video gives such I’m A Slave 4 U vibes. I feel this’ll go down as this generation version of that. I love it,@jrobertr,2024-09-02T05:00:21Z,1,0.6369,Positive,Positive
"HORRIBLE!!! Computer Not music, and stupid lyrics",@stevewahrer422,2024-10-06T16:54:33Z,1,-0.516,Negative,Neutral
This banger is catchy AF 👍,@RicardoGonzalez-me5vq,2024-12-14T22:19:57Z,1,0.0,Neutral,Positive
"no one mentioning how nostalgic this song is because of the ""technologic"" catchy sample??",@M13C7,2024-08-28T21:52:22Z,1,-0.3736,Negative,Positive
The rythm gives me vibes of Daft Punk Technologic,@katarzynamazur6017,2024-09-04T18:01:31Z,1,0.0,Neutral,Neutral
Billie laughing before her verse has me in a headlock,@Beso_fr-t1c,2025-05-13T06:48:47Z,1,0.4939,Positive,Neutral
Billie's whole verse is living in my head rent free!!,@Buhhnana2283,2024-08-27T01:32:24Z,1,0.5972,Positive,Positive
"Billie eilish' vocals are really perfect for this, sheesh, best feature since R.Kelly did what he wanted with Lady Gaga's song, there",@danielstewart2602,2024-08-26T16:58:12Z,1,0.8479,Positive,Positive
Very underwhelming generic rehash,@kkfoto,2024-08-26T16:55:11Z,1,0.0,Neutral,Neutral
"Lmaooo it took five people to write this? This is so bad it’s not even funny anymore. I’m deeply concerned for people who fall for this. I think people are confusing this for music because it reminds them of music. This is very depressing, societal collapse seems imminent when I hear noises like these.",@flanneldaniel9414,2024-08-26T14:45:20Z,1,-0.9128,Negative,Neutral
GIVING VIBES💋😳☺️,@Hehehe-v5e,2024-08-28T21:53:15Z,1,0.8374,Positive,Positive
Skins vibes,@ur4bee.dumb.,2025-02-04T20:51:43Z,1,0.0,Neutral,Neutral
"My mom is in the car with me and she’s listening this song😢😢😅 she’s ukrainian so she doesn’t know the translation,she put this song only for the hard beat in the car 😅😅",@АрсенійНегела,2025-06-08T16:27:15Z,1,-0.0258,Neutral,Positive
"The awful lyrics ruined this song's chance to even be remotely good, its literally unlistenable.",@musicbyimpulse,2024-09-01T15:22:10Z,1,-0.296,Negative,Negative
"The lyrics/beat during certain parts give me Daft Punk ""Technologic"" vibes!",@pinkpixy,2024-09-11T01:05:47Z,1,0.3382,Positive,Neutral
"La rolita esta chida pero de un tempo para acá los videos musicales ya no entretienen ni poquito, les falta creatividad",@mayraalejandravazquezgal-gp6ms,2024-10-03T02:46:46Z,1,-0.296,Negative,Negative
I honestly missed the 2010s music  vibe it’s fire idc,@Crazypastanoodies,2024-11-28T15:45:27Z,1,-0.1531,Negative,Positive
Jesus this is just awful,@premidspremium,2024-09-06T22:29:13Z,1,-0.4588,Negative,Negative
Not a Charli fan (or even a billie one) but this lowkey ate even drowned in autotune,@ElectricZinnia,2025-03-24T05:07:40Z,1,-0.7802,Negative,Neutral
