comment,user_name,date,likes,compound,sentiment
This music video has got an unbelivable 2000s vibe. I love everything about it.,@zweie_ziehn,2024-03-18T21:47:18Z,514,0.6369,Positive
"All of this is a master piece:the beat,the voice, and her. Just a master piece",@AnetaProrok,2024-04-15T07:12:22Z,363,0.0,Neutral
"Dua Lipa has such a beautiful strong voice.  Love her richness on her low, high and falsetto notes",@LaughterandJesus,2024-02-19T03:20:49Z,227,0.926,Positive
"I am just loving the progression in just the instrumentals alone, the story being told in her acting and the lyrics is sooo goood",@jensterjen,2024-02-23T03:46:15Z,140,0.4404,Positive
"This is April 2025 & this song of DUA LIPA continues to be exceedingly electrifying, enormously exciting, exceptionally elegant and exquisitely expressive. Her singing is singularly soulful, spellbinding, superb, sincere, sweet and simply spectacular. ❤❤❤❤❤❤",@kesharisuthar3268,2024-10-15T07:33:17Z,52,0.9924,Positive
It's amazing how only she can beat herself everytime❤,@richarishu9818,2024-02-18T06:49:43Z,40,0.8402,Positive
"I don’t listen to Dua Lipa typically, but after hearing Kevin Parker was producing this record I couldn’t help but listen. What a perfect match of vocals and production with so much depth! Can’t wait to hear the rest of the record!!!!",@lauren-alysgornall5017,2024-03-05T01:28:56Z,39,0.8949,Positive
Truly amazing artist. Brought the vibes from 2000s to 2024 and mixed it  with new melodies .,@Jane349-s3b,2024-04-12T12:15:32Z,29,0.7717,Positive
"I insist in the perfect production of the Dua Lipa sonsgs. Everything fits perfectly, either a piano, a synth, vocal harmonies....together with a catchy melody",@trastofer,2024-02-19T15:24:54Z,28,0.836,Positive
"I love Dua Lipa's music more than anyone else out there. Some tunes have a 70's vibe, which I love.",@davidlagrange403,2024-03-16T17:14:44Z,28,0.8555,Positive
"So much 70s and 80s dance beats to this and most of her catalogue, and bringing back the disco era.",@CourtneyCornell-pd4py,2025-03-20T10:19:43Z,23,0.0,Neutral
2:50min ABBA - Dancing Queen? Melody? 🎹🎹🎹🎹,@SilkeApel-f5h,2025-03-03T07:14:28Z,23,0.0,Neutral
"I'm a metalhead, but I always love everything what Dua does. We, from the part of Europe that has always been slapped by history, somehow we have a special taste in common.These are special emotions😉",@hrcodrums,2024-04-11T21:48:58Z,22,0.9313,Positive
"I'm 68 and I've been a music fan since the Beatles first appeared on Ed Sullivan in 1964. I've been Dua's fan since her first Graham Norton appearance in 2019?. People I'm telling you, if you never settle for just one genre of music, from any specific era, you'll never feel old. Great music is made every year and you have to just stay open to it. Dua is incredible and I'm so glad that I'm not missing out on her talent because of my age. Age bias is a terrible thing to give in to, don't let it happen to you.",@macbirt56,2024-04-11T18:10:38Z,18,0.6553,Positive
Bridge hits chorus hits lyrics absolute masterpiece 🙌🏼 obsessed,@morningdew7225,2024-02-22T16:11:05Z,16,0.5267,Positive
Loving the Tame Impala vibes. Kevin should have Dua featured in his next album. ♥,@zimzimzalabim,2024-05-20T14:31:17Z,16,0.8442,Positive
This one song beats all of Taylor swifts songs for a mile ….,@20891,2024-02-22T05:36:04Z,13,0.0,Neutral
"Oh my God she has finally left the synth wave/funk behind, first song from her I add to my playlist since New Rules",@Lembdadelta,2024-02-21T12:07:31Z,12,0.2732,Positive
the perfect single! that chorus just feels so good.,@yoncedelrey,2024-05-04T15:58:53Z,11,0.8286,Positive
"I likee, this is really a deep song, a deep topic. I´m feeling that way, I feel like this song  also describing the way I feel about my relationships.",@Floren1111,2024-02-19T16:52:30Z,9,0.4588,Positive
When that second chorus hits and the extra layers of vocal harmonies come in and they way they're layered with those tasty guitars oooo man! The mix on this song is really great. Can't wait for this new album.,@stennesmusic,2024-04-04T15:26:36Z,9,0.7897,Positive
kevin going crazy with these songs!! fits so well with dua's vibe and voice,@thetrashbaby,2024-02-24T17:42:37Z,9,0.2324,Positive
"I like the beauty of Hollywood how dua lipa describes her relationships as simple ""training season"" however, Hollywood never had training things and seasons because creativity, beauty of pure nature, experimentations, heart breaks, and overall connection, community, and emotions waving out as waves poring life into the whole industry and the world cannot be moulded through ""training seasons"" ❤",@OsamaAzam-kk8mb,2024-06-14T18:22:19Z,8,0.9686,Positive
"Dua being iconic again, I m obsessed with her 90’ vibes can’t wait for her next tour 🤩",@veramc543,2024-02-17T09:39:05Z,8,-0.1779,Negative
Dua vocal is much better than Taylor Swift.,@SamuelSenapati,2024-02-20T00:07:36Z,7,0.5719,Positive
"This song is way too catchy, i'm so excited😊",@Jennyestsweetheart,2024-05-03T15:56:28Z,7,0.8553,Positive
Stylish vibe w/ sweet musical flare as one can always expect from the master that is Dua Lipa!,@DorothyOzmaLover,2024-02-17T13:52:51Z,6,0.5093,Positive
It's giving Abba with those piano chords 👂🏽❤,@pipingo9978,2024-02-17T20:31:09Z,6,0.765,Positive
Training Season by Dua Lipa is melody excitement at its finest.  The humorous and imaginative way that Dua Lipa is portrayed in a hypnotic and alluring way is also part of the music video enchantment.,@stellacarrier8341,2025-03-06T04:25:31Z,5,0.7003,Positive
Her an Calvin Harris NEED to make another song together it's time to go back to those EDM pop vibes,@XTheeKing,2024-03-02T22:30:46Z,5,0.0,Neutral
Amazing song. A little weird hearing her using high pitch but sounds amazing anyways. Saludos from Argentina DUA!,@themarushin,2024-02-17T21:37:16Z,5,0.8266,Positive
She's so underrated..i love her lyrics so much❤,@wutaryaadoin,2024-07-22T08:56:53Z,5,0.8733,Positive
besides the music...lyrics are actually relatable in some context like woah,@cemc9005,2024-02-18T21:16:35Z,5,0.3612,Positive
This sounds powerful!,@k.a.m6074,2024-02-17T20:41:42Z,4,0.4753,Positive
The kind of song that the chorus plays endlessly in your head ❤,@Michael-xi5lj,2024-02-19T08:28:07Z,4,0.7351,Positive
Chorus is so catchy and cool,@maritesalvarez839,2025-02-12T07:30:39Z,4,0.3744,Positive
Am I the only one who actually likes this music video? Pairing this upbeat song with such a simplistic video like this fits really well because it's not overstimulating.,@valentinoprincejr,2024-06-13T07:17:22Z,4,0.7713,Positive
Wasn't sure about this song the first time i listened just because its got very different chords and structure than most pop but after a few listens i really like it just for that reason.,@briancrawford69,2024-02-18T01:09:27Z,4,0.4954,Positive
The worst Dua’s musical video 💀,@goslixz,2024-02-21T01:00:08Z,4,-0.6249,Negative
"quite boring song, not catchy.... the video is also somithing strange. Before the songs were much better",@zoeloseva4052,2024-02-17T17:17:21Z,4,-0.1263,Negative
90s movie vibe🎞,@水森-c4d,2024-02-18T06:32:17Z,3,0.0,Neutral
They play this song once every 2 hours at work... Very catchy,@Nasedo34,2024-07-09T06:36:12Z,3,0.34,Positive
