comment,user_name,date,likes,compound,sentiment
"The first chorus with the crowd screaming ""they not like us"" is pure goosebumps",@richiwillemse1481,2025-03-21T20:32:16Z,411,-0.5733,Negative
"I am a 59 year old woman and when I tell u that Kendrick has me turning this up EVERY SINGLE time. Dont know why it resonated with me waaaaaaaaaaaayyyyyyyyy before I knew there was a beef. I just loved the beat and lyrics. But baebeeeeeeeeee, the SuperBowl performance had me with such great pride!!!!! As one of soldiers on the frontline of the movement from 60's to now, I must say I was so impressed and loved it. It got me into the rest of his music. Im highly impressed and proud of K-Dot. For the first time I feel like this young man brought generations together. Me my kids, grandkids and great grand vibe out to this anthem. Yes I SAID ANTHEM !!! Also with wats going on in our nation in 2025, baby we need this and so much more!!! I know I can speak for our nation when I say. THEY NOT LIKE US!!!!",@deevamartin7413,2025-03-22T23:29:08Z,98,0.9942,Positive
"When Kendrick drops, the world listens. this isn’t just a song, it’s a warning; every bar is surgical, every beat is heavy, and “They not like us” became a national anthem overnight legendary energy.🎉1 year of release already",@Yvanclario,2025-07-17T17:06:36Z,89,0.0747,Positive
Bro the beat alone is legendary,@spvc4696,2025-04-23T15:14:15Z,47,-0.25,Negative
"""once upon a time, all of us was in chains, homie still doubled down callin' us some slaves. atlanta was the mecca, building railroads and trains. bear with me for a second, let me put y'all on game. the settlers was using town folk to make them richer. fast-forward, 2024, you got the same agenda. you run to atlanta when you need a check balance."" was my FAVORITE VERSE omg",@nezukoshairribbon,2025-05-24T03:44:35Z,41,0.7983,Positive
4:08 This part of the video and the song has got to be the best response to the allegation that Kendrick is a wifebeater. Whitney wearing a wifebeater and dancing to not like us.,@klaidikamberi786,2025-04-25T08:32:30Z,35,0.4749,Positive
I will never get tired of this song lol. The beat is 🔥,@kjwdeuce88,2025-04-25T15:15:07Z,34,0.4226,Positive
This BEAT… Mustard for Prez!!!,@markcosby7129,2025-05-10T17:16:59Z,31,0.0,Neutral
"""Beat your ass and hide the Bible if God watchin"". 😂😂😂😂😂",@Doxiemama16,2025-03-21T21:21:44Z,31,0.886,Positive
"I'm making a shout out to Kendrick Lamar. He killed it, give this man his awards. He is the king 👑  and people can stay hatting but Kendrick Lamar nailed it, he beat Drake down so hard with this song and the other song to called euphoria. I'm a huge fan of this man work and I love how he is working with sza they are both know for r&b and rap. I love their voices together and I hope that they make more and they are probably on tour. I love you Kendrick Lamar keep up the amazing work 🎉🎉🎉🎉🎉🎉🎉",@Edward-z7l,2025-07-10T18:24:37Z,27,0.9965,Positive
Playing this at max volume so even my neighbors can vibe too.😂,@SM_MusicVibe,2025-04-28T18:54:03Z,26,0.5719,Positive
Humble and this was first thing I played through my new studio Beats!!!,@dridge10way,2025-04-12T15:48:01Z,23,0.5067,Positive
Ten years from now this will still b a vibe,@karenwilson6139,2025-05-26T22:00:38Z,22,0.0,Neutral
This song is still undeniably catchy.,@JMD_XIV,2025-08-04T14:55:02Z,19,0.0,Neutral
Amazing beat ❤,@KiriDeth-t3z,2025-04-02T02:06:45Z,17,0.8402,Positive
"I've been listening to Kendrick since he was K. Dot. (After listening to ""Spiteful Chant"" & ""A.D.H.D"" I knew he was gonna blow up)I have no idea why Drake thought beefing with one of the best Lyricists ever and one of the few that was able to go MAINSTREAM without selling out would b a good idea. Who else would make a beef song the biggest hit of the year AND play it at the Superbowl with drakes ex serena. Even when Drake was at his best he still would have gotten completely destroyed. And props to kendrick for the last verse",@nateb9054,2025-04-23T19:23:56Z,16,0.7275,Positive
The scale of annihilation this song is systemic..and deep..and danceable! I love it!,@kingLanos,2025-03-21T15:13:04Z,15,0.6988,Positive
"Lyrics genius on so many different levels and I don’t listen to rap, but I was ALL in! Lamar, you did this!!",@shawndaj4156,2025-05-08T18:49:12Z,14,0.0,Neutral
We coming back to where Drake took notes,@thatkevboy,2025-04-01T11:18:35Z,12,0.0,Neutral
The fact that bro made a viral diss track about drake and has this many views just shows he know exactly how to make proper beats,@Toniforever,2025-03-27T20:08:54Z,11,0.0,Neutral
Man idk how this is still such a vibe,@Chibwe-j1i,2025-07-13T21:05:04Z,11,-0.1027,Negative
"In the 3rd verse, when tommy the clown blows the first whistle , kendrick and the dancers froze in the corner. So dope 🔥🔥🔥",@NotWhoIAMButWhatIAM,2025-04-13T11:46:07Z,10,-0.7745,Negative
