comment,user_name,date,likes,compound,sentiment
This will go down in history as one of the best songs of all time,@pandp5489,2025-08-07T18:27:43Z,337,0.6369,Positive
"Bruno Mars and Lady Gaga created something truly timeless with this song  it’s not just music, it’s an emotion. The way their voices blend feels like love, loss, and acceptance all in one breath. It’s a reminder that even in goodbye, there can be beauty, and even in sadness, there can be love worth smiling for.",@tfoxnaga2893,2025-08-20T19:11:47Z,244,0.9694,Positive
This ain't a song it's a raw emotions 😔,@bablumagotra822,2025-07-15T14:13:21Z,82,0.0772,Positive
This song hits so deep...I pray that everyone finds and gets to be with that someone who they want to be next to...,@DrAmanKapoor,2025-08-21T19:14:54Z,53,0.4364,Positive
"The retro vibes are strong with this one - a perfect blend of their iconic sounds and styles. This is the collab we didn't know we needed, and now we can't live without.",@SarahClark-g5q,2025-07-26T16:42:47Z,48,0.7906,Positive
"Once a wise man said, "" when you're happy, you enjoy the melody but when you're broken you understand the lyrics """,@sunitasaha2312,2025-08-14T15:56:58Z,47,0.09,Positive
This is not music. It is a brilliant piece of magic that brings tears to my eyes. Imagine being with someone you love deeply and wanting to be by their side as the world ends.,@moizali3322,2025-08-16T13:01:06Z,37,0.7964,Positive
Love that they wrote and recorded this in one late-night studio session—feels like you're overhearing something deeply personal.,@7thoctave,2025-07-29T08:46:21Z,31,0.7717,Positive
"What a beautiful old guitar.  You just don't see Silverstone anymore, like you used to.",@stephanieredden8861,2025-08-03T03:20:50Z,29,0.7506,Positive
I heard this song on the way to my husband's memorial service.  I never heard the song before that day. It was like he was speaking to me. Thank you for the beautiful message,@dianeprice3334,2025-08-06T15:17:20Z,26,0.836,Positive
It's been a year since this song was released. This song is the most beautiful song my youth gave me. It will be my favorite song for the rest of my life and the song that makes me emotional every time I listen to it……,@Numberonegirl-n9r,2025-08-20T10:22:01Z,24,0.8313,Positive
Clearly it should hit billions of views because of the vocal of those two legendary Singers in one frame. Both's vocal are majestic❤🎉😊,@Xtheticlover,2025-07-15T14:37:16Z,24,0.9393,Positive
"Bruno Mars distills galaxies into groove, every note a star collapsing into soul. Lady Gaga sculpts silence into spectacle, wielding emotion like fire spun through glass. They aren’t artists; they’re phenomena. rare alignments of spirit and sound that make time stop and hearts remember how to feel.",@FritzHeraldLozano,2025-08-01T18:02:22Z,22,0.4019,Positive
"My wife recently passed it and sums up my raw emotions. My best friend, my soul mate ❤️",@epickersgill,2025-08-21T13:58:32Z,20,0.8126,Positive
Emotions of A.O.T fans😭😭,@RIMCOL,2025-07-11T16:05:29Z,15,-0.7351,Negative
"Bruno words are so CLEARLY & ROMANTICALLY SOUND. I just adore Lady Gaga, she GORGEOUSLY  BEAUTIFUL with her strong POWERFUL VOICE. 🌹💋♥️💙🎶🍹👏🏽💯",@karenvtowns9054,2025-07-18T03:02:51Z,14,0.9909,Positive
This song really brings back the 2010 Bruno Mars vibe.,@IISkullzyII,2025-07-25T19:38:00Z,13,0.0,Neutral
I'm sure this song will become a legend and in a few years we will feel nostalgic for that time,@Pědørinŋ,2025-08-15T15:31:17Z,10,0.3182,Positive
This song is related to a lot of my memories and whenever I listen to it I feel nostalgic for those days 😢💔,@لين-88-77,2025-08-07T01:10:10Z,10,-0.25,Negative
1.2 Billion views in less than a year its just amazing that the song hits so deep that it heals my trauma,@abhinandnshamin9606,2025-07-16T15:14:59Z,9,0.25,Positive
"This song is not a song, it is a masterpiece both with its lyrics and melody😍 I can't stop listening to it.",@seda986,2025-07-14T16:27:50Z,9,0.8397,Positive
This song hit the deepest part of my heart.🖤,@falsh6591,2025-07-16T10:18:20Z,9,0.8555,Positive
"My 10 year old Grandson was always singing this song , always ... I was like play that song you always singing for me . He went to youtube and played it for me and I've literally been having this beautiful song on repeat every since 😊 ... True story !!!",@anthonystacks5974,2025-07-14T00:05:01Z,9,0.9666,Positive
Lady Gaga's lyrics and Bruno Mars' vocals are so beautiful... that their voices fit together so well.,@Dahyunmylife-z2u,2025-08-12T08:28:07Z,8,0.8715,Positive
"Magical lyrics,bruno mars and lady gaga combo hit my heart",@beautysaha7420,2025-07-30T16:10:48Z,8,0.6369,Positive
OMG  The song and the lyrics are off the charts !,@patmcglone5367,2025-08-14T22:46:58Z,7,0.0,Neutral
If you truly realised how deep this song goes in your soul It truly sets me free😊,@refentsedanke9960,2025-08-21T18:55:28Z,6,0.9337,Positive
It brought me to  tears its so powerful  it reaches you heart,@chukadunkwu,2025-08-10T17:10:48Z,6,0.7818,Positive
This is how I feel about my man if the world was ending I want to be next to him only my heart beats for him only ❤❤❤,@LiamMyler-f6o,2025-08-14T15:04:01Z,5,0.959,Positive
This song makes me feel deep about my trip to Australia just ended yesterday,@wassupbuuuuuuhdy_gfriend,2025-07-30T03:28:55Z,5,0.0,Neutral
People don't realise that whoever came up with the rhythm is the true genius.,@TheAlexis4444,2025-08-15T14:50:57Z,5,0.4215,Positive
This song is one of the best songs in history we are proud of Lady Gaga and Bruno Mars .And they are also Legends 🎉🎉.,@KingArthur-b1w,2025-08-23T13:40:22Z,4,0.9136,Positive
Emotional song😢😢,@RefruMog-y5c,2025-08-02T14:00:18Z,4,-0.6808,Negative
Unreal vocal ❤❤❤,@neerajxwow,2025-08-07T14:27:03Z,4,0.9274,Positive
Such a beautiful harmony of voices and visuals. Timeless art! 😊👍,@Tungushbay_s_Picks,2025-07-22T19:44:18Z,4,0.9168,Positive
One of the greatest collab songs in history 🙌 👏,@mythicgamer6291,2025-07-11T01:29:02Z,4,0.6369,Positive
Um ano do maior hit atemporal ❤,@luizguilherme9348,2025-08-16T13:07:52Z,3,0.6369,Positive
I'm not a great listener of music and don't keep up with it at all.. day before yesterday my wife dedicated this song to me..and now its been running non-stop in my mind since then..get tears in my eyes listening and feeling the beautiful lyrics..! We celebrate 10 lovely years of togetherness at the end of this year..!❤ Cherish every moment you have with your loved ones...!,@mahmoudbhingraj6382,2025-07-17T20:16:15Z,3,0.9729,Positive
"A real heartfelt song in my opinion, amazing chemistry and harmony",@alex23wolf,2025-07-14T06:18:11Z,3,0.875,Positive
I listen this everyday... It's gives a Good Vibes on their High Notes ♥️❤️♥️❤️ damnnnnn 🌸,@rizwanakhtar1552,2025-07-24T09:56:25Z,2,0.9062,Positive
Worst song,@PALLAVBhattacharjee-m5z,2025-07-30T17:08:52Z,2,-0.6249,Negative
"Eae du do futuro, tá com sdds desse tempo né...",@Duzzx07,2025-07-15T18:04:09Z,2,0.0,Neutral
Wow! Strong message!,@Lawrence-DJ-Music,2025-08-01T19:22:35Z,2,0.8264,Positive
Story of my heart and life 💘,@carlosplayer5115,2025-07-17T02:24:05Z,2,0.8555,Positive
This song is the most annoying song of all time ngl,@PopeMediaa,2025-08-14T00:41:07Z,2,-0.4576,Negative
😢❤❤❤😢😢😢I get emotional every time I listen to it!!,@maryciliciousflores1287,2025-07-16T08:31:00Z,2,0.5242,Positive
"A month ago, I was almost dead and I heard this song that made me cling to life, now I'm recovering properly, but every time I hear this song I feel life very deeply.",@joseantonioejarquemartinez7622,2025-08-11T19:09:06Z,2,-0.3619,Negative
"Blessings to you, you are the best in these songs that make us remember beautiful moments. The lyrics of the music are beautiful. Do not stop doing what you are passionate about. I hope to hear more music from both of you. What a beautiful voice you have. Take care of your successes. 🎥🎙🎸🎹🎶💞😎",@Javgarbo06,2025-07-09T15:48:03Z,2,0.9916,Positive
The lyrics is everything to me,@emrixxanthony3846,2025-08-23T14:46:05Z,2,0.0,Neutral
Catchy song!!! I love it ❤❤❤adore,@Raquelug9410,2025-07-19T15:51:29Z,2,0.938,Positive
Oh yeah! These words are a sure reaction to some deep divine love ~~~if the world was ending I want to be next to you That's deep~~~,@carmenadelemahon8659,2025-07-22T20:47:31Z,2,0.9168,Positive
This song is really heart touching❤It's Not just a song It's emotion🥰,@ramimkhan3133-o1g,2025-07-16T07:31:33Z,2,0.9152,Positive
This song suits on gi hun player 456 slowed reverb in shorts,@MahnoorMir-j2p,2025-08-13T13:16:17Z,2,0.0,Neutral
Great job on the collaboration. There voices match. Nice song to listen to with lots of deep meaning for couples.,@rparnala,2025-08-24T04:37:06Z,2,0.7845,Positive
"1 year and this song is still making story,congratulations Mars and Gaga:]",@NiceliXavier,2025-08-16T12:06:19Z,2,0.0,Neutral
Always thought Bruno just an average singer with some catchy toons . This song displays his  incredible power and range I'm impressed.,@charlesrooibos5904,2025-07-10T13:34:18Z,2,0.4767,Positive
"Currently sitting at #6 on the world list, and it's unequivocally poised for a meteoric rise up the charts. My goodness, what a truly transcendent piece of music! I adore it!",@GeniuSapienss,2025-07-15T08:26:35Z,2,0.9018,Positive
I love this beautiful song and the nostalgic throwback . What doesn't work for me is Lady Gaga does Beth Dutton. I love her brilliant talent and she could have made the cigarette work. BUT who cares?? The song and both their voices supercede the bad acting.,@TruthBTold9767,2025-07-22T21:54:56Z,1,0.8727,Positive
Gaga smoking and dancing represent me in appearance and Bruno does it in feelings every time I hear this song. And it hurts more when you have to let go and let go of that person you fell deeply in love with.,@douss67,2025-07-23T01:43:20Z,1,0.3353,Positive
Still the same vibe 14/8/2025❤️✨,@itgirl-q5o,2025-08-13T12:23:53Z,1,0.3182,Positive
"I broke up with my girlfriend with BPD, it was a fairy tale love with lots of good memories and moments, but the downs were so hard and it was an emotional rollercoaster……but I don’t know I took the right decision…..she gave the most beautiful love I ever experienced in my life……I still miss her…..I love you Bubu❤ Maybe the best love stories aren’t meant to be with each other ❤",@History_Mystery_Crime,2025-07-22T20:49:00Z,1,0.9937,Positive
"if you love this song, we invite you to check out our acoustic cover version, of this song at this link on our channel https://youtu.be/qJ9Roo6qWD8?si=sL0yM1LXGDmiRGmH",@loveduomusic,2025-07-21T01:01:11Z,1,0.7003,Positive
"I was scrolling reels randomly, and just heard the live version, it forced me to search it. Its really amazing. I have also heard this previously but never noticed thoroughly, but now it just hit my heart. Lyrics are so emotionful and the music is top notch❤🎉",@apoorvasaxena2340,2025-07-24T04:28:01Z,1,0.9633,Positive
This should be in history books.,@AlexCarry-d1i,2025-08-23T07:55:35Z,1,0.0,Neutral
"Este par de estrellas han enseñado a los jóvenes de este tiempo, nos han recordado a los de mas edad,  como la belleza de lo melódico, el buen canto, la buena vocalización,  las letras con sentido y respeto por el amor, por las relaciones profundas,  la trascendencia de la unión verdadera por encima del tiempo y las circunstancias...son un verdadero éxito,  como todo eso se puede transformar en una gran canción....esta canción es un clásico....desde que nació...y ellos...pasaron a la historia con este tema. Gracias Lady Gaga....Gracias Bruno Mars!!!",@carlosdefreitas6227,2025-08-15T22:47:01Z,1,0.7074,Positive
searching for a male vocalist to perform this piece live. Beautiful duet. :),@KohdenLanere2014,2025-08-07T04:52:25Z,1,0.7845,Positive
