comment,user_name,date,likes,compound,sentiment
this song was released literally this year and it already feels nostalgic af 😩,@annabeth96,2024-09-17T15:39:52Z,289,-0.2732,Negative
This song is a masterpiece! The video concept brings the whole vibe to life 💖❤,@JaneElaraMusic,2025-05-30T12:55:27Z,259,0.9432,Positive
"Fortnight’ is pure magic. The storytelling and emotion in this track are unmatched. As a country and southern rock artist, I connect deeply with that vibe. 🌙🎶",@Joshuatracks,2024-12-03T18:53:53Z,248,-0.0772,Negative
3:59 worst part,@the.eras.tour_swiftie13,2025-04-04T10:37:57Z,115,-0.6249,Negative
Major Lana Del Rey vibes. I love it. Wasn't expecting this style from Taylor,@Diesel_Budgie,2024-07-24T15:39:43Z,95,0.6369,Positive
"Tay’s fortnight is a profound exploration of temporal fragility, emotional inertia, and the haunting persistence of memory. It’s  an intimate narrative of heartbreak, a meditation on the nature of time, and an inquiry into the human capacity to endure unresolved emotional tension.❤",@ayebaleelijah2148,2024-11-20T12:32:17Z,73,0.0516,Positive
Already heard this twice on the radio in my car while out on a late night drive.The second it was raining slowly and I cranked up the volume and wow! This track just blew me away and made me think of my past both happy and sad memories I slightly had tears my eyes.Nothing like a late night drive out in the rain hearing this track with great 80s vibes!,@michaelvaladez3012,2024-07-25T06:29:52Z,53,0.8993,Positive
"This song reminds me of somebody else by the 1975 and also, the Drive soundtrack. Very nostalgic feeling",@Xxbizzb,2024-07-13T15:49:48Z,34,0.197,Positive
Who's here after JoJo Siwa posted that she beat out this video for dislikes?! LOL,@bluejay0877,2024-07-20T22:33:23Z,32,0.2789,Positive
"I don't know why this song as a lead single polarized so many people and was deemed ""not as strong"". This is one of Taylor's most beautiful, mature songs and Post Malone harmonizes and fits in with it effortlessly. ""I love you, it's ruining my life"" is one of the most simplest yet heartbreaking lyrics I've ever heard. The sadness hits hard in this one with the rich melancholic vocal melodies. Post Malone's solo toward the end is beautiful.",@christianzimm7597,2024-07-18T07:30:27Z,31,0.898,Positive
"His ability to create something so unique and innovative, mixing elements of different styles, is admirable. It is rare to find such a striking sound signature.",@InteligenciaMusical-k9x,2025-01-13T01:06:53Z,18,0.8797,Positive
"I always comeback listening to this song, such an underrated gem with full of emotion and nostalgia feeling to it. This song will never get old, a classic masterpiece.",@boiibry,2025-07-25T19:49:46Z,16,0.6808,Positive
"I just can't believe that it's been a year—TTPD has already been one year old! I remember going back home from school and listening to this song. I wasn't a Swiftie at that time; a Swiftie friend of mine showed me this song. I don't know what to say now. I'm just feeling somewhat emotional that time elapses so fast, and this masterpiece has already been a year old, while it feels like yesterday.",@leopardinmystery6886,2025-04-19T03:39:45Z,13,0.9131,Positive
"I'm not a Swiftie but this is one of the top songs I like. He likes synthpop, especially the kind that almost touches downtempo or dreampop. Song is captivating.",@Muf315,2024-07-15T16:57:56Z,13,0.9345,Positive
she is always beatiful!!!,@ΓΙΩΡΓΟΣΠΙΤΣΙΟΣ-θ6ο,2024-09-04T11:22:31Z,9,0.0,Neutral
"Even if they weren't singing about something sad, their harmony is so beautiful I want to burst",@tarahvibes,2024-08-17T07:21:18Z,9,0.6549,Positive
"Can't believe it's been a year. I can't get this song out of my head. It's like it's stuck on loop in my head. A tortured feeling I didn't even know how to express found its voice in this track. And that outro? I'm still not over it. Man, it didn't just end the song — it hit so deep, it carved out a whole space in my memory. Still gives me goosebumps every time...🤍",@endgame3113,2025-04-20T03:41:04Z,8,-0.3818,Negative
This is the most forgettable song and music video I've ever seen win a VMA🥱,@mw5213,2024-09-12T19:09:51Z,7,0.5859,Positive
"I’m never emotional. Until I’m touched by Taylor’s voice, lyrics, visuals and music. It hurts to cry. But it makes me happy and sad all at the same time.",@caroleewalker5546,2024-09-12T10:55:01Z,7,-0.3447,Negative
"This almost lulls you. It’s so almost peaceful. Such an amazing set of lyrics and beautiful voices with the delicate instrumentation. It’s like a prayer. Yes, I cried. 😢🎤🙏🏼🎶🏝️🎬💘🎼",@stargirlofantares9053,2024-07-10T20:04:23Z,7,0.9412,Positive
This song litteraly puts my 11 month old to sleep so fast. It’s so awesome. TAYLOR WHAT Kind of Vibes did you and  JACK PUT INTO THIS?!?,@autumn573,2024-12-24T01:25:41Z,6,0.7841,Positive
"Why ""Fortnight"" had hate train with masterpiece lyric, melody, vocal, story telling and visual of MV? I'm actually disappointed because many people in the world didn't know how incredible vibe this song had",@SwiftiesloveGetawayCar,2025-02-13T17:33:45Z,6,-0.4019,Negative
Absolute beauty and harmony ,@jaroslavsvoboda8570,2025-05-12T12:44:03Z,6,0.7579,Positive
"Excellent,i likes so much,with one sound 80's pure synthwave",@InnovationStart,2024-08-14T19:27:48Z,6,0.4215,Positive
The way Post Malone mouthed the lyrics at about 1:28 makes me melt🫠,@Raquel-kk3cd,2024-09-13T12:44:26Z,5,0.0,Neutral
