comment,user_name,date,likes,compound,sentiment
"We must give juice to this girls writing , melody and delivery. Excited for a full project",@akamun3061,2023-07-28T04:14:20Z,8898,0.34,Positive
"the lyrics, the voice control… omg she is incredible",@Duda_carvalho011,2023-09-04T16:36:25Z,3492,0.0,Neutral
This song makes me feel so relaxed and in the mood for summer vibes! Tyla never disappoints! 🌊🎶,@Prinz_gassama,2023-09-08T20:15:06Z,2938,0.7836,Positive
"I love this. It's a whole vibe. I hope you keep making songs like this. Don't switch up, this is what we want to hear.",@yoshismith6988,2023-10-12T13:25:27Z,469,0.872,Positive
"The chorus was SO ADDICTING like LITERALLY!! And GOSH, her voice is like SO pretty💗",@tanshikarelangi939,2023-12-16T07:48:21Z,304,0.9656,Positive
I have never heard such immense vocals in such an up tempo track truely phenomenal especially they way the vocal agility is so consistent and controlled utter perfection👀,@ayab3306,2023-09-19T21:38:02Z,185,0.6115,Positive
"What a song! This has to be one of the best songs of this season . The harmony, melody, etc. I love this song.",@seunige9112,2023-09-07T20:19:07Z,182,0.908,Positive
"Wow, this song is an absolute masterpiece! 🎵❤️ I can't get enough of it, and it's been on repeat since I discovered it. The lyrics, the melody, everything about it is just perfect. Who else can't stop listening to this gem? 🔥👏",@CintiaMendesT,2023-09-27T18:50:25Z,165,0.9077,Positive
"This song from the beat, melody, lyrics in the writing, the structure, the vibe is on point, it’s damn there perfect",@kajuanrollins111,2023-09-25T12:06:16Z,153,0.25,Positive
"Having listened to this song for the first time reconnected me with my femininity, and now I am addicted to it. It made me feel like I could express myself without fear of judgement. The lyrics spoke to me in a way that no other song had, and I felt like I was being understood and accepted. This song has become my anthem.",@Silversiren-d1b,2023-11-15T00:17:43Z,134,0.7599,Positive
Absolutely LOVE the vibe with this song.This 62 year old is dancin round the house!👏🏻💃🏼🎶🎶🔥,@terigiese1322,2023-07-28T04:37:15Z,98,0.6271,Positive
"💙🌊Everything about this song is perfect. The beat, that voice & those lyrics. TY🌊💙",@Daja1st,2023-09-30T23:48:41Z,73,0.9471,Positive
I wanna sit on the beaches on my island of Puerto Rico and BLAST THIS! the vibe is so right for the beach. 😍🇵🇷,@daho4317,2023-09-27T22:11:37Z,71,0.5093,Positive
"I love this tune! Tyla has such a nice voice, plus I’m loving the Afro beats 😍👍🏽",@pinkdiamonte5300,2023-11-19T00:32:14Z,67,0.9348,Positive
This song makes me feel so relaxed and in the mood for summer vibes! Tyla never disappoints! 🌊🎶,@xselectronicmix,2023-09-26T05:24:52Z,62,0.7836,Positive
Very refreshing and catchy song. Love it!!,@Icandoit36058,2023-10-20T04:33:02Z,61,0.6988,Positive
Her voice is perfect she approached the song with the right feels 🔥 and the beat is 🔥🔥,@vonamel_music,2023-10-10T05:18:43Z,55,-0.3612,Negative
Amazing song she’s gorgeous her vocals are so soft 🔥🔥🔥🔥🔥🔥,@cathydenvir4736,2023-10-01T13:30:21Z,49,-0.63,Negative
What a vibe... what a wonderful song! 🌴🌺🌊,@sophhtocaliferoleplays,2023-10-28T16:29:18Z,41,0.6114,Positive
Kim Taehyung really shared good melody song on his Instagram story,@Najma-7,2023-10-06T11:57:47Z,40,0.707,Positive
Yessss tyla!!! 🔥🔥🔥. I feel like this song allows us to hear your vocal skills way better. You're amazing ❤️❤️,@sebabatsomasoabi5204,2023-07-31T10:17:45Z,40,0.5962,Positive
Not just the lyrics but also her voice is so sweet. She really did an amazing job,@em_vee_josh,2023-09-18T16:54:45Z,38,0.9169,Positive
"every song called Water or Honey is a vibe, that's a rule🤣",@itsbeeva,2023-07-28T09:37:53Z,36,0.4939,Positive
Melody on another level the infusion of the beat and her voice it's magnificent 👌🙌she is blowing our minds away with this craft❤❤👑,@King_poettist,2023-10-12T15:27:22Z,36,0.9609,Positive
Such a vibe.,@CallmeShadowyn,2023-07-28T04:04:57Z,29,0.0,Neutral
Summer memories with girlies on this one! I see it. long drives or getting ready for a night out or brunch. The vibes are vibing with this one!!!!!,@sekeliledlamini9366,2023-07-31T10:52:24Z,25,0.5673,Positive
We need Chris Brown on the second verse!!!!! What a beautiful song :),@mimivoko7928,2023-09-05T08:40:44Z,23,0.8429,Positive
