file,class,precision,recall,f1-score,support
ariana grande - we can't be friends (wait for your love) (official music video),Mixed,0.3,0.26785714285714285,0.2830188679245283,56
ariana grande - we can't be friends (wait for your love) (official music video),Negative,0.16666666666666666,0.9166666666666666,0.28205128205128205,12
ariana grande - we can't be friends (wait for your love) (official music video),Neutral,0.6875,0.2,0.30985915492957744,55
ariana grande - we can't be friends (wait for your love) (official music video),Positive,0.8095238095238095,0.768361581920904,0.7884057971014493,177
artemas - i like the way you kiss me (lyric video),Mixed,0.509090909090909,0.509090909090909,0.509090909090909,55
artemas - i like the way you kiss me (lyric video),Negative,0.4583333333333333,0.9565217391304348,0.6197183098591549,23
artemas - i like the way you kiss me (lyric video),Neutral,0.8387096774193549,0.3132530120481928,0.45614035087719296,83
artemas - i like the way you kiss me (lyric video),Positive,0.7151515151515152,0.855072463768116,0.7788778877887789,138
benson boone - beautiful things (official music video),Mixed,0.4411764705882353,0.6521739130434783,0.5263157894736842,23
benson boone - beautiful things (official music video),Negative,0.765625,0.9245283018867925,0.8376068376068376,53
benson boone - beautiful things (official music video),Neutral,0.5454545454545454,0.42857142857142855,0.48,14
benson boone - beautiful things (official music video),Positive,0.9842931937172775,0.8952380952380953,0.9376558603491272,210
beyonc - texas hold 'em (official visualizer),Mixed,0.3023255813953488,0.6842105263157895,0.41935483870967744,19
beyonc - texas hold 'em (official visualizer),Negative,0.8691588785046729,0.8303571428571429,0.8493150684931506,224
beyonc - texas hold 'em (official visualizer),Neutral,0.5,0.25,0.3333333333333333,24
beyonc - texas hold 'em (official visualizer),Positive,0.5161290322580645,0.48484848484848486,0.5,33
billie eilish - birds of a feather (official lyric video),Mixed,0.4838709677419355,0.5357142857142857,0.5084745762711864,56
billie eilish - birds of a feather (official lyric video),Negative,0.34210526315789475,1.0,0.5098039215686274,13
billie eilish - birds of a feather (official lyric video),Neutral,0.8,0.3902439024390244,0.5245901639344263,41
billie eilish - birds of a feather (official lyric video),Positive,0.9333333333333333,0.8842105263157894,0.9081081081081082,190
chappell roan - good luck babe (official lyric video),Mixed,0.5441176470588235,0.7872340425531915,0.6434782608695652,47
chappell roan - good luck babe (official lyric video),Negative,0.5925925925925926,0.9696969696969697,0.735632183908046,33
chappell roan - good luck babe (official lyric video),Neutral,0.8695652173913043,0.36363636363636365,0.5128205128205128,55
chappell roan - good luck babe (official lyric video),Positive,0.9161290322580645,0.8606060606060606,0.8875,165
charli xcx - guess featuring billie eilish (official video),Mixed,0.5806451612903226,0.7659574468085106,0.6605504587155964,47
charli xcx - guess featuring billie eilish (official video),Negative,0.7472527472527473,0.9855072463768116,0.85,69
charli xcx - guess featuring billie eilish (official video),Neutral,0.8333333333333334,0.2727272727272727,0.410958904109589,55
charli xcx - guess featuring billie eilish (official video),Positive,0.8914728682170543,0.8914728682170543,0.8914728682170543,129
dua lipa - training season (official music video),Mixed,0.7123287671232876,0.8813559322033898,0.7878787878787878,59
dua lipa - training season (official music video),Negative,0.864406779661017,0.9807692307692307,0.918918918918919,52
dua lipa - training season (official music video),Neutral,0.6875,0.4230769230769231,0.5238095238095238,26
dua lipa - training season (official music video),Positive,0.9671052631578947,0.901840490797546,0.9333333333333333,163
kendrick lamar - not like us,Mixed,0.3673469387755102,0.6923076923076923,0.48,26
kendrick lamar - not like us,Negative,0.8134328358208955,0.9646017699115044,0.8825910931174089,113
kendrick lamar - not like us,Neutral,0.9444444444444444,0.4594594594594595,0.6181818181818182,37
kendrick lamar - not like us,Positive,0.98989898989899,0.7903225806451613,0.8789237668161435,124
olivia rodrigo - obsessed (official music video),Mixed,0.7901234567901234,0.9142857142857143,0.847682119205298,70
olivia rodrigo - obsessed (official music video),Negative,0.9016393442622951,0.9821428571428571,0.9401709401709402,56
olivia rodrigo - obsessed (official music video),Neutral,0.9411764705882353,0.64,0.7619047619047619,25
olivia rodrigo - obsessed (official music video),Positive,0.9929078014184397,0.9395973154362416,0.9655172413793104,149
rose  bruno mars - apt. (official music video) comments copy_analise.csv,Mixed,0.7941176470588235,0.8709677419354839,0.8307692307692308,31
rose  bruno mars - apt. (official music video) comments copy_analise.csv,Negative,0.9,1.0,0.9473684210526315,72
rose  bruno mars - apt. (official music video) comments copy_analise.csv,Neutral,0.8,0.5217391304347826,0.631578947368421,23
rose  bruno mars - apt. (official music video) comments copy_analise.csv,Positive,0.9883040935672515,0.9712643678160919,0.9797101449275363,174
sabrina carpenter - espresso,Mixed,0.4375,0.9545454545454546,0.6,22
sabrina carpenter - espresso,Negative,0.9491525423728814,0.9333333333333333,0.9411764705882353,60
sabrina carpenter - espresso,Neutral,0.9230769230769231,0.631578947368421,0.75,38
sabrina carpenter - espresso,Positive,1.0,0.9277777777777778,0.962536023054755,180
sza - snooze (audio),Mixed,0.1509433962264151,0.6153846153846154,0.24242424242424243,13
sza - snooze (audio),Negative,0.7837837837837838,0.8787878787878788,0.8285714285714286,33
sza - snooze (audio),Neutral,0.8,0.45714285714285713,0.5818181818181818,35
sza - snooze (audio),Positive,0.9842105263157894,0.8538812785388128,0.9144254278728606,219
taylor swift - fortnight (feat. post malone) (official music video),Mixed,0.5714285714285714,0.8,0.6666666666666666,35
taylor swift - fortnight (feat. post malone) (official music video),Negative,0.8222222222222222,0.9866666666666667,0.896969696969697,75
taylor swift - fortnight (feat. post malone) (official music video),Neutral,0.8181818181818182,0.21428571428571427,0.33962264150943394,42
taylor swift - fortnight (feat. post malone) (official music video),Positive,0.9133333333333333,0.9256756756756757,0.9194630872483222,148
tyla - water (official audio),Mixed,0.2647058823529412,0.8181818181818182,0.4,11
tyla - water (official audio),Negative,0.7391304347826086,1.0,0.85,17
tyla - water (official audio),Neutral,0.625,0.16129032258064516,0.2564102564102564,31
tyla - water (official audio),Positive,0.9574468085106383,0.9183673469387755,0.9375,147
